window,split,sigma,points,pointwise_pass_no_tilt,pointwise_pass_tilt_norm_only,pointwise_pass_tilt_oriented,pointwise_pass_full_tilted,worst_no_tilt,worst_no_tilt_t,worst_tilt_norm_only,worst_tilt_norm_only_t,worst_tilt_oriented,worst_tilt_oriented_t,worst_full_tilted,worst_full_tilted_t,lean_main_lower,lean_oriented_main_lower,lean_rest_upper,lean_tilt_upper,lean_tail_upper,lean_surplus_no_tilt,lean_surplus_tilt_norm_only,lean_surplus_tilt_oriented,branch_defect,branch_abs_defect,verdict
t1413,center,0.72,701,701,637,701,701,0.004916489600273081,14.136000000000001,-0.0023010583492554023,14.136000000000001,0.012133503836435345,14.136000000000001,0.007935135844035969,14.136000000000001,0.020558695234273793,0.027775709470436057,0.01604629829877654,0.021694299069734014,0.0,0.004512396935497254,-0.01718190213423676,0.011729411171659519,-0.5697344824057169,0.5697344824057169,lean_candidate_oriented_pass
t1413,center,0.73,701,701,701,701,701,0.00926262798435676,14.136000000000001,0.0009166958973919875,14.136000000000001,0.017608047729482844,14.136000000000001,0.013665126513028338,14.136000000000001,0.02320013670203941,0.031545556447165495,0.014297315513461854,0.022559864874125573,0.0,0.008902821188577555,-0.013657043685548018,0.01724824093370364,-0.5848363586991328,0.5848363586991328,lean_candidate_oriented_pass
t1413,center,0.737,701,701,701,701,701,0.01205336828686988,14.136000000000001,0.0029097576096495034,14.135000000000002,0.021196461993754818,14.136000000000001,0.017427479677922356,14.136000000000001,0.02490937392055271,0.034052467627437646,0.013187732710087037,0.023171731492103678,0.0,0.011721641210465672,-0.011450090281638006,0.020864734917350608,-0.5950494967118453,0.5950494967118453,lean_candidate_oriented_pass
t1413,center,0.74,701,701,701,701,701,0.013190325961690352,14.136000000000001,0.00370300505742799,14.135000000000002,0.02267702646926926,14.136000000000001,0.018981255463811682,14.136000000000001,0.025608911328791593,0.0350956118363705,0.012738959338020692,0.023435474826965626,0.0,0.0128699519907709,-0.010565522836194725,0.022356652498349807,-0.59933908952247,0.59933908952247,lean_candidate_oriented_pass
t1413,center,0.75,701,701,701,701,701,0.01674149959932973,14.136000000000001,0.006101809794356686,14.135000000000002,0.027380286925967383,14.136000000000001,0.023922414725585588,14.136000000000001,0.02780669063992126,0.038445477966558915,0.01135045345719366,0.024321204979184875,0.0,0.016456237182727602,-0.007864967796457272,0.027095024509365254,-0.6132704598304932,0.6132704598304932,lean_candidate_oriented_pass
t1413,core,0.72,701,572,476,651,582,-0.008496858086474702,14.290000000000001,-0.015122957837707693,14.288,-0.001897828555639084,14.291,-0.009158487167397363,14.291,0.018555183943692953,0.02515379823030969,0.02755129344571895,0.022492537765134206,0.0,-0.008996109502025996,-0.031488647267160205,-0.0023974952154092594,-0.5697344824057169,0.5697344824057169,fails_on_grid
t1413,core,0.73,701,607,493,701,624,-0.004174611945362481,14.289000000000001,-0.01184040202570101,14.287,0.0034674331806910964,14.290000000000001,-0.0036520331002887207,14.290000000000001,0.02099178697201217,0.028633443518834054,0.02563069992921478,0.02334176272669134,0.0,-0.004638912957202611,-0.027980675683893952,0.0030027435896192722,-0.5848363586991328,0.5848363586991328,lean_candidate_oriented_pass
t1413,core,0.737,701,647,506,701,701,-0.001325196632376676,14.288,-0.009735576346366117,14.287,0.007063284401215217,14.290000000000001,4.9377888089705696e-05,14.290000000000001,0.022599986003622088,0.030987725857181788,0.02436641946607452,0.023942885755656566,0.0,-0.0017664334624524318,-0.025709319218108997,0.0066213063911072685,-0.5950494967118453,0.5950494967118453,lean_candidate_oriented_pass
t1413,core,0.74,701,682,512,701,701,-0.00014680168778547636,14.288,-0.008880362704435223,14.286000000000001,0.008565340363006924,14.289000000000001,0.0015980469551868277,14.289000000000001,0.023265159865123494,0.03197693808162081,0.023843835088295674,0.02420242036548769,0.0,-0.0005786752231721794,-0.02478109558865987,0.008133102993325137,-0.59933908952247,0.59933908952247,lean_candidate_oriented_pass
t1413,core,0.75,701,701,536,701,701,0.0036052606128219797,14.287,-0.00622090571389235,14.285000000000002,0.013411744076422736,14.288,0.006605717692227675,14.288,0.025384879827260544,0.035190806076905334,0.022181396196514883,0.025076571240469855,0.0,0.0032034836307456606,-0.021873087609724194,0.013009409880390451,-0.6132704598304932,0.6132704598304932,lean_candidate_oriented_pass
t1413,depth,0.72,701,701,701,701,701,0.03585748661066109,14.13,0.024451379482314774,14.13,0.04726311662793397,14.131000000000002,0.047180684054437726,14.131000000000002,0.03616442065302319,0.04757004313202106,0.0005801537812402421,0.019622614936178773,0.0,0.03558426687178295,0.015961651935604174,0.04698988935078082,-0.5697344824057169,0.5697344824057169,lean_candidate_oriented_pass
t1413,depth,0.73,701,701,701,701,701,0.03679430049180997,14.13,0.024515831992702315,14.129000000000001,0.04907244193685146,14.13,0.04898573438706346,14.13,0.037100602962159425,0.049378744407200914,0.0005610843938953071,0.020588820854810057,0.0,0.036539518568264116,0.01595069771345406,0.048817660013305605,-0.5848363586991328,0.5848363586991328,lean_candidate_oriented_pass
t1413,depth,0.737,701,701,701,701,701,0.03742249353368406,14.13,0.024520616130001997,14.129000000000001,0.05032392600673768,14.13,0.05023430307802687,14.13,0.03772800895658756,0.050629441429641174,0.0005481868847173642,0.021270431200039717,0.0,0.0371798220718702,0.015909390871830482,0.05008125454492381,-0.5950494967118453,0.5950494967118453,lean_candidate_oriented_pass
t1413,depth,0.74,701,701,701,701,701,0.03768490459054825,14.13,0.02451277481659535,14.129000000000001,0.050856542219865505,14.13,0.050765689893693115,14.13,0.03799000124053757,0.05116163886985483,0.0005427682556663258,0.02156385966082214,0.0,0.037447232984871244,0.015883373324049103,0.0506188706141885,-0.59933908952247,0.59933908952247,lean_candidate_oriented_pass
t1413,depth,0.75,701,701,701,701,701,0.03853059856028001,14.129000000000001,0.024444835120994823,14.129000000000001,0.05261585811598403,14.13,0.05252099844313551,14.13,0.03883397584298459,0.05291922840057683,0.0005251583748444393,0.022547536018925902,0.0,0.038308817468140154,0.01576128144921425,0.05239407002573239,-0.6132704598304932,0.6132704598304932,lean_candidate_oriented_pass
t1429,center,0.72,501,501,437,501,501,0.004916489600273188,14.136,-0.00230105834925539,14.136,0.01213350383643555,14.136,0.007935135844036094,14.136,0.020558695234273994,0.027775709470436356,0.015749309207381518,0.021695122064220224,0.0,0.004809386026892477,-0.016885736037327747,0.012026400263054838,-0.5697344824057169,0.5697344824057169,lean_candidate_oriented_pass
t1429,center,0.73,501,501,501,501,501,0.009262627984356649,14.136,0.0009166958973918574,14.136,0.017608047729482747,14.136,0.013665126513028161,14.136,0.02320013670203972,0.03154555644716582,0.01403287661959944,0.022596734893582545,0.0,0.009167260082440282,-0.013429474811142263,0.01751267982756638,-0.5848363586991328,0.5848363586991328,lean_candidate_oriented_pass
t1429,center,0.737,501,501,501,501,501,0.012053368286870423,14.136,0.002909757609648348,14.135,0.021196461993755432,14.136,0.01742747967792298,14.136,0.024909373920553236,0.03405246762743824,0.012943932317730686,0.02329537914332604,0.0,0.01196544160282255,-0.01132993754050349,0.021108535309707556,-0.5950494967118453,0.5950494967118453,lean_candidate_oriented_pass
t1429,center,0.74,501,501,501,501,501,0.013190325961690372,14.136,0.003703005057427539,14.135,0.022677026469269324,14.136,0.018981255463811884,14.136,0.025608911328791964,0.035095611836370916,0.012503503406275193,0.023616893061245637,0.0,0.01310540792251677,-0.010511485138728866,0.022592108430095723,-0.59933908952247,0.59933908952247,lean_candidate_oriented_pass
