label,box_id,sigma,t,main_abs,D0_abs,Drest_abs,RvecTail_abs,rest_combined,rest_separate,z0_re,z0_im,destructive_ratio,angle_D0_over_M,bounded_surplus_combined,angular_surplus_combined,angular_surplus_separate,failure_class
angular_positive_box_sigmas084_086_t32p82_32p86,s0_t0,0.84,32.82,0.06643330286212154,0.011851518502055205,0.002679782035676537,0.0004192657373509587,0.003080431115855131,0.003099047773027496,0.06710996818504612,0.1652931661601266,0.0,67.90256701261524,0.06335287174626641,0.06335287174626641,0.06333425508909404,pass_angular_pointwise
angular_positive_box_sigmas084_086_t32p82_32p86,s0_t0,0.84,32.821,0.06628381614947887,0.011851195050020141,0.00267985418561153,0.0004189988782637796,0.0030812682951999373,0.0030988530638753095,0.06915948862679171,0.16487725745267132,0.0,67.24387774836829,0.06320254785427894,0.06320254785427894,0.06318496308560356,pass_angular_pointwise
angular_positive_box_sigmas084_086_t32p82_32p86,s0_t0,0.84,32.822,0.06613498829539431,0.011850871530232001,0.002679926700930483,0.0004187346450863564,0.0030820793730022803,0.0030986613460168393,0.07121236389575387,0.16443427293805357,0.0,66.58377239439649,0.06305290892239203,0.06305290892239203,0.06303632694937747,pass_angular_pointwise
angular_positive_box_sigmas084_086_t32p82_32p86,s0_t0,0.84,32.823,0.06598683579475033,0.011850547942703921,0.0026799995821051646,0.000418473048055755,0.0030828643226552214,0.0030984726301609197,0.07326823790685562,0.16396396421587417,0.0,65.92224625904969,0.0629039714720951,0.0629039714720951,0.06288836316458941,pass_angular_pointwise
angular_positive_box_sigmas084_086_t32p82_32p86,s0_t0,0.84,32.824,0.0658393752161756,0.01185022428745068,0.002680072829607228,0.00041821409737773,0.003083623118515229,0.003098286926984958,0.07532674610238216,0.16346608627412396,0.0,65.25929484717727,0.06275575209766036,0.06275575209766036,0.06274108828919064,pass_angular_pointwise
angular_positive_box_sigmas084_086_t32p82_32p86,s0_t1,0.84,32.825,0.06569262320004171,0.01184990056448525,0.00268014644390742,0.00041795780322563986,0.003084355735900575,0.0030981042471330596,0.07738751540145014,0.1629403977301697,0.0,64.59491386602456,0.06260826746414114,0.06260826746414114,0.06259451895290866,pass_angular_pointwise
angular_positive_box_sigmas084_086_t32p82_32p86,s0_t1,0.84,32.826,0.06554659645638966,0.011849576773822744,0.002680220425476478,0.00041770417574132993,0.003085062151093293,0.003097924601217808,0.07945016415534979,0.1623866610773923,0.0,63.929099231138636,0.06246153430529637,0.06246153430529637,0.062448671855171854,pass_angular_pointwise
angular_positive_box_sigmas084_086_t32p82_32p86,s0_t1,0.84,32.827,0.06540131176276724,0.011849252915474553,0.0026802947747838002,0.00041745322503164054,0.0030857423413350343,0.0030977479998154406,0.08151430210877954,0.16180464293729652,0.0,63.26184707234587,0.06231556942143221,0.06231556942143221,0.0623035637629518,pass_angular_pointwise
angular_positive_box_sigmas084_086_t32p82_32p86,s0_t1,0.84,32.828,0.06525678596200309,0.011848928989455535,0.00268036949229907,0.0004172049611707399,0.0030863962848311694,0.00309757445346981,0.08357953036739707,0.16119411431726255,0.0,62.59315373979619,0.062170389677171915,0.062170389677171915,0.06215921150853328,pass_angular_pointwise
angular_positive_box_sigmas084_086_t32p82_32p86,s0_t1,0.84,32.829,0.06511303595989947,0.01184860499577815,0.0026804445784909246,0.00041695939419654244,0.0030870239607465873,0.003097403972687467,0.08564544137193207,0.1605548508734827,0.0,61.923015810036816,0.06202601199915288,0.06202601199915288,0.062015631987212,pass_angular_pointwise
