t,sigma,r,main,defect,tail_upper,surplus,coverage_ratio,vertical_tail_upper,tilt_tail_upper,horizontal_tail_upper,cutoff_budget,defect_j0,defect_j1,defect_j2,defect_j3,seed_abs,horizontal_delta_abs,vertical_rectangular_residual_abs,target_rect_abs,central_ref_abs
24.5,0.5,0.35355339059327384,0.19123515762419133,0.0,0.008705348102431535,0.1825298095217598,0.04552169282354965,0.003021324532574276,0.005684023569856954,0.0,3.056265732929336e-16,0.0,0.0,0.0,0.0,0.23516273692940418,0.0,0.2037815561947304,0.1923412590865314,0.19234125908653113
24.501,0.5,0.3535533905932738,0.19088090476360348,0.0,0.00869889413829557,0.1821820106253079,0.04557236434450433,0.003021324532574273,0.005677569605720853,0.0,4.449557262054371e-16,0.0,0.0,0.0,0.0,0.23489571976249143,0.0,0.20358600610472435,0.1919927536247547,0.19199275362475432
24.502,0.5,0.3535533905932738,0.190526536309272,0.0,0.008692441729687818,0.1818340945795842,0.045623260140402806,0.003021324532574273,0.00567111719711324,0.0,3.0531133177191805e-16,0.0,0.0,0.0,0.0,0.2346287669518099,0.0,0.20339045681516557,0.1916440951120595,0.19164409511205976
24.503,0.5,0.35355339059327384,0.19017205252015235,0.0,0.00868599089155281,0.18148606162859954,0.04567438157419248,0.003021324532574276,0.005664666358978433,0.0,1.0007415106216804e-16,0.0,0.0,0.0,0.0,0.2343618791156448,0.0,0.203194908812628,0.19129528377586252,0.19129528377586247
24.504,0.5,0.3535533905932738,0.18981745365481706,0.0,0.008679541638862816,0.18113791201595425,0.04572573001978289,0.003021324532574273,0.005658217106287905,0.0,6.38378239159465e-16,0.0,0.0,0.0,0.0,0.234095056873405,0.0,0.20299936258503332,0.19094631984376734,0.1909463198437679
24.505,0.5,0.3535533905932738,0.18946273997149002,0.0,0.008673093986615924,0.1807896459848741,0.045777306862135714,0.003021324532574273,0.005651769454041358,0.0,2.9275225451776116e-16,0.0,0.0,0.0,0.0,0.23382830084566653,0.0,0.20280381862169072,0.19059720354361498,0.19059720354361467
24.506,0.5,0.3535533905932738,0.18910791172801483,0.0,0.008666647949840402,0.18044126377817443,0.04582911349740481,0.003021324532574273,0.0056453234172659525,0.0,1.7772239894833365e-16,0.0,0.0,0.0,0.0,0.2335616116541419,0.0,0.2026082774132724,0.19024793510343485,0.19024793510343466
24.507,0.5,0.3535533905932738,0.1887529691818961,0.0,0.008660203543592702,0.1800927656383034,0.04588115133302671,0.003021324532574273,0.005638879011017897,0.0,5.33167196845001e-16,0.0,0.0,0.0,0.0,0.23329498992174544,0.0,0.20241273945187083,0.18989851475150168,0.18989851475150188
24.508,0.5,0.3535533905932738,0.18839791259025807,0.0,0.008653760782955232,0.17974415180730283,0.045933421787830955,0.003021324532574273,0.005632436250380758,0.0,2.0206364052201328e-16,0.0,0.0,0.0,0.0,0.2330284362725232,0.0,0.20221720523094014,0.18954894271628858,0.18954894271628872
24.509,0.5,0.35355339059327384,0.18804274220988026,0.0,0.008647319683041667,0.1793954225268386,0.04598592629217313,0.003021324532574276,0.0056259951504668846,0.0,5.064917260848194e-16,0.0,0.0,0.0,0.0,0.23276195133171193,0.0,0.202021675245349,0.18919921922650018,0.18919921922650065
24.51,0.5,0.35355339059327373,0.18768745829714736,0.0,0.008640880258991103,0.17904657803815627,0.046038666288031,0.00302132453257427,0.0056195557264165545,0.0,2.779024842816778e-16,0.0,0.0,0.0,0.0,0.23249553572570467,0.0,0.20182614999135143,0.18884934451102986,0.1888493445110296
24.511,0.5,0.35355339059327373,0.1873320611081198,0.0,0.00863444252597393,0.1786976185821459,0.04609164322913476,0.00302132453257427,0.005613117993398993,0.0,6.662783593823664e-16,0.0,0.0,0.0,0.0,0.23222919008209073,0.0,0.20163062996662445,0.188499318799021,0.1884993187990204
24.512,0.5,0.35355339059327384,0.18697655089846285,0.0,0.008628006499186441,0.17834854439927642,0.0461448585810734,0.003021324532574276,0.005606681966611827,0.0,3.376611507232129e-16,0.0,0.0,0.0,0.0,0.23196291502963506,0.0,0.20143511567025094,0.18814914231980406,0.18814914231980376
24.513,0.5,0.3535533905932738,0.1866209279234938,0.0,0.00862157219385564,0.17799935572963815,0.04619831382142788,0.003021324532574273,0.005600247661280976,0.0,3.925231146709438e-16,0.0,0.0,0.0,0.0,0.2316967111982742,0.0,0.20123960760271772,0.1877988153029443,0.18779881530294398
24.514,0.5,0.3535533905932738,0.18626519243815154,0.0,0.008615139625235744,0.1776500528129158,0.046252010439880545,0.003021324532574273,0.005593815092661387,0.0,8.441528768080323e-17,0.0,0.0,0.0,0.0,0.231430579219144,0.0,0.20104410626594194,0.1874483379782064,0.18744833797820631
24.515,0.5,0.3535533905932738,0.18590934469703102,0.0,0.008608708808611735,0.1773006358884193,0.04630594993834764,0.003021324532574273,0.005587384276037096,0.0,3.663841114510704e-16,0.0,0.0,0.0,0.0,0.23116451972458468,0.0,0.20084861216327612,0.18709771057559316,0.18709771057559352
24.516,0.5,0.3535533905932738,0.1855533849543348,0.0,0.008602279759295407,0.1769511051950394,0.046360133831093685,0.003021324532574273,0.005580955226720352,0.0,7.832041159795667e-16,0.0,0.0,0.0,0.0,0.23089853334810354,0.0,0.2006531257994779,0.18674693332529668,0.18674693332529738
24.517,0.5,0.3535533905932738,0.18519731346391852,0.0,0.008595852492627601,0.17660146097129092,0.046414563644857125,0.003021324532574273,0.005574527960053228,0.0,1.0007415106216804e-16,0.0,0.0,0.0,0.0,0.2306326207244418,0.0,0.20045764768077032,0.18639600645774518,0.18639600645774515
24.518,0.5,0.35355339059327373,0.1848411304792699,0.0,0.00858942702398092,0.17625170345528898,0.046469240918996825,0.00302132453257427,0.005568102491406226,0.0,4.2457866502527573e-16,0.0,0.0,0.0,0.0,0.23036678248951686,0.0,0.20026217831479198,0.18604493020357438,0.18604493020357468
24.519,0.5,0.3535533905932738,0.18448483625351067,0.0,0.008583003368754462,0.17590183288475622,0.0465241672055913,0.003021324532574273,0.005561678836179682,0.0,5.064917260848194e-16,0.0,0.0,0.0,0.0,0.23010101928048013,0.0,0.2000667182106502,0.18569370479364322,0.18569370479364372
24.52,0.5,0.3535533905932738,0.18412843103938004,0.0,0.008576581542377719,0.1755518494970023,0.04657934406959359,0.003021324532574273,0.005555257009802637,0.0,8.0789705913119525e-16,0.0,0.0,0.0,0.0,0.22983533173567122,0.0,0.19987126787888213,0.18534233045900703,0.18534233045900775
24.521,0.5,0.3535533905932738,0.1837719150892733,0.0,0.008570161560308633,0.17520175352896467,0.04663477308894231,0.003021324532574273,0.005548837027733837,0.0,5.224024053540252e-16,0.0,0.0,0.0,0.0,0.22956972049465824,0.0,0.19967582783149196,0.18499080743096172,0.18499080743096222
24.522,0.5,0.35355339059327384,0.1834152886552074,0.0,0.008563743438035945,0.17485154521717144,0.04669045585471595,0.003021324532574276,0.005542418905461518,0.0,1.5011122659325205e-16,0.0,0.0,0.0,0.0,0.22930418619822934,0.0,0.19948039858194427,0.1846391359410059,0.18463913594100603
24.523,0.5,0.35355339059327373,0.18305855198882764,0.0,0.008557327191078106,0.17450122479774954,0.04674639397125994,0.00302132453257427,0.0055360026585031955,0.0,6.407872222066844e-16,0.0,0.0,0.0,0.0,0.22903872948838494,0.0,0.1992849806451607,0.18428731622084824,0.18428731622084885
24.524,0.5,0.35355339059327373,0.18270170534142674,0.0,0.008550912834981182,0.17415079250644555,0.04680258905630644,0.00302132453257427,0.005529588302406828,0.0,8.326672684688674e-17,0.0,0.0,0.0,0.0,0.2287733510083834,0.0,0.19908957453755913,0.18393534850243395,0.18393534850243398
24.525,0.5,0.3535533905932738,0.1823447489639174,0.0,0.008544500385323936,0.17380024857859344,0.04685904274114706,0.003021324532574273,0.005523175852749298,0.0,3.650675994272796e-16,0.0,0.0,0.0,0.0,0.22850805140268077,0.0,0.198894180777005,0.18358323301790422,0.18358323301790447
24.526,0.5,0.3535533905932738,0.1819876831068395,0.0,0.008538089857712221,0.17344959324912726,0.046915756670739994,0.003021324532574273,0.005516765325137618,0.0,3.2987125042640323e-16,0.0,0.0,0.0,0.0,0.22824283131697973,0.0,0.1986987998828542,0.1832309699996169,0.1832309699996171
24.527,0.5,0.3535533905932738,0.18163050802038042,0.0,0.008531681267783456,0.17309882675259697,0.046972732503870615,0.003021324532574273,0.0055103567352089945,0.0,1.8875832159447664e-16,0.0,0.0,0.0,0.0,0.22797769139823176,0.0,0.19850343237595738,0.18287855968015918,0.18287855968015915
24.528,0.5,0.3535533905932738,0.18127322395435352,0.0,0.008525274631204971,0.17274794932314855,0.047029971913291085,0.003021324532574273,0.0055039500986304,0.0,2.9893669801409083e-16,0.0,0.0,0.0,0.0,0.22771263229462002,0.0,0.19830807877864617,0.18252600229232804,0.18252600229232777
24.529,0.5,0.3535533905932738,0.18091583115820226,0.0,0.008518869963674076,0.1723969611945282,0.04708747658586457,0.003021324532574273,0.005497545431099381,0.0,4.220764384040162e-16,0.0,0.0,0.0,0.0,0.22744765465559255,0.0,0.19811273961476505,0.18217329806913338,0.18217329806913374
24.53,0.5,0.3535533905932738,0.18055832988098694,0.0,0.008512467280917684,0.17204586260006927,0.047145248222713314,0.003021324532574273,0.005491142748343023,0.0,3.8882579728510553e-16,0.0,0.0,0.0,0.0,0.22718275913181946,0.0,0.19791741540963376,0.18182044724379154,0.18182044724379187
24.531,0.5,0.3535533905932738,0.18020072037142162,0.0,0.008506066598693952,0.17169465377272766,0.04720328853936671,0.003021324532574273,0.005484742066119436,0.0,2.423651445728339e-16,0.0,0.0,0.0,0.0,0.22691794637525448,0.0,0.1977221066901044,0.1814674500497528,0.181467450049753
24.532,0.5,0.35355339059327373,0.17984300287784397,0.0,0.00849966793279138,0.17134333494505258,0.047261599265914556,0.00302132453257427,0.005478343400216892,0.0,2.172217384091364e-16,0.0,0.0,0.0,0.0,0.22665321703909933,0.0,0.19752681398453156,0.18111430672067677,0.18111430672067702
24.533,0.5,0.3535533905932738,0.17948517764822505,0.0,0.008493271299028885,0.17099190634919617,0.04732018214715724,0.003021324532574273,0.005471946766454346,0.0,2.651347637902923e-16,0.0,0.0,0.0,0.0,0.22638857177782468,0.0,0.1973315378227921,0.1807610174904423,0.18076101749044243
24.534,0.5,0.3535533905932738,0.17912724493014268,0.0,0.008486876713255405,0.17064036821688727,0.04737903894276484,0.003021324532574273,0.005465552180680975,0.0,1.5700924586837752e-16,0.0,0.0,0.0,0.0,0.22612401124715226,0.0,0.19713627873627096,0.1804075825931193,0.18040758259311931
24.535,0.5,0.35355339059327384,0.17876920497085255,0.0,0.008480484191352135,0.1702887207795004,0.047438171427426984,0.003021324532574276,0.005459159658777455,0.0,4.0412728104402656e-16,0.0,0.0,0.0,0.0,0.22585953610410645,0.0,0.1969410372579094,0.18005400226304188,0.1800540022630415
24.536,0.5,0.35355339059327373,0.17841105801718882,0.0,0.008474093749228966,0.16993696426795984,0.04749758139101747,0.00302132453257427,0.0054527692166544675,0.0,2.2887833992611187e-16,0.0,0.0,0.0,0.0,0.22559514700695377,0.0,0.19674581392215204,0.17970027673470457,0.17970027673470476
24.537,0.5,0.35355339059327373,0.1780528043156542,0.0,0.00846770540282884,0.16958509891282536,0.04755727063875494,0.00302132453257427,0.005446380870254372,0.0,1.9869968258640557e-16,0.0,0.0,0.0,0.0,0.2253308446152701,0.0,0.1965506092650086,0.17934640624286236,0.1793464062428623
24.538,0.5,0.3535533905932738,0.17769444411235383,0.0,0.008461319168124187,0.16923312494422965,0.04761724099136272,0.003021324532574273,0.005439994635549606,0.0,3.065703529144609e-16,0.0,0.0,0.0,0.0,0.22506662958987658,0.0,0.1963554238239992,0.17899239102245185,0.17899239102245207
24.539,0.5,0.35355339059327373,0.17733597765304732,0.0,0.008454935061119408,0.1688810425919279,0.04767749428523321,0.00302132453257427,0.005433610528544969,0.0,1.6939998869943826e-16,0.0,0.0,0.0,0.0,0.22480250259293355,0.0,0.19616025813823834,0.17863823130865433,0.1786382313086545
24.54,0.5,0.3535533905932738,0.1769774051831105,0.0,0.00844855309784996,0.16852885208526056,0.04773803237259935,0.003021324532574273,0.0054272285652755764,0.0,1.1188630228279524e-16,0.0,0.0,0.0,0.0,0.22453846428785454,0.0,0.19596511274836115,0.17828392733685094,0.17828392733685097
24.541,0.5,0.3535533905932738,0.17661872694755096,0.0,0.00844217329438277,0.1681765536531682,0.047798857121701344,0.003021324532574273,0.0054208487618082205,0.0,2.7755575615628914e-16,0.0,0.0,0.0,0.0,0.2242745153393647,0.0,0.19576998819657682,0.17792947934264097,0.17792947934264072
24.542,0.5,0.3535533905932738,0.1762599431910033,0.0,0.0084357956668155,0.1678241475241878,0.04785997041695451,0.003021324532574273,0.005414471134241031,0.0,1.962615573354719e-16,0.0,0.0,0.0,0.0,0.22401065641348514,0.0,0.1955748850266563,0.17757488756183543,0.17757488756183545
24.543,0.5,0.3535533905932738,0.17590105415774032,0.0,0.008429420231278136,0.1674716339264622,0.04792137415912814,0.003021324532574273,0.005408095698703785,0.0,7.850462293418876e-17,0.0,0.0,0.0,0.0,0.22374688817754632,0.0,0.19537980378394584,0.17722015223047266,0.17722015223047258
