scope,pass_column,N,K,M,component_id,size,sigma_min,sigma_max,t_min,t_max,sigma_count,t_count,best_slack,best_sigma,best_t,best_N,best_K,best_M,mean_slack,touches_sigma_boundary,touches_t_boundary,likely_grid_accident
per_parameter,current_pass_Q,25,3,100,1,5,0.88,0.96,33.0,33.0,5,1,0.008943258807514088,0.9,33.0,25,3,100,0.008066503964882732,yes,no,yes
per_parameter,current_pass_Q,25,3,200,1,5,0.88,0.96,33.0,33.0,5,1,0.0038596137595544944,0.88,33.0,25,3,200,0.0028564392631558588,yes,no,yes
per_parameter,current_pass_Q,25,3,25,1,5,0.88,0.96,33.0,33.0,5,1,0.009818579243213246,0.88,33.0,25,3,25,0.008462426269232864,yes,no,yes
per_parameter,current_pass_Q,25,3,50,1,5,0.88,0.96,33.0,33.0,5,1,0.004216265827516054,0.9,33.0,25,3,50,0.0038144795915139723,yes,no,yes
per_parameter,current_pass_Q,25,4,100,1,5,0.88,0.96,33.0,33.0,5,1,0.0036439231495811963,0.92,33.0,25,4,100,0.003273985213629449,yes,no,yes
per_parameter,current_pass_Q,25,4,25,1,5,0.88,0.96,33.0,33.0,5,1,0.005222180430137865,0.9,33.0,25,4,25,0.004819485288114531,yes,no,yes
per_parameter,current_pass_Q,25,5,100,1,5,0.88,0.96,33.0,33.0,5,1,0.004445377209164638,0.92,33.0,25,5,100,0.004019977880504668,yes,no,yes
per_parameter,current_pass_Q,25,5,200,1,5,0.88,0.96,33.0,33.0,5,1,0.0017103223098371048,0.9,33.0,25,5,200,0.0014744096398125615,yes,no,yes
per_parameter,current_pass_Q,25,5,25,1,5,0.88,0.96,33.0,33.0,5,1,0.005936658856703844,0.92,33.0,25,5,25,0.005571623197617286,yes,no,yes
per_parameter,current_pass_Q,25,6,100,1,5,0.88,0.96,33.0,33.0,5,1,0.004721906213177004,0.92,33.0,25,6,100,0.004317746851792425,yes,no,yes
per_parameter,current_pass_Q,25,6,200,1,5,0.88,0.96,33.0,33.0,5,1,0.0011186663814232618,0.9,33.0,25,6,200,0.000881287341337672,yes,no,yes
per_parameter,current_pass_Q,25,6,25,1,5,0.88,0.96,33.0,33.0,5,1,0.006100226776929499,0.9,33.0,25,6,25,0.005687213648871345,yes,no,yes
per_parameter,current_pass_Q,25,7,100,1,5,0.88,0.96,33.0,33.0,5,1,0.004584310924643193,0.92,33.0,25,7,100,0.004176680235551149,yes,no,yes
per_parameter,current_pass_Q,25,7,200,1,5,0.88,0.96,33.0,33.0,5,1,0.001096320261754008,0.9,33.0,25,7,200,0.0008676600304604468,yes,no,yes
per_parameter,current_pass_Q,25,7,25,1,5,0.88,0.96,33.0,33.0,5,1,0.0059952390371755615,0.9,33.0,25,7,25,0.00560247335801452,yes,no,yes
per_parameter,current_pass_Q,25,8,100,1,5,0.88,0.96,33.0,33.0,5,1,0.004612469155342504,0.92,33.0,25,8,100,0.004204388792815877,yes,no,yes
per_parameter,current_pass_Q,25,8,200,1,5,0.88,0.96,33.0,33.0,5,1,0.0011471864093094274,0.9,33.0,25,8,200,0.0009144650702908833,yes,no,yes
per_parameter,current_pass_Q,25,8,25,1,5,0.88,0.96,33.0,33.0,5,1,0.006019559604417467,0.9,33.0,25,8,25,0.005624461293577453,yes,no,yes
per_parameter,current_pass_Q,50,3,100,1,5,0.88,0.96,33.0,33.0,5,1,0.010951341009997392,0.9,33.0,50,3,100,0.010017468167649311,yes,no,yes
per_parameter,current_pass_Q,50,3,200,1,5,0.88,0.96,33.0,33.0,5,1,0.005897569844202398,0.88,33.0,50,3,200,0.004807403465922439,yes,no,yes
per_parameter,current_pass_Q,50,3,25,1,5,0.88,0.96,33.0,33.0,5,1,0.01185653532786115,0.88,33.0,50,3,25,0.010413390471999445,yes,no,yes
per_parameter,current_pass_Q,50,3,50,1,5,0.88,0.96,33.0,33.0,5,1,0.006224348029999358,0.9,33.0,50,3,50,0.005765443794280552,yes,no,yes
per_parameter,current_pass_Q,50,4,100,1,5,0.88,0.96,33.0,33.0,5,1,0.0056067961051698015,0.92,33.0,50,4,100,0.005224949416396028,yes,no,yes
per_parameter,current_pass_Q,50,4,200,1,4,0.88,0.94,33.0,33.0,4,1,0.00033945943744221794,0.9,33.0,50,4,200,0.00021456262791905758,yes,no,yes
