label,box_id,sigma_min,sigma_max,t_min,t_max,points,lambdaConst,lambdaMin,lambdaMean,mainNormLowerConst,restUpperCombinedConst,restUpperSeparateConst,angularBudgetCombinedConst,angularBudgetSeparateConst,min_pointwise_angular_surplus_combined,max_pointwise_destructive_ratio,min_pointwise_destructive_ratio,max_abs_z0,max_D0_abs,pass_combined_const,pass_separate_const,recommended_mode
angular_bad_window_sigma05_t11p5_13,s0.5_t0,0.5,0.5,11.5,11.509,10,1.6340727797265595,1.6220184164353673,1.6287952274236723,0.7931941859187713,0.42573185285931014,0.42871727564495404,-0.9286746951877709,-0.9316601179734147,-0.9277668698715213,1.6340727797265595,1.6220184164353673,1.6775607528119145,1.3315787220271498,False,False,fail_lambda_ge_one
angular_bad_window_sigma05_t11p5_13,s0.5_t1,0.5,0.5,11.51,11.519,10,1.6362518846157947,1.6347727409256922,1.635689730411818,0.7834026650630354,0.42380117356009644,0.42715798006274736,-0.9222425956194888,-0.9255994021221399,-0.9265419566806334,1.6362518846157947,1.6347727409256922,1.697185064167803,1.3305262030526657,False,False,fail_lambda_ge_one
angular_bad_window_sigma05_t11p5_13,s0.5_t10,0.5,0.5,11.6,11.609,10,1.2642663113924764,1.2125893587450742,1.238222351610272,0.8723597468346517,0.40659449967811645,0.4136650791987151,-0.6371297921813843,-0.644200371701983,-0.6371297921813843,1.2642663113924764,1.2125893587450742,1.5143669138497036,1.3210727375806999,False,False,fail_lambda_ge_one
angular_bad_window_sigma05_t11p5_13,s0.5_t100,0.5,0.5,12.5,12.509,10,0.9270468008808705,0.9242823857910161,0.9255921450330475,1.2219425711383505,0.33069117486214894,0.334929202694692,-0.24154655515775186,-0.24578458299029493,-0.24154655515775186,0.9270468008808705,0.9242823857910161,1.0052604938608458,1.2283705925321302,False,False,fail_lambda_large
angular_bad_window_sigma05_t11p5_13,s0.5_t101,0.5,0.5,12.51,12.519,10,0.9240347600785584,0.922317451199227,0.9231088087693541,1.235499223724954,0.32998651461121403,0.334542661926372,-0.23613151965819312,-0.2406876669733511,-0.23613151965819312,0.9240347600785584,0.922317451199227,0.9934112587221525,1.227358838990849,False,False,fail_lambda_large
angular_bad_window_sigma05_t11p5_13,s0.5_t102,0.5,0.5,12.52,12.529,10,0.9221820195592036,0.9214413288987153,0.9217486377810786,1.2472550213430944,0.3292894023115738,0.3341633281483252,-0.2322305354560118,-0.23710446129276325,-0.2322305354560118,0.9221820195592036,0.9214413288987153,0.9832371585422567,1.226347483162946,False,False,fail_lambda_large
angular_bad_window_sigma05_t11p5_13,s0.5_t103,0.5,0.5,12.53,12.539,10,0.9215891077643149,0.9213807607369517,0.9214404697335489,1.2571747648075355,0.32860123583900247,0.33379105326776864,-0.23002504083425607,-0.23521485826302224,-0.22980111235720974,0.9215891077643149,0.9213807607369517,0.9746747702635303,1.2253365250698927,False,False,fail_lambda_large
angular_bad_window_sigma05_t11p5_13,s0.5_t104,0.5,0.5,12.54,12.549,10,0.9227086631173972,0.9216580892120425,0.9221265302528007,1.2652313169987994,0.32792339829543504,0.333425688634146,-0.23013197833886162,-0.2356342686775726,-0.22909582795149294,0.9227086631173972,0.9216580892120425,0.9676696650554525,1.224325964737897,False,False,fail_lambda_large
angular_bad_window_sigma05_t11p5_13,s0.5_t105,0.5,0.5,12.55,12.559,10,0.9247595038674923,0.9228724120839855,0.9237611793548857,1.2714052857150189,0.3272572508309052,0.3330670850965099,-0.23159608634821444,-0.23740592061381915,-0.2307114311963766,0.9247595038674923,0.9228724120839855,0.9621761179872962,1.2233158021978066,False,False,fail_lambda_large
angular_bad_window_sigma05_t11p5_13,s0.5_t106,0.5,0.5,12.56,12.568999999999999,10,0.9277118282823119,0.9250145730314572,0.9263098748765257,1.2756847553445865,0.32660412551867624,0.332715093062308,-0.23438720686668985,-0.24049817441032162,-0.23365056195550932,0.9277118282823119,0.9250145730314572,0.9581568113627265,1.222306037485009,False,False,fail_lambda_large
