source_box_id,sigma_min,sigma_max,t_min,t_max,mainNormLowerConst_raw,numeratorUpperConst_raw,restUpperCombinedConst_raw,restUpperSeparateConst_raw,mainNormLowerConst_rat,numeratorUpperConst_rat,parallelUpperConst_rat,restUpperCombinedConst_rat,restUpperSeparateConst_rat,budgetCombinedConst_rat,budgetSeparateConst_rat,certified_combined_rat,certified_separate_rat
s0.84_t0,0.84,0.84,32.82,32.824,0.055948109141748074,4.932331076515e-05,0.009564747009115212,0.009569664294255513,0.055948109141,0.000049323311,0.000881590313,0.009564747010,0.009569664295,0.045501771818,0.045496854533,True,True
s0.84_t1,0.84,0.84,32.825,32.829,0.055214852713050926,1.0863915647200477e-05,0.009538753596760539,0.009549648950340679,0.055214852713,0.000010863916,0.000196757131,0.009538753597,0.009549648951,0.045479341985,0.045468446631,True,True
s0.84_t2,0.84,0.84,32.83,32.834,0.054499061832326424,5e-324,0.009505915459649685,0.00952507510902585,0.054499061832,0.000000000001,0.000000000019,0.009505915460,0.009525075110,0.044993146353,0.044973986703,True,True
s0.84_t3,0.84,0.84,32.835,32.839,0.0538008644456791,5e-324,0.009466110068572418,0.009495764740580068,0.053800864445,0.000000000001,0.000000000019,0.009466110069,0.009495764741,0.044334754357,0.044305099685,True,True
s0.84_t4,0.84,0.84,32.84,32.844,0.05312316260364609,5e-324,0.009419938492320085,0.009462318711723858,0.053123162603,0.000000000001,0.000000000019,0.009419938493,0.009462318712,0.043703224091,0.043660843872,True,True
s0.84_t5,0.84,0.84,32.845,32.849000000000004,0.05246816463564666,5e-324,0.009367361902509768,0.009424753835108273,0.052468164635,0.000000000001,0.000000000020,0.009367361903,0.009424753836,0.043100802712,0.043043410779,True,True
s0.84_t6,0.84,0.84,32.85,32.854,0.05183631819642877,5e-324,0.009308037589825189,0.009382794528048096,0.051836318196,0.000000000001,0.000000000020,0.009308037590,0.009382794529,0.042528280586,0.042453523647,True,True
s0.84_t7,0.84,0.84,32.855,32.859,0.0512304176890232,5e-324,0.009242234468723666,0.009336474600565758,0.051230417689,0.000000000001,0.000000000020,0.009242234469,0.009336474601,0.041988183200,0.041893943068,True,True
s0.84_t8,0.84,0.84,32.86,32.86,0.06113582348876163,5e-324,0.0030933849308432274,0.003093695894607568,0.061135823488,0.000000000001,0.000000000017,0.003093384931,0.003093695895,0.058042438540,0.058042127576,True,True
s0.85_t0,0.85,0.85,32.82,32.824,0.05704694679504385,2.0642638337700725e-05,0.008796160233054105,0.008800485231309815,0.057046946795,0.000020642639,0.000361853529,0.008796160234,0.008800485232,0.047888933032,0.047884608034,True,True
s0.85_t1,0.85,0.85,32.825,32.829,0.05638195869136093,5e-324,0.008772472859277318,0.008782120870448452,0.056381958691,0.000000000001,0.000000000018,0.008772472860,0.008782120871,0.047609485813,0.047599837802,True,True
s0.85_t2,0.85,0.85,32.83,32.834,0.05573328134741497,5e-324,0.00874258984850405,0.008759612558412016,0.055733281347,0.000000000001,0.000000000018,0.008742589849,0.008759612559,0.046990691480,0.046973668770,True,True
