sigma,t,q_abs,main_base_complex_re,main_base_complex_im,main_seeded_complex_re,main_seeded_complex_im,main_seeded_oriented,seed_complex_re,seed_complex_im,oriented_gain,seed_parallel_to_main,seed_perp_to_main,angle_seed_vs_main,horizontal_defect_total_abs,horizontal_defect_complex_re,horizontal_defect_complex_im,horizontal_defect_complex_abs,horizontal_defect_parallel_to_main,horizontal_defect_perp_to_main,horizontal_defect_parallel_to_seeded_main,horizontal_defect_perp_to_seeded_main,angle_defect_vs_main,angle_defect_vs_seeded_main,defect_j0_abs,defect_j1_abs,defect_j2_abs,defect_j3_abs,defect_j0_parallel,defect_j1_parallel,defect_j2_parallel,defect_j3_parallel,defect_j0_perp,defect_j1_perp,defect_j2_perp,defect_j3_perp,dominant_defect_layer,phase_aware_defect_cost,norm_over_projected_ratio,current_minus_projected_gain,seed_prefix_norm_tax,tilt_tail_upper,vertical_tail,horizontal_tail,cutoff_budget,tail_without_tilt,surplus_current_oriented,surplus_projected_parallel,surplus_projected_phase_aware,failure_class_refined
0.74,14.25,0.29936967615473214,0.04930373027111917,-0.05021702780828117,0.016509789037978194,0.04056582480123033,0.043796795269547516,-0.028751582504402393,0.11951404466778992,-0.026577970808535877,0.08775458891387958,0.040200759123168256,155.38727821117348,0.11195496426903222,0.022279311732952178,-0.0579573598565387,0.062092054989623155,0.0,0.02470648668047839,0.04528325319361445,0.04248352943244463,23.44702115215181,136.8270918989295,0.07907417767974118,0.023672410964185868,0.007086802004150053,0.002121573620955108,0.06328569151331051,0.0,0.006844602232063689,0.0,0.04740935377548795,0.004479489623096802,0.001836894915571913,0.0013905601956253862,j0,0.001287268923122406,2.4723260007480947,0.06667171107541778,0.09652444721169341,0.0014092182994955643,0.0010274434202399707,0.0009065191531504725,3.6351649045081225e-11,0.0019339626097420923,-0.07150134990872237,-0.004829638833304594,0.03916634543718745,seed_phase_hurts
0.74,14.251,0.29936967615473214,0.049245281222064854,-0.05028196394415645,0.01722087149707258,0.040827644344979874,0.04431088983397709,-0.02771186181571373,0.11981431446490466,-0.026069317758226726,0.0874993313108756,0.04087041180345095,154.96300447475488,0.11194516079900887,0.02166013343543237,-0.05819091740813608,0.06209141848308227,0.0,0.025241670985130363,0.04519863430977037,0.04257261685371124,23.986683503428218,136.71371428714667,0.07906725345502669,0.02367033806127546,0.007086181439877065,0.0021213878428296704,0.06319322046241127,0.0,0.0068448199474950506,0.0,0.047521021206519895,0.004505553162331658,0.0018336868012918815,0.0013908356108148885,j0,0.0017290181509803451,2.476737682642996,0.0667465264892385,0.09657392785236624,0.0014098316861121997,0.0010274434202399707,0.000906439772719229,3.635141987171999e-11,0.0019338832293106197,-0.0709779858804546,-0.004231459391216102,0.039238156767573924,seed_phase_hurts
0.74,14.252,0.29936967615473214,0.04918674659538018,-0.050346840140352615,0.01793466033318517,0.04108245753606175,0.04482655862844083,-0.026669681306606387,0.12010488792340956,-0.025559095824411737,0.08723886606649064,0.04153780948455248,154.53906826802748,0.11193535785839667,0.021038504440890886,-0.058417865889620106,0.06209078614582863,0.0,0.025774606493049267,0.045121265731266645,0.04265368803533227,24.526345586374237,136.61030628649286,0.07906032960423708,0.023668265270306833,0.007085560909116051,0.0021212020747367016,0.06310883633580032,0.0,0.006844717732500681,0.0,0.047621533926069326,0.004527565918856042,0.001831669336748367,0.0013913893648673434,j0,0.0021718524954488574,2.480767240109388,0.06681409212713003,0.0966230271174634,0.0014104393036794825,0.0010274434202399707,0.0009063603965747211,3.63511850107373e-11,0.001933803853165877,-0.07045304238680121,-0.003638950259671175,0.03931046297614661,seed_phase_hurts
0.74,14.253,0.2993696761547322,0.04912812643261975,-0.050411656277108106,0.018651083902470434,0.04133023767874083,0.04534370383325782,-0.025625140541027835,0.12038574253773221,-0.025047402816522624,0.0869732145778924,0.042202904804985245,154.11547163053078,0.11192555544725102,0.020414495230346878,-0.05863817955003187,0.06209015796768142,0.0,0.026305246077495636,0.04505096103299392,0.04272702454483924,25.066007400866596,136.51656083948654,0.07905340612741153,0.023666192591291716,0.00708494041187052,0.0021210163166772524,0.06303233615123087,0.0,0.006844306451500062,0.0,0.04771127350704131,0.0045456556759765196,0.0018308057891842737,0.0013922125029587297,j0,0.0026156764413643244,2.4844210396595146,0.0668745944142571,0.09667173955190192,0.0014110410739800988,0.0010274434202399718,0.000906281024717399,3.635094417024283e-11,0.001933724481308315,-0.06992661716928161,-0.0030520227550245114,0.03938326183660508,seed_phase_hurts
0.74,14.254,0.29936967615473214,0.049069420775545436,-0.0504764122346269,0.019370070286981046,0.041570958831122294,0.04586223109554801,-0.024578339302762636,0.1206568568643772,-0.02453433307719783,0.0867023986843266,0.04286565060677828,153.6922165780031,0.11191575356563344,0.019788176555936527,-0.058851833389350794,0.062089533938473246,0.0,0.026833542815384193,0.04498753599506792,0.04279289461802379,25.60566894678549,136.4321813834002,0.0790464830245935,0.023664120024243087,0.007084319948144366,0.0021208305686524877,0.06296351812258064,0.0,0.00684359601885252,0.0,0.0477906043504872,0.004559945466436278,0.001831060528333822,0.0013932962623066883,j0,0.0030603979419540697,2.487705785395826,0.0669282175705655,0.09672005965443937,0.0014116369181501078,0.0010274434202399707,0.0009062016571477571,3.635053152581716e-11,0.0019336451137382594,-0.06939880450197378,-0.002470586931408276,0.039456551121705576,seed_phase_hurts
0.74,14.255,0.29936967615473214,0.04901062966612712,-0.050541107893078537,0.02009154730266079,0.04180459580800977,0.04638204936919157,-0.023529377583984067,0.12091821052410205,-0.02401997764232327,0.08642644066517938,0.04352599993960362,153.26930510236656,0.11190595221359831,0.019159619432922274,-0.059058803161348004,0.06208891404804293,0.0,0.027359449991416245,0.04493080886399284,0.042851553793212725,26.145330224010795,136.35688154472652,0.07903956029582138,0.02366204756917247,0.007083699517941029,0.002120644830663438,0.06290218206675108,0.0,0.006842595468421817,0.0,0.04785987445656413,0.004570553732092246,0.0018323990056783946,0.001394632074419232,j0,0.003505928258525158,2.4906284806120813,0.06697514334960546,0.09676798187827493,0.0014122267566880245,0.0010274434202399707,0.0009061222938662397,3.635036299491662e-11,0.0019335657504565733,-0.06886969535155132,-0.0018945520019458682,0.03953032860352181,seed_phase_hurts
0.74,14.256,0.29936967615473214,0.04895175314654355,-0.050605743132598274,0.020815442507372165,0.04203112418370172,0.046903070762195,-0.022478355573775387,0.12116978420399786,-0.02350442439366645,0.08614536323801478,0.044183906064903446,152.84673917171122,0.11189615139120566,0.01852889513167464,-0.05925906537636943,0.06208829828624248,0.0,0.027882921102201863,0.04488060057258536,0.042903245522051964,26.684991232419435,136.29038483175964,0.07903263794113756,0.02365997522609255,0.007083079121264313,0.002120459102711242,0.06284812975557585,0.0,0.006841313018528324,0.0,0.047919416170913824,0.0045775944834046435,0.0018347877317568082,0.001396211566299597,j0,0.0039521818075606355,2.493196391394899,0.06701555081862029,0.09681550063167424,0.0014128105094642232,0.0010274434202399707,0.0009060429348733306,3.6350269506904825e-11,0.0019334863914635709,-0.06833937752993845,-0.0013238267113181552,0.039604592053706575,seed_phase_hurts
0.74,14.257,0.29936967615473214,0.04889279125918155,-0.05067031783328836,0.021541683208963977,0.0422505202946851,0.04742521039117231,-0.021425373646616827,0.12141155965942395,-0.02298775820439508,0.08585918955655482,0.04483932245999388,152.42452073028156,0.11188635109851278,0.017896075169610413,-0.05945259730402588,0.06208768664293276,0.0,0.028403909860366842,0.04483673492303024,0.04294820175645229,27.224651971891554,136.23242432710694,0.07902571596058253,0.023657902995015436,0.007082458758117839,0.0021202733847969835,0.062801165218222,0.0,0.006839756132539936,0.0,0.04796954690547169,0.004581177457833709,0.0018381942519283421,0.001398026560742654,j0,0.004399076014934125,2.4954170122018122,0.06704961617548254,0.09686261027857819,0.0014133880957301198,0.0010274434202399707,0.0009059635801694941,3.635004626670646e-11,0.001933407036759511,-0.0678079358398301,-0.0007583196643475574,0.03967933924374856,seed_phase_hurts
0.74,14.258,0.29936967615473214,0.048833744046637054,-0.05073483187521816,0.02227019647335135,0.04246276124225847,0.04794838624269558,-0.02037053235087467,0.12164351971583753,-0.02247006107772688,0.08556794320864214,0.045492202822148914,152.00265169847458,0.1118765513355767,0.017261231303116558,-0.05963937697579899,0.06208707910798472,0.0,0.028922370198633016,0.04479903873710165,0.04298664351159345,27.764312442306405,136.1827423817144,0.07901879435419654,0.02365583087595319,0.00708183842850522,0.0021200876769217458,0.06276109499917074,0.0,0.006837931575351885,0.0,0.04801056983306767,0.004581408276378841,0.0018425871209413617,0.0014000690758459848,j0,0.0048465311770048425,2.4972980333821946,0.06707751259847505,0.09690930513923285,0.0014139594341276516,0.0010274434202399707,0.0009058842297551918,3.634974184277797e-11,0.0019333276863449044,-0.06727545221335368,-0.00019793961487862442,0.039754567945218186,seed_phase_hurts
0.74,14.259,0.29936967615473214,0.04877461155171504,-0.050799285138424785,0.023000909132634136,0.04266782489505339,0.04847251904123233,-0.019313932397259214,0.12186564827047842,-0.02195141227899204,0.085271648214146,0.046142501072661685,151.5811339728396,0.1118667521024552,0.016624435519439287,-0.059819383187562775,0.062086475671280165,0.0,0.029438256273884623,0.04476734197715635,0.04301878140511184,28.30397264354396,136.14109031169122,0.07901187312202042,0.023653758868918035,0.007081218132430117,0.0021199019790866212,0.06272772837635192,0.0,0.006835845465997536,0.0,0.0480427745555236,0.00457838859764695,0.0018479358766088155,0.0014023313238440143,j0,0.005294470328293117,2.4988473106028493,0.06709941012529884,0.09695557949080423,0.0014145244426985344,0.0010274434202399707,0.0009058048836308929,3.634940643021703e-11,0.00193324834022027,-0.06674200584414167,0.00035740428115717325,0.039830275930020406,seed_phase_hurts
