label,box_id,sigma_min,sigma_max,t_min,t_max,points,lambdaConst,lambdaMin,lambdaMean,mainNormLowerConst,restUpperCombinedConst,restUpperSeparateConst,angularBudgetCombinedConst,angularBudgetSeparateConst,min_pointwise_angular_surplus_combined,max_pointwise_destructive_ratio,min_pointwise_destructive_ratio,max_abs_z0,max_D0_abs,pass_combined_const,pass_separate_const,recommended_mode
angular_seed_hurts_sigma0740_t14p25_14p35,s0.74_t0,0.74,0.74,14.25,14.251,2,1.4449845273796533,1.4261329596219352,1.4355587435007942,0.043796795269547516,0.01837439362440991,0.019004960540235042,-0.037863289868172945,-0.03849385678399808,-0.037863289868172945,1.4449845273796533,1.4261329596219352,1.8054786244764929,0.07907417767974118,False,False,fail_lambda_ge_one
angular_seed_hurts_sigma0740_t14p25_14p35,s0.74_t1,0.74,0.74,14.252,14.253,2,1.407844774766182,1.3901011788322226,1.3989729767992023,0.04482655862844083,0.01836662815187368,0.019002912307605258,-0.03664890585923318,-0.03728519001496476,-0.03664890585923318,1.407844774766182,1.3901011788322226,1.7636939355428491,0.07906032960423708,False,False,fail_lambda_ge_one
angular_seed_hurts_sigma0740_t14p25_14p35,s0.74_t10,0.74,0.74,14.27,14.271,2,1.1560563829118171,1.1454807349446074,1.1507685589282124,0.05428085730669093,0.018301238114609385,0.018985366065027095,-0.026772112367244052,-0.02745624031766176,-0.026772112367244052,1.1560563829118171,1.1454807349446074,1.4542099774064186,0.07893576427756406,False,False,fail_lambda_ge_one
angular_seed_hurts_sigma0740_t14p25_14p35,s0.74_t11,0.74,0.74,14.272,14.273,2,1.1351868762422292,1.1251653171898401,1.1301760967160348,0.055341532309408165,0.018294501825368275,0.018983512981373966,-0.025775950704735567,-0.026464961860741258,-0.025775950704735567,1.1351868762422292,1.1251653171898401,1.4260886513599833,0.07892193117531882,False,False,fail_lambda_ge_one
angular_seed_hurts_sigma0740_t14p25_14p35,s0.74_t12,0.74,0.74,14.274,14.275,2,1.1154069175221548,1.1059028740160226,1.1106548957690887,0.056402505105628456,0.018287876974581868,0.018981678769872088,-0.024797116229350047,-0.025490918024640267,-0.024797116229350047,1.1154069175221548,1.1059028740160226,1.3990176398087935,0.07890809957217973,False,False,fail_lambda_ge_one
angular_seed_hurts_sigma0740_t14p25_14p35,s0.74_t13,0.74,0.74,14.276,14.277,2,1.0966447084299307,1.0876242557140616,1.0921344820719963,0.05746337807928804,0.018281365002980058,0.018979863315054735,-0.02383489642285172,-0.024533394734926398,-0.02383489642285172,1.0966447084299307,1.0876242557140616,1.3729486867202783,0.07889426946846934,False,False,fail_lambda_ge_one
angular_seed_hurts_sigma0740_t14p25_14p35,s0.74_t14,0.74,0.74,14.278,14.279,2,1.0788336525101114,1.070265325956227,1.0745494892331693,0.05852377384591179,0.018274967322586003,0.018978066501974696,-0.02288861017353496,-0.023591709352923654,-0.02288861017353496,1.0788336525101114,1.070265325956227,1.3478358567954574,0.07888044086450809,False,False,fail_lambda_ge_one
angular_seed_hurts_sigma0740_t14p25_14p35,s0.74_t15,0.74,0.74,14.28,14.281,2,1.061911982805743,1.053766598869263,1.057839290837503,0.0595833335802643,0.01826868531624067,0.018976288216251476,-0.021957607640370844,-0.02266521054038165,-0.021957607640370844,1.061911982805743,1.053766598869263,1.3236354702171176,0.0788666137606165,False,False,fail_lambda_ge_one
angular_seed_hurts_sigma0740_t14p25_14p35,s0.74_t16,0.74,0.74,14.282,14.283,2,1.0458224087828893,1.0380728961049854,1.0419476524439375,0.060641715502703336,0.01826252033713533,0.018974528344116018,-0.021041269814195882,-0.02175327782117657,-0.021041269814195882,1.0458224087828893,1.0380728961049854,1.3003060270219289,0.07885278815711431,False,False,fail_lambda_ge_one
angular_seed_hurts_sigma0740_t14p25_14p35,s0.74_t17,0.74,0.74,14.284,14.285,2,1.030511783741615,1.0231330246986565,1.0268224042201357,0.061698593508411365,0.018256473708352233,0.018972786772453964,-0.020139007850642685,-0.020855320914744416,-0.020139007850642685,1.030511783741615,1.0231330246986565,1.2778081244846233,0.07883896405432227,False,False,fail_lambda_ge_one
