label,box_id,sigma,t,main_abs,d0_neg_re_main,d0_destructive_numerator,parallel_exact,D0_abs,Drest_abs,RvecTail_abs,rest_combined,rest_separate,bounded_surplus_combined,bounded_surplus_separate,angle_D0_vs_M,angle_Drest_vs_M,failure_class
valley47_sigma05_t47p5_48p5_w010,s0.5_t0,0.5,47.5,0.5163292572572282,0.13648937890773144,0.13648937890773144,0.2643456224672821,0.27102209860962323,0.09300205523283649,0.004184191325568443,0.09501338036935014,0.09718624655840492,0.15697025442059598,0.1547973882315412,167.25603608615393,84.00365052399843,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t0,0.5,47.501,0.5154529486522937,0.13638500364310505,0.13638500364310505,0.2645925374948345,0.27102547467948096,0.09297393061285462,0.004175461294120568,0.09500292390071485,0.09714939190697519,0.15585748725674436,0.15371101925048403,167.49165044567587,83.73092678068011,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t0,0.5,47.502,0.5145688331676402,0.1362755952057355,0.1362755952057355,0.26483453023541087,0.27102885199483795,0.09294581885573666,0.004166730911004957,0.09499231360547386,0.09711254976674162,0.1547419893267555,0.15262175316548776,167.7268121930365,83.45867327836893,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t0,0.5,47.503,0.5136769471878396,0.1361611805162893,0.1361611805162893,0.265071619938783,0.27103223055478,0.09291771999078326,0.004158000189688118,0.09498154925983718,0.09707572018047138,0.15362377798921947,0.15152960706858526,167.96151900133452,83.18689234538743,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t0,0.5,47.504,0.5127773273032022,0.136041786852212,0.136041786852212,0.2653038260636108,0.2710356103584037,0.09288963404728694,0.004149269143631828,0.09497063064928637,0.09703890319091876,0.15250287059030507,0.15043459804867268,168.19576850307305,82.91558635061786,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t0,0.5,47.505,0.5118700103095565,0.13591744184439367,0.13591744184439367,0.2655311682788307,0.27103899140480037,0.09286156105452814,0.004140537786292281,0.09495955756854935,0.09700209884082042,0.1513792844621764,0.14933674318990534,168.4295582897668,82.64475770389835,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t0,0.5,47.506,0.5109550332080028,0.1357881734738193,0.1357881734738193,0.2657536664650914,0.271042373693064,0.09283350104177729,0.004131806131120718,0.09494832982158855,0.096965307172898,0.15025303692132289,0.14823605957001343,168.66288591155566,82.3744088564073,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t0,0.5,47.507,0.5100324332047144,0.13565401006819347,0.13565401006819347,0.2659713407161801,0.27104575722228447,0.09280545403829156,0.004123074191562803,0.09493694722157729,0.09692852822985436,0.14912414526695694,0.14713256425867988,168.89574887680573,82.10454230106224,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t0,0.5,47.508,0.5091022477106285,0.13551498029851605,0.13551498029851605,0.26618421134047354,0.27104914199155106,0.09277742007331669,0.004114341981058615,0.09492540959088432,0.0968917620543753,0.14799262677927066,0.14602627431577966,169.1281446517077,81.83516057292114,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t0,0.5,47.509,0.5081645143414388,0.13537111317570122,0.13537111317570122,0.2663922988623809,0.27105252799995533,0.0927493991760885,0.004105609513043942,0.09491371676105571,0.09685500868913244,0.14685849871800222,0.14491720678992548,169.36007065984762,81.56626624961365,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t1,0.5,47.51,0.5072192709171964,0.1352224380470693,0.1352224380470693,0.2665956240238048,0.27105591524658224,0.09272139137582915,0.004096876800948108,0.09490186857279363,0.09681826817677726,0.14572177832059796,0.14380537871661436,169.5915242817903,81.2978619517557,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t1,0.5,47.511,0.5062665554622905,0.13506898459292352,0.13506898459292352,0.266794207785634,0.2710593037305268,0.09269339670175179,0.004088143858195341,0.09488986487594091,0.09678154055994713,0.14458248280071556,0.14269080711670934,169.82250285465082,81.02995034337758,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t1,0.5,47.512,0.5053064062052023,0.1349107828230158,0.1349107828230158,0.2669880713291991,0.2710626934508746,0.09266541518305615,0.004079410698205186,0.09487770552945826,0.09674482588126133,0.14344062934654492,0.14157350899474186,170.05300367164273,80.76253413237751,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t1,0.5,47.513,0.504338861578436,0.13474786307305378,0.13474786307305378,0.26717723605777993,0.2710660844067104,0.09263744684892869,0.004070677334391199,0.0948653904014027,0.0967081241833199,0.14229623511925338,0.14045350133733617,170.28302398163342,80.49561607096402,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t1,0.5,47.514,0.5033639602182584,0.13458025600112966,0.13458025600112966,0.2673617235981212,0.2710694765971272,0.09260949172854803,0.004061943780161091,0.0948529193689153,0.09667143550870912,0.14114931725122185,0.13933080111142804,170.51256098868626,80.22919895611608,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t1,0.5,47.515,0.5023817409647533,0.13440799258418884,0.13440799258418884,0.2675415558019231,0.2710728700212095,0.09258154985107792,0.00405321004891945,0.09484029231819213,0.09663475989999737,0.13999989284463804,0.1382054252628328,170.74161185158073,79.96328563006128,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t1,0.5,47.516,0.5013922428615502,0.1342311041144098,0.1342311041144098,0.26771675474739076,0.2710762646780419,0.09255362124566949,0.004044476154062279,0.09482750914446658,0.09659809739973177,0.1388479789696928,0.13707739071442762,170.97017368335045,79.69787898073703,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t1,0.5,47.517,0.5003955051558467,0.13404962219562336,0.13404962219562336,0.2678873427407666,0.27107966056671234,0.09252570594146403,0.004035742108982276,0.09481456975199166,0.09656144805044631,0.1376935926630885,0.13594671436463385,171.19824355078376,79.43298194229261,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t1,0.5,47.518,0.49939156729827433,0.13386357873966523,0.13386357873966523,0.2680533423178766,0.27108305768630514,0.09249780396758947,0.004027007927066151,0.09480147405401482,0.09652481189465562,0.13653675092638293,0.13481341308574213,171.4258184739281,79.16859749558262,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t1,0.5,47.519,0.4983804689428652,0.1336730059627367,0.1336730059627367,0.26821477624569817,0.2710864560359024,0.09246991535316036,0.0040182736216951565,0.09478822197275673,0.09648818897485552,0.1353774707244103,0.13367750372231152,171.65289542558816,78.90472866866867,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t2,0.5,47.52,0.49736224994697975,0.13347793638173144,0.13347793638173144,0.2683716675239437,0.2710898556145918,0.09244204012728088,0.004009539206245181,0.09477481343939284,0.09645157933352606,0.1342157689836432,0.13253900308951,171.87947133081,78.6413785373357,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t2,0.5,47.521,0.4963369503713088,0.13327840281054626,0.13327840281054626,0.2685240393866322,0.27109325642145565,0.09241417831904183,0.004000804694086008,0.09476124839402769,0.09641498301312784,0.1330516625906489,0.13139792797154876,172.10554306634629,78.37855022562769,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t2,0.5,47.522,0.4953046104798335,0.1330744383563716,0.1330744383563716,0.2686719153037033,0.271096658455579,0.09238632995752258,0.003992070098583368,0.09474752678567619,0.09637840005610594,0.13188516839045397,0.13025429512002423,172.33110746012716,78.11624690637518,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t2,0.5,47.523,0.49426527073982895,0.1328660764159588,0.1328660764159588,0.2688153189826213,0.2711000617160387,0.09235849507178638,0.00398333543309613,0.09473364857223432,0.09634183050488251,0.13071630318497335,0.12910812125232515,172.55616129071603,77.85447180173973,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t2,0.5,47.524,0.49321897182187,0.13265335067187495,0.13265335067187495,0.268954274370013,0.2711034662019202,0.09233067369088815,0.003974600710977557,0.0947196137204658,0.09630527440186572,0.1295450837313912,0.1279594230499913,172.7807012867429,77.59322818378145,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t2,0.5,47.525,0.4921657545999269,0.1324362950887517,0.1324362950887517,0.26908880565330456,0.271106871912307,0.0923028658438683,0.003965865945576788,0.09470542220597354,0.09626873178944509,0.12837152674064878,0.12680821715717724,173.00472412634866,77.33251937501298,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t2,0.5,47.526,0.4911056601513372,0.13221494390947566,0.13221494390947566,0.26921893726236595,0.27111027884627387,0.09227507155975269,0.003957131150236853,0.09469107401317521,0.09623220270998954,0.12719564887579604,0.1256545201789817,173.22822643660254,77.07234874898352,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t2,0.5,47.527,0.49003872975692125,0.13198933165140672,0.13198933165140672,0.269344693871194,0.2711136870029083,0.09224729086755855,0.003948396338294446,0.09467656913528354,0.09619568720585299,0.12601746675044373,0.12449834867987429,173.45120479290347,76.8127197308775,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t2,0.5,47.528,0.48896500490103123,0.13175949310254134,0.13175949310254134,0.2694661003995778,0.2711170963812807,0.09221952379628379,0.003939661523081003,0.09466190757427712,0.09615918531936479,0.12483699692717631,0.12333971918208864,173.67365571840347,76.55363579808865,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t2,0.5,47.529,0.4878845272716986,0.13152546331769902,0.13152546331769902,0.26958318201481646,0.2711205069804802,0.0921917703749206,0.0039309267179233895,0.09464708934088559,0.09612269709284399,0.12365425591599657,0.12217864816403817,173.89557568337338,76.29510048085739,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t3,0.5,47.53,0.48679733876075537,0.13128727761465447,0.13128727761465447,0.2696959641333984,0.2711239187995754,0.09216403063244133,0.003922191936141862,0.09463211445455329,0.0960862225685832,0.12246926017280367,0.12101515205877376,174.1169611045959,76.0371173628764,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t3,0.5,47.531,0.48570348146392,0.1310449715702713,0.1310449715702713,0.2698044724227612,0.2711273318376527,0.09213630459781054,0.00391345719105148,0.09461698294342542,0.09604976178886201,0.1212820260977334,0.11984924725229681,174.33780834472776,75.77969008192748,pass_combined_pointwise
valley47_sigma05_t47p5_48p5_w010,s0.5_t3,0.5,47.532,0.4846029976810042,0.13079858101661454,0.13079858101661454,0.2699087328029991,0.27113074609378585,0.09210859229997555,0.0039047224959613052,0.0946016948443146,0.09601331479593685,0.12009257003369048,0.11868095008206823,174.558113711651,75.52282233053066,pass_combined_pointwise
