t,sigma,r,residual_margin,cleared_margin,external_ratio,lower_factor_ratio,total_ratio,quarter_surplus_ratio,genuine_ratio,continued_ratio,horizontal_pressure_ratio,cutoff_pressure_ratio,canonical_closed_ratio,factorization_error,direct_abs,bracket_abs,rectangular_abs,central_ref_abs,cutoff_budget,horizontal_upper,lower_factor_upper,tail_gap_budget,central_ref_delta
1.0,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,496.9257865670292,300.3414178922769,797.2672044593062,-796.5172044593062,147.31846852991964,147.31846852991964,0.0,202.2888495071899,375.5856172265244,7.850462293418876e-17,0.441907099546099,0.018009447595492434,0.45363025888277936,6.18344296803913,5.7463292177130345,0.0,65.19451212703949,7.099466521440883,3.228015568895988e-07
1.25,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,384.55322299527234,234.94852456493408,619.5017475602065,-618.7517475602065,110.89653860857759,110.89653860857759,0.0,162.76014577811716,288.3312730632498,1.1102230246251565e-16,0.3685760520575613,0.02276089719050023,0.38795791174232847,4.654694205566101,4.62345494298135,0.0,50.999807290889486,5.950735477505878,3.2272328001014894e-07
1.5,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,301.24054591146194,180.01941706931785,481.2599629807798,-480.5099629807798,83.42012238976866,83.42012238976866,0.0,134.4003011319246,222.56884063326808,6.206335383118183e-17,0.2943364491536096,0.028036795494362998,0.3211010441784653,3.5014182154576052,3.817849471907539,0.0,39.07645556044374,4.888552146851954,3.226276640009363e-07
1.75,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,243.45813901492977,143.06585935315658,386.5239983680864,-385.7739983680864,71.14951393822318,71.14951393822318,0.0,101.15911113848341,185.745251003379,8.886119947416683e-17,0.22402982133806917,0.033786573205775654,0.25761387175530814,2.986380228025224,2.8735817984484933,0.0,31.055020543020927,4.1555143846259766,3.2251474170773646e-07
2.0,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,183.56048016799875,112.59096637315217,296.1514465411509,-295.4014465411509,54.180146524520566,54.180146524520566,0.0,75.20018711895761,142.05517944119532,8.326672684688674e-17,0.16070063283500993,0.03999817275038453,0.20068845458593632,2.274119798946563,2.1361782098809883,0.0,24.439896349035365,3.48315785826817,3.2238453447193615e-07
2.25,0.5,0.35355339059327373,0.0878852299152466,0.03672664161544273,143.34891643632457,88.68600146306693,232.0349178993915,-231.2849178993915,39.71140993057672,39.71140993057672,0.0,63.92609657517114,108.324709511781,1.0007415106216802e-16,0.1057671785728118,0.046706485104181475,0.1523402174032706,1.6668191092162565,1.8159201429992544,0.0,19.250893328193328,2.9066518158914083,3.2223708552038196e-07
2.5,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,128.7217532588452,74.33580697683422,203.05756023567943,-202.30756023567943,37.417542803496445,37.417542803496445,0.0,53.88666765185232,99.59292665816945,5.721958498152797e-17,0.06074198980451542,0.05399468421310875,0.1147326832608296,1.5705379253422886,1.5307345586639713,0.0,16.135925252782474,2.5659557816455805,3.2207244085723136e-07
2.75,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,95.87767918010776,56.56413855565413,152.4418177357619,-151.6918177357619,28.08989238669946,28.08989238669946,0.0,39.69789440670883,75.9347632853604,1.1443916996305594e-16,0.03525958294343258,0.061985960376058066,0.09246000047335928,1.179025612231617,1.1276803989280186,0.0,12.278264659271162,2.0438223216062847,3.218906481378411e-07
3.0,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,67.5596804660308,43.94351066074612,111.50319112677693,-110.75319112677693,18.58466978427184,18.58466978427184,0.0,30.39034089748712,54.425192332713436,6.397344083151129e-17,0.04779562961197036,0.07082660115314472,0.09109187258453841,0.7800600076666279,0.8632848733923058,0.0,9.538730151777612,1.6517951788466,3.2169176618561585e-07
3.25,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,70.12445986676119,41.13518495127704,111.25964481803823,-110.50964481803823,21.17923623685465,21.17923623685465,0.0,27.765987393051887,59.62942711594242,1.1210126175528405e-16,0.07419625011901043,0.08066380495258119,0.10767988589944197,0.8889625359540102,0.7887360326782368,0.0,8.929132495192245,1.5986589016263033,3.214758522268862e-07
