subbox_id,sigma_box,t_box,cutoff,sample_count,odd_trunc_sup_sampled,odd_trunc_guarded,odd_trunc_target,odd_trunc_slack_sampled,odd_trunc_slack_guarded,odd_trunc_sup_over_target,h_qratio_sup_sampled,h_qratio_target,max_q_abs_sampled,max_sigma,max_t,max_raw_core_sum,max_continued_odd_target,max_odd_trunc_vector,channel_mode,status_sampled,status_guarded
S00_T00,"[0.84, 0.8425]","[32.8125, 32.8203125]",50,49,0.0306465288369729407129069,0.0337111817206702347841976,0.0388888888888888888888889,0.00824236005191594817598199,0.0051777071682186541046913,0.788053598665018475474749,0.00663558945988876530297867,0.01,0.279321784518054991652748,0.84,32.8125,(0.553243971814843503013266 -0.0477769174993244240476671j),(0.540324554225087956241413 -0.0199866605934063176436056j),(0.0129194175897555467718532 -0.0277902569059181064040615j),zeta_diagnostic,pass,pass
S00_T01,"[0.84, 0.8425]","[32.8203125, 32.828125]",50,49,0.030640312011547902522355,0.0337043432127026927745905,0.0388888888888888888888889,0.00824857687734098636653389,0.00518454567618619611429839,0.7878937374398032077177,0.0066342433922318441109461,0.01,0.279321784518054991652748,0.84,32.8203125,(0.549443866782885648018488 -0.0410515927463994409342574j),(0.537382130438907841451132 -0.0128852433817165628670453j),(0.0120617363439778065673559 -0.0281663493646828780672121j),zeta_diagnostic,pass,pass
S00_T02,"[0.84, 0.8425]","[32.828125, 32.8359375]",50,49,0.0306340984549318128516026,0.0336975083004249941367629,0.0388888888888888888888889,0.00825479043395707603728629,0.00519138058846389475212603,0.787733960269675187612638,0.00663289803233776028860567,0.01,0.279321784518054991652748,0.84,32.828125,(0.54574800274457845945177 -0.0342293960658901035973566j),(0.534554862615260969206203 -0.00571340752977377065262395j),(0.0111931401293174902455668 -0.0285159885361163329447326j),zeta_diagnostic,pass,pass
S00_T03,"[0.84, 0.8425]","[32.8359375, 32.84375]",50,49,0.0306278881648332447833121,0.0336906769813165692616433,0.0388888888888888888888889,0.00826100072405564410557679,0.00519821190757231962724558,0.78757426709571200871374,0.00663155337971037385280705,0.01,0.279321784518054991652748,0.84,32.8359375,(0.542158557088815134597067 -0.0273119469983058557915552j),(0.531844112766360556346607 0.00152691171275476175386917j),(0.01031444432245457825046 -0.0288388587110606175454243j),zeta_diagnostic,pass,pass
S00_T04,"[0.84, 0.8425]","[32.84375, 32.8515625]",50,49,0.0306216811389629659756146,0.0336838492528592625731761,0.0388888888888888888888889,0.00826720774992592291327429,0.00520503963602962631571283,0.787414657859047696515804,0.00663020943385401999009786,0.01,0.279321784518054991652748,0.84,32.84375,(0.538677682953044339311793 -0.0203009149500205626252799j),(0.529251209555440225765121 0.00883375434723733861643979j),(0.0094264733976041135466721 -0.0291346692972579012417197j),zeta_diagnostic,pass,pass
S00_T05,"[0.84, 0.8425]","[32.8515625, 32.859375]",50,49,0.0306154773750339360566085,0.0336770251125373296622693,0.0388888888888888888888889,0.00827341151385495283228039,0.00521186377635155922661954,0.787255132500872641455647,0.00662886619427350849258017,0.01,0.279321784518054991652748,0.84,32.8515625,(0.535307508006889960319754 -0.0131980188699026075818159j),(0.526777447853600427530998 0.0162051362105046135767379j),(0.00853006015328953278875632 -0.0294031550804072211585537j),zeta_diagnostic,pass,pass
S00_T06,"[0.84, 0.8425]","[32.859375, 32.8671875]",50,49,0.0306092768707613040225756,0.0336702045578374344248332,0.0388888888888888888888889,0.00827961201812758486631329,0.00521868433105145446405573,0.787095690962433532009087,0.00662752366047412319457202,0.01,0.279321784518054991652748,0.84,32.859375,(0.532050133238666416862849 -0.00600502689418562407889441j),(0.524424088307006026480197 0.0236390495672462584155723j),(0.00762604493166039038265136 -0.0296440764614318824944667j),zeta_diagnostic,pass,pass
S00_T07,"[0.84, 0.8425]","[32.8671875, 32.875]",50,49,0.0306030796238624056399093,0.0336633875862486462039002,0.0388888888888888888888889,0.00828580926502648324897959,0.00522550130264024268498866,0.786936333185033287883382,0.00662618183196162141007268,0.01,0.279321784518054991652748,0.84,32.8671875,(0.528907631745666048142892 0.00127624404044746409960614j),(0.522192356914580093694556 0.0311334637101931027750202j),(0.00671527483108595444833547 -0.029857219669745638675414j),zeta_diagnostic,pass,pass
S01_T00,"[0.8425, 0.845]","[32.8125, 32.8203125]",50,49,0.0303482689379461960976835,0.0333830958317408157074518,0.0388888888888888888888889,0.00854061995094269279120539,0.00550579305714807318143704,0.780384058404330756797576,0.00654388497730693379797145,0.01,0.278838175885502278107811,0.8425,32.8125,(0.555375191338368559628513 -0.0465494678008430836812409j),(0.542579721982903674699092 -0.019030503585174119308621j),(0.0127954693554648849294217 -0.0275189642156689643726199j),zeta_diagnostic,pass,pass
S01_T01,"[0.8425, 0.845]","[32.8203125, 32.828125]",50,49,0.0303421126089780907676926,0.0333763238698758998444619,0.0388888888888888888888889,0.00854677627991079812119629,0.00551256501901298904442703,0.78022575280229376259781,0.00654255751086289646889289,0.01,0.278838175885502278107811,0.8425,32.8203125,(0.551606226714195220955933 -0.0398570690631220089760957j),(0.539660067833838590539665 -0.0119656172260235381985988j),(0.011946158880356630416268 -0.0278914518370984707774969j),zeta_diagnostic,pass,pass
S01_T02,"[0.8425, 0.845]","[32.828125, 32.8359375]",50,49,0.0303359595170121330298857,0.0333695554687133463328743,0.0388888888888888888888889,0.00855292937187675585900319,0.00551933342017554255601462,0.780067530437454849339918,0.00654123074240165903035379,0.01,0.278838175885502278107811,0.8425,32.828125,(0.547940994018993749931289 -0.0330684963510148509561314j),(0.536854956070115571605044 -0.00483075206408867445342045j),(0.0110860379488781783262449 -0.028237744286926176502711j),zeta_diagnostic,pass,pass
S01_T03,"[0.8425, 0.845]","[32.8359375, 32.84375]",50,49,0.0303298096597791887064199,0.0333627906257571075770619,0.0388888888888888888888889,0.00855907922910970018246899,0.005526098263131781311827,0.779909391251464852450797,0.00653990467143393647277945,0.01,0.278838175885502278107811,0.8425,32.8359375,(0.544381654698438741134493 -0.0261853616543527025068985j),(0.534165740714803206207662 0.00237216722118894373495996j),(0.0102159139836355349268318 -0.0285575288755416462418585j),zeta_diagnostic,pass,pass
S01_T04,"[0.8425, 0.845]","[32.84375, 32.8515625]",50,49,0.0303236630350122968482215,0.0333560293385135265330436,0.0388888888888888888888889,0.00856522585387659204066739,0.00553285955037536235584524,0.779751335186030490382839,0.00653857929747091239187613,0.01,0.278838175885502278107811,0.8425,32.84375,(0.540930346045058162599844 -0.0192093264408381007071879j),(0.531593742627190985981726 0.00964119134443643217711264j),(0.00933660341786717661811828 -0.0288505177852745328843006j),zeta_diagnostic,pass,pass
S01_T05,"[0.8425, 0.845]","[32.8515625, 32.859375]",50,49,0.0303175196404466671548213,0.0333492716044913338703034,0.0388888888888888888888889,0.00857136924844222173406759,0.00553961728439755501858546,0.779593362182914298266833,0.00653725462002423843227985,0.01,0.278838175885502278107811,0.8425,32.8515625,(0.537589179991964490162801 -0.0121421013334644656206468j),(0.529140249062207746412607 0.0169743469954967652868479j),(0.00844893092975674375019385 -0.0291164483289612309074948j),zeta_diagnostic,pass,pass
S01_T06,"[0.8425, 0.845]","[32.859375, 32.8671875]",50,49,0.0303113794738196773978733,0.0333425174212016451376606,0.0388888888888888888888889,0.00857750941506921149101559,0.00554637146768724375122826,0.779435472183934561659599,0.00653593063860603373199915,0.01,0.278838175885502278107811,0.8425,32.859375,(0.534360241909493982415348 -0.00498544575645487376367786j),(0.526806513240132850009465 0.0243696374284991174215978j),(0.00755372866936113240588318 -0.0293550831849539911852756j),zeta_diagnostic,pass,pass
S01_T07,"[0.8425, 0.845]","[32.8671875, 32.875]",50,49,0.0303052425328708708483487,0.0333357667861579579331836,0.0388888888888888888888889,0.00858364635601801804054019,0.00555312210273093095570532,0.779277665130965250386109,0.00653460735272888436765042,0.01,0.278838175885502278107811,0.8425,32.8671875,(0.531245589405622620680429 0.00225883245030618969960767j),(0.524593753926744286551435 0.0318250430586689245367701j),(0.00665183547887833412899394 -0.0295662106083627348371624j),zeta_diagnostic,pass,pass
S02_T00,"[0.845, 0.8475]","[32.8125, 32.8203125]",50,49,0.0300529115791814573179513,0.0330582027370996030497464,0.0388888888888888888888889,0.00883597730970743157093759,0.00583068615178928583914246,0.772789154893237473890176,0.00645345820601527950933835,0.01,0.278355404557171585913974,0.845,32.8125,(0.55749601218948709779207 -0.0453320267594183343877273j),(0.544823302298824070146683 -0.0180817071573808128057444j),(0.0126727098906630276453871 -0.0272503196020375215819829j),zeta_diagnostic,pass,pass
S02_T01,"[0.845, 0.8475]","[32.8203125, 32.828125]",50,49,0.0300468151580969065597456,0.0330514966739065972157202,0.0388888888888888888888889,0.00884207373079198232914329,0.00583739221498229167316873,0.772632389779634740107744,0.00645214908165400887883877,0.01,0.278355404557171585913974,0.845,32.8203125,(0.553757964280131129279662 -0.0386723940630465443644505j),(0.541926275780760974354258 -0.0110531571366085866833508j),(0.0118316884993701549254048 -0.0276192369264379576810997j),zeta_diagnostic,pass,pass
S02_T02,"[0.845, 0.8475]","[32.828125, 32.8359375]",50,49,0.0300407219425170808650423,0.0330447941367687889515465,0.0388888888888888888888889,0.00884816694637180802384659,0.00584409475212009993734236,0.772475707093296365101088,0.00645084064563172723042594,0.01,0.278355404557171585913974,0.845,32.828125,(0.550123141584630422664694 -0.0319172802488440587241992j),(0.539143181420759337507604 -0.00395506557211590674089773j),(0.0109799601638710851570895 -0.0279622146767281519833015j),zeta_diagnostic,pass,pass
S02_T03,"[0.845, 0.8475]","[32.8359375, 32.84375]",50,49,0.0300346319301949220486416,0.0330380951232144142535058,0.0388888888888888888888889,0.00885425695869396684024729,0.00585079376567447463538313,0.772319106776440852679355,0.00644953289746590906747816,0.01,0.278355404557171585913974,0.845,32.8359375,(0.546593689729180204782269 -0.0250682897857767730088171j),(0.536475365298898970654144 0.00321065336820015010257236j),(0.0101183244302812341281252 -0.0282789431539769231113895j),zeta_diagnostic,pass,pass
S02_T04,"[0.845, 0.8475]","[32.84375, 32.8515625]",50,49,0.0300285451188855240148622,0.0330313996307740764163484,0.0388888888888888888888889,0.00886034377000336487402669,0.00585748925811481247254047,0.772162588771342046096457,0.00644822583667449102562764,0.01,0.278355404557171585913974,0.845,32.84375,(0.54317173028491781722053 -0.0181270762359076644053868j),(0.533924140515642172545122 0.0104420610527143365876324j),(0.00924758976927564467540835 -0.0285691372886220009930191j),zeta_diagnostic,pass,pass
S02_T05,"[0.845, 0.8475]","[32.8515625, 32.859375]",50,49,0.0300224615063461302024696,0.0330247076569807432227166,0.0388888888888888888888889,0.00886642738254275868641929,0.00586418123190814566617233,0.772006153020329062349218,0.00644691946277587132409323,0.01,0.278355404557171585913974,0.845,32.8515625,(0.539859359571676634445741 -0.0110953419326108110543313j),(0.531490786753809095260434 0.0177371949639594195417551j),(0.0083685728178675391853067 -0.0288325368965702305960864j),zeta_diagnostic,pass,pass
S02_T06,"[0.845, 0.8475]","[32.859375, 32.8671875]",50,49,0.0300163810903361310332507,0.0330180191993697441365758,0.0388888888888888888888889,0.00887250779855275785563819,0.00587086968951914475231312,0.771849799465786226569304,0.00644561377528890921779604,0.01,0.278355404557171585913974,0.845,32.859375,(0.536658647464660358301959 -0.00397483762758090749012663j),(0.529176549850787759024666 0.0250940692843889751584026j),(0.00748209761387259927729342 -0.0290689069119698826485292j),zeta_diagnostic,pass,pass
S02_T07,"[0.845, 0.8475]","[32.8671875, 32.875]",50,49,0.0300103038686170613642276,0.0330113342554787675006504,0.0388888888888888888888889,0.00887858502027182752466129,0.00587755463341012138823853,0.77169352805015300650871,0.00644430877373292445025684,0.01,0.278355404557171585913974,0.845,32.8671875,(0.533571636204898295942206 0.00323263789338712324565811j),(0.526982641381122032848211 0.0325106754898344263114596j),(0.00658899482377626309399482 -0.0292780375964473030658015j),zeta_diagnostic,pass,pass
S03_T00,"[0.8475, 0.85]","[32.8125, 32.8203125]",50,49,0.0297604285163375768915733,0.0327364713679713345807306,0.0388888888888888888888889,0.00912846037255131199731559,0.00615241752091755430815826,0.765268161848680548640456,0.00636429117056850154566871,0.01,0.277873469083381678997845,0.8475,32.8125,(0.559606484627627116230923 -0.0441245226922292293889859j),(0.54705535682985296106148 -0.0171402254718089852479341j),(0.0125511277977741551694427 -0.0269842972204202441410518j),zeta_diagnostic,pass,pass
S03_T01,"[0.8475, 0.85]","[32.8203125, 32.828125]",50,49,0.0297543914202882704185254,0.0327298305623170974603779,0.0388888888888888888888889,0.00913449746860061847036349,0.00615905832657179142851095,0.765112922235984096476367,0.00636300013280466750877838,0.01,0.277873469083381678997845,0.8475,32.8203125,(0.555899131369149916020324 -0.037497496794036906568941j),(0.544180816768656442848375 -0.0101478183367755537790469j),(0.0117183146004934731719487 -0.0273496784572613527898941j),zeta_diagnostic,pass,pass
