label,box_id,sigma,t,main_abs,D0_abs,Drest_abs,RvecTail_abs,rest_combined,rest_separate,z0_re,z0_im,destructive_ratio,angle_D0_over_M,bounded_surplus_combined,angular_surplus_combined,angular_surplus_separate,failure_class
angular_seed_hurts_sigma0740_t14p25_14p35,s0.74_t0,0.74,14.25,0.043796795269547516,0.07907417767974118,0.01866417774542934,0.0003407827948057025,0.01837439362440991,0.019004960540235042,-1.4449845273796533,-1.0824845398780198,1.4449845273796533,-143.16193464060703,-0.03786328986817292,-0.037863289868172945,-0.03849385678399808,lambda_ge_one
angular_seed_hurts_sigma0740_t14p25_14p35,s0.74_t0,0.74,14.251,0.04431088983397709,0.07906725345502669,0.018662578504689834,0.00034135540642518566,0.018370499050058216,0.01900393391111502,-1.4261329596219352,-1.072445653530553,1.4261329596219352,-143.05699663538525,-0.0372528296784924,-0.037252829678492395,-0.0378862645395492,lambda_ge_one
angular_seed_hurts_sigma0740_t14p25_14p35,s0.74_t1,0.74,14.252,0.04482655862844083,0.07906032960423708,0.018660980388157465,0.00034193191944779163,0.01836662815187368,0.019002912307605258,-1.407844774766182,-1.0623508782102937,1.407844774766182,-142.9620235941271,-0.03664890585923318,-0.03664890585923318,-0.03728519001496476,lambda_ge_one
angular_seed_hurts_sigma0740_t14p25_14p35,s0.74_t1,0.74,14.253,0.04534370383325782,0.07905340612741153,0.0186593833997794,0.000342512315230937,0.018362781144541852,0.019001895715010337,-1.3901011788322226,-1.0522138571319568,1.3901011788322226,-142.8767084599505,-0.0360514134625149,-0.0360514134625149,-0.03669052803298338,lambda_ge_one
angular_seed_hurts_sigma0740_t14p25_14p35,s0.74_t2,0.74,14.254,0.04586223109554801,0.0790464830245935,0.018657787543506228,0.00034309657512176096,0.018358958241309516,0.01900088411862799,-1.3728838876461185,-1.0420470877424537,1.3728838876461185,-142.80075467075235,-0.03546024526834213,-0.035460245268342155,-0.03610217114566063,lambda_ge_one
angular_seed_hurts_sigma0740_t14p25_14p35,s0.74_t2,0.74,14.255,0.04638204936919157,0.07903956029582138,0.018656192823289803,0.0003436846804586784,0.01835515965396581,0.018999877503748482,-1.3561751350412024,-1.0318620049668221,1.3561751350412024,-142.73387585367448,-0.03487529235152535,-0.03487529235152533,-0.035520010201308,lambda_ge_one
angular_seed_hurts_sigma0740_t14p25_14p35,s0.74_t3,0.74,14.256,0.046903070762195,0.07903263794113756,0.018654599243085282,0.0003442766125743618,0.018351385592827025,0.018998875855659642,-1.339957677275002,-1.0216690590232747,1.339957677275002,-142.67579551768492,-0.03429644458620788,-0.03429644458620789,-0.03494393484904051,lambda_ge_one
angular_seed_hurts_sigma0740_t14p25_14p35,s0.74_t3,0.74,14.257,0.04742521039117231,0.07902571596058253,0.018653006806849785,0.0003448723527974473,0.018347636266718474,0.01899787915964723,-1.324214794203881,-1.0114777880753627,1.324214794203881,-142.62624674608983,-0.033723591093768164,-0.03372359109376817,-0.034373833986696925,lambda_ge_one
angular_seed_hurts_sigma0740_t14p25_14p35,s0.74_t4,0.74,14.258,0.04794838624269558,0.07901879435419654,0.01865141551854273,0.00034547188245497197,0.018343911882957496,0.018996887400997704,-1.3089302876951716,-1.0012968859902258,1.3089302876951716,-142.58497189055868,-0.03315662063943265,-0.03315662063943265,-0.03380959615747286,lambda_ge_one
angular_seed_hurts_sigma0740_t14p25_14p35,s0.74_t4,0.74,14.259,0.04847251904123233,0.07901187312202042,0.01864982538212604,0.0003460751828730889,0.018340212647338677,0.01899590056499913,-1.294088477699986,-0.9911342654722941,1.294088477699986,-142.55172226794883,-0.03259542198245828,-0.032595421982458274,-0.03325110990011873,lambda_ge_one
