label,box_id,sigma_min,sigma_max,t_min,t_max,points,mainNormLowerConst,numeratorUpperConst,parallelUpperConst,restUpperCombinedConst,restUpperSeparateConst,budgetCombinedConst,budgetSeparateConst,min_pointwise_surplus_combined,min_pointwise_surplus_separate,max_D0_abs,max_parallel_exact,max_angle_D0_vs_M,pass_combined_const,pass_separate_const,recommended_mode
valley47_sigma05_t47p5_48p5_w010,s0.5_t0,0.5,0.5,47.5,47.509,10,0.5081645143414388,0.13648937890773144,0.2685928967012116,0.09501338036935014,0.09718624655840492,0.14455823727087708,0.1423853710818223,0.14685849871800222,0.14491720678992548,0.27105252799995533,0.2663922988623809,169.36007065984762,True,True,combined
valley47_sigma05_t47p5_48p5_w010,s0.5_t1,0.5,0.5,47.51,47.519,10,0.4983804689428652,0.1352224380470693,0.27132371044534515,0.09490186857279363,0.09681826817677726,0.1321548899247264,0.1302384903207428,0.1353774707244103,0.13367750372231152,0.2710864560359024,0.26821477624569817,171.65289542558816,True,True,combined
valley47_sigma05_t47p5_48p5_w010,s0.5_t10,0.5,0.5,47.6,47.609,10,0.3836469387497189,0.10661482169326382,0.2778982729295711,0.09320480214850774,0.0935695566114481,0.012543863671640065,0.012179109208699704,0.022997206157177943,0.02271578446399246,0.2713972276951775,0.26872415999016214,171.99901482704718,True,True,combined
valley47_sigma05_t47p5_48p5_w010,s0.5_t100,0.5,0.5,48.5,48.5,1,0.3494483564152825,0.07410029392889456,0.21204934167964487,0.07455103609993584,0.07775931388322857,0.06284797863570178,0.05963970085240905,0.06284797863570178,0.05963970085240905,0.27485559265412784,0.21204934167964487,140.48820654320053,True,True,combined
valley47_sigma05_t47p5_48p5_w010,s0.5_t11,0.5,0.5,47.61,47.619,10,0.3688455530081824,0.10225407276949039,0.27722734335696875,0.0929434621204759,0.09321636434769599,-0.001325252469262253,-0.0015981546964823484,0.0097492026012677,0.00954648438498118,0.2714323427254506,0.2675563893281868,170.34488918284117,False,False,split_needed
valley47_sigma05_t47p5_48p5_w010,s0.5_t12,0.5,0.5,47.62,47.629,10,0.35384355803777473,0.09781373555568783,0.2764321501233765,0.09266924780911825,0.09286487779527845,-0.015257839894720043,-0.015453469880880241,-0.003613721926214855,-0.0037517647698384893,0.2714675711924378,0.26626610689752417,168.79967420747408,False,False,split_needed
valley47_sigma05_t47p5_48p5_w010,s0.5_t13,0.5,0.5,47.63,47.639,10,0.33870776251805584,0.09333635526736521,0.2755660353736051,0.0923828156174181,0.09251513726862773,-0.02924108847296733,-0.029373410124176963,-0.017084027925529766,-0.01717075683528782,0.27150291211260574,0.2649080897132932,167.37573123826738,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t14,0.5,0.5,47.64,47.649,10,0.3235092497663361,0.08886337038721995,0.2746857174915527,0.09208487765549432,0.0921671828062344,-0.0432613453807109,-0.04334365053145098,-0.030654025959336792,-0.030702083612048126,0.27153836449573093,0.26354131742507564,166.08729383195632,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t15,0.5,0.5,47.65,47.659,10,0.3083240470515868,0.08443474909575185,0.27385067724420725,0.0917761974045247,0.09182105416063187,-0.05730282759714517,-0.05734768435325234,-0.044314765050027044,-0.04433602772637796,0.27157392734501656,0.26222881492760736,164.9507284631911,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t16,0.5,0.5,47.66,47.669,10,0.2932339313480999,0.0800886467834248,0.27312203064368784,0.09145758522950588,0.09147679078832947,-0.07134568452509384,-0.07136489008391743,-0.05805430171813539,-0.058059836275426296,0.27160959965717235,0.26103717539023485,163.98480387795624,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t17,0.5,0.5,47.67,47.679,10,0.27832737580978517,0.07586108750362901,0.27256063936547187,0.09112989374819397,0.09113443183968477,-0.08536315730388067,-0.08536769539537147,-0.07185509093721024,-0.07185511652565615,0.2716453804225997,0.2600355788185692,163.21094565662696,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t18,0.5,0.5,47.68,47.689,10,0.2637006226685028,0.07178567196936335,0.2722241276601189,0.09079401306414098,0.09079401614869774,-0.09931751805575706,-0.09931752114031382,-0.08569016574036505,-0.08569402039093284,0.27168126862554387,0.25929404303653547,162.65343388720282,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t19,0.5,0.5,47.69,47.699,10,0.24945883311750022,0.06789331441928925,0.2721623987846929,0.09045086587262385,0.09045558222275903,-0.11315443153981652,-0.1131591478899517,-0.09951771126666527,-0.09953382346869821,0.27171726324432693,0.258880549655433,162.33947301090825,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t2,0.5,0.5,47.52,47.529,10,0.4878845272716986,0.13347793638173144,0.2735850983595525,0.09477481343939284,0.09645157933352606,0.11952461547275325,0.11784784957862003,0.12365425591599657,0.12217864816403817,0.2711205069804802,0.26958318201481646,173.89557568337338,True,True,combined
valley47_sigma05_t47p5_48p5_w010,s0.5_t20,0.5,0.5,47.7,47.709,10,0.23571720353805672,0.06421201038297387,0.27241121742141655,0.090101402449301,0.09011916823233526,-0.12679541633266084,-0.1268131821156951,-0.11327364003799197,-0.1133095054138343,0.2717533632515818,0.2592085549978712,162.52298827087859,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t21,0.5,0.5,47.71,47.719,10,0.22260183844623815,0.0607666370635219,0.27298353637900435,0.08974659553279102,0.08978481200060524,-0.14012829346555722,-0.14016650993337143,-0.1268619347162971,-0.12692409788755893,0.27178956761451456,0.2600402545852919,163.09152065119247,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t22,0.5,0.5,47.72,47.729,10,0.21025002345428628,0.057578787731896744,0.2738586506955413,0.08938743511390908,0.08945255099304301,-0.15299606235516405,-0.153061178234298,-0.14014300750388803,-0.14023704922967012,0.27182587529521035,0.26133173451235203,164.02750086606855,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t23,0.5,0.5,47.73,47.739,10,0.19880934744258277,0.054666641193308364,0.2749701756809819,0.08902492314607838,0.08912242230696088,-0.16518575138447752,-0.16528325054536003,-0.15292135976697607,-0.15305188941811604,0.2718622852509472,0.2630340768803963,165.35862930116448,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t24,0.5,0.5,47.74,47.749,10,0.18843491498599865,0.052044867046094866,0.2761954548070986,0.08866006819336664,0.08879446266099983,-0.1764206080144666,-0.1765550024820998,-0.1649356081395536,-0.16510626155460884,0.2718987964345521,0.2650399929971707,167.10339608775593,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t25,0.5,0.5,47.75,47.759,10,0.17928376345307406,0.049724567109752885,0.27735120097904375,0.08829388003474511,0.08846870838460388,-0.1863613175607148,-0.18653614591057358,-0.1758563574220562,-0.1760698001701823,0.27193540779474246,0.26717611879213404,169.26477296576363,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t26,0.5,0.5,47.76,47.769,10,0.17150573640023822,0.04771325305534329,0.27820208266384855,0.08792736424531106,0.08814519540743511,-0.19462371050892138,-0.19484154167104545,-0.18529950572883702,-0.18555744178188055,0.27197211827654966,0.2692071987779523,171.82316379559168,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t27,0.5,0.5,47.77,47.779,10,0.16523070284837793,0.04601485993073224,0.2784885565303033,0.08756151677759713,0.08782395924878451,-0.2008193704595225,-0.20108181293070987,-0.19286216845355988,-0.19316535424454911,0.2720089268217072,0.27085923468948203,174.73025114216705,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t28,0.5,0.5,47.78,47.789,10,0.16055328248349396,0.04462979493850963,0.27797497658198234,0.08719731856830253,0.08750503500694973,-0.2046190126667909,-0.2049267291054381,-0.19818266934449025,-0.19853093316231119,0.2720458323690768,0.27186420710653825,177.90623042620584,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t29,0.5,0.5,47.79,47.799,10,0.1575178794873621,0.04355502049904074,0.2765084233027351,0.0868357301980827,0.08718845734859818,-0.2058262740134557,-0.2061790011639712,-0.20101423940204727,-0.2014065060425494,0.2720828338550939,0.27206948582332724,179.8968181090046,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t3,0.5,0.5,47.53,47.539,10,0.4767176657246919,0.13128727761465447,0.27539838997800825,0.09463211445455329,0.0960862225685832,0.10668716129213034,0.10523305317810043,0.11170552196044616,0.1104372451277929,0.27115467991462544,0.2705218451754762,176.0847568819642,True,True,combined
valley47_sigma05_t47p5_48p5_w010,s0.5_t30,0.5,0.5,47.8,47.809,10,0.1561080088520971,0.042784170317615215,0.27406774727458494,0.08647768663415335,0.08687426049812161,-0.2044374250566412,-0.20483399892060944,-0.20148172540693662,-0.20189951279472385,0.2721199302142242,0.2719830029161525,178.41931896169214,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t31,0.5,0.5,47.81,47.819,10,0.15598330509924094,0.04230769687603592,0.2712322119929347,0.08612409208741495,0.08656247822698519,-0.2013729989811087,-0.20181138512067892,-0.2011797802345292,-0.20161816637409946,0.2721571203794259,0.27110956079993664,175.0520367516021,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t32,0.5,0.5,47.82,47.829,10,0.15633725492642594,0.04216619167850297,0.2697130104935439,0.08577581501749448,0.08625314384308157,-0.19915157058461244,-0.1996288994101995,-0.19881164398981402,-0.1992889728154011,0.2721944032826333,0.2693730838987455,171.7922531267813,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t33,0.5,0.5,47.83,47.839,10,0.15801255318967997,0.0424625886020976,0.2687292100844991,0.08543368332044028,0.08594629018008862,-0.19615034021525946,-0.19666294707490778,-0.19439279119910163,-0.19490539805874996,0.2722317778552371,0.2669716610683413,168.75403092543513,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t34,0.5,0.5,47.84,47.849,10,0.16089646141698233,0.042989418953141706,0.26718685155995764,0.0850984797347841,0.08564194958685771,-0.1913888698777594,-0.19193233972983303,-0.1883796824468427,-0.18892315229891632,0.27226924302856287,0.2641776641290409,166.02499184719014,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t35,0.5,0.5,47.85,47.859,10,0.16478246334425983,0.043724588955862405,0.2653473438160344,0.08477093750207093,0.08534015391680574,-0.18533581797384552,-0.18590503438858033,-0.18126592319240487,-0.18183513960713968,0.27230679773439004,0.26127744903459377,163.66134758060957,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t36,0.5,0.5,47.86,47.869,10,0.1694577253887854,0.04464421774003304,0.2634534226020454,0.08445173631796261,0.08504093451735822,-0.1784474335312226,-0.17903663173061823,-0.17351665430272212,-0.17410585250211774,0.2723444409054175,0.2585226433735449,161.6893227658384,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t37,0.5,0.5,47.87,47.879,10,0.1747162274666184,0.04572293849331063,0.2616982930337512,0.08414149860925357,0.08474432221942421,-0.17112356417638636,-0.171726387786557,-0.1655283308828669,-0.16613115449303753,0.2723821714757863,0.25610305974023173,160.11067762122264,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t38,0.5,0.5,47.88,47.889,10,0.18036726517387006,0.04693421052617033,0.26021468186550806,0.08384078617087574,0.08445034732692384,-0.16368820286251373,-0.16429776401856183,-0.15761357921344327,-0.15822314036949137,0.27241998838154885,0.2541400582164376,158.90971560301497,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t39,0.5,0.5,47.89,47.899,10,0.1862398093352516,0.04825063902217053,0.25907800912378626,0.08355009719495761,0.08415903960637444,-0.15638829698349227,-0.1569972393949091,-0.15000373282984047,-0.1506126752412573,0.2724578905611578,0.25269344497013446,158.05988155282057,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t4,0.5,0.5,47.54,47.549,10,0.4649229030850145,0.1286847952170452,0.27678738638847883,0.09447376014330741,0.0957222402418572,0.09366175655322825,0.09241327645467846,0.09954738027421826,0.09846943048465367,0.2711889739134958,0.2710576064497783,178.21654129913276,True,True,combined
valley47_sigma05_t47p5_48p5_w010,s0.5_t40,0.5,0.5,47.9,47.909,10,0.19218381075459962,0.04964429920222984,0.25831675939458226,0.08326986372136429,0.08387042827653042,-0.14940281236134695,-0.15000337691651305,-0.14286060684639001,-0.14346117140155612,0.27249587695595145,0.25177455387962533,157.52902063720168,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t41,0.5,0.5,47.91,47.919,10,0.19806957949665552,0.051087061619078805,0.25792482494739394,0.08300044953589876,0.08358454199812776,-0.1428556949866372,-0.14343978744886618,-0.13629117552446868,-0.13687526798669766,0.2725339465106256,0.25138189197399785,157.28309996222106,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t42,0.5,0.5,47.92,47.929,10,0.20378613971774767,0.05255091531640853,0.25787286313580376,0.08274214853835732,0.08330140886369923,-0.1368288719564134,-0.13738813228175534,-0.13036151356875175,-0.13092077389409368,0.2725720981736779,0.2517914426139001,157.48224259690093,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t43,0.5,0.5,47.93,47.939,10,0.20923917354315297,0.05400828563679824,0.25811746778697586,0.0824951835982504,0.08302105638747946,-0.1313734778420733,-0.13189935063130237,-0.12510843678614927,-0.12563430957537836,0.27261033089786746,0.2525458121273993,157.8801964599207,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t44,0.5,0.5,47.94,47.949,10,0.2143489226589958,0.0554323435417392,0.2586079876404399,0.08225970591105994,0.08274351149545384,-0.12651877089250405,-0.12700257647689794,-0.12054851248571977,-0.12103231807011366,0.27264864364063374,0.2535806671066383,158.4447816009052,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t45,0.5,0.5,47.95,47.959,10,0.2190482421981479,0.05679730341588715,0.25929129969693676,0.08203579486253673,0.08246880051551618,-0.1222788523613256,-0.12271185801430505,-0.116684698359481,-0.11711770401246045,0.2726870353645148,0.2548335256304774,159.15193828917444,False,False,fail_parallel
valley47_sigma05_t47p5_48p5_w010,s0.5_t46,0.5,0.5,47.96,47.969,10,0.2232808914076786,0.05807870646425965,0.2601149883364463,0.08182345840305422,0.0821969491678183,-0.11865755533182193,-0.11903104609658602,-0.11351106892911889,-0.11388455969388298,0.27272550503754084,0.2562456850524848,159.9800712534424,False,False,fail_parallel
