nmax,sigma,bg_kmax,x_mode,x_cut,x_factor,x_fixed,tmin,tmax,dt,threshold,centers_count,local_minima_count,filtered_minima_count,idx,t_min,abs_c_min,filtered
200000,0.5,5,fixed,66666.66666666667,,66666.66666666667,10.0,49.99999999997783,0.0009999999999994458,0.05,46875,14,10,867,10.86699999999952,0.4060714739795122,False
200000,0.5,5,fixed,66666.66666666667,,66666.66666666667,10.0,49.99999999997783,0.0009999999999994458,0.05,46875,14,10,4134,14.133999999997709,0.0003916957654391486,True
200000,0.5,5,fixed,66666.66666666667,,66666.66666666667,10.0,49.99999999997783,0.0009999999999994458,0.05,46875,14,10,8144,18.143999999995486,0.2590848186080804,False
200000,0.5,5,fixed,66666.66666666667,,66666.66666666667,10.0,49.99999999997783,0.0009999999999994458,0.05,46875,14,10,11022,21.02199999999389,0.0001572683864707098,True
200000,0.5,5,fixed,66666.66666666667,,66666.66666666667,10.0,49.99999999997783,0.0009999999999994458,0.05,46875,14,10,15010,25.00999999999168,0.0001835312415042493,True
200000,0.5,5,fixed,66666.66666666667,,66666.66666666667,10.0,49.99999999997783,0.0009999999999994458,0.05,46875,14,10,17128,27.127999999990507,0.2975391994588056,False
200000,0.5,5,fixed,66666.66666666667,,66666.66666666667,10.0,49.99999999997783,0.0009999999999994458,0.05,46875,14,10,20425,30.424999999988678,0.00014383837840002754,True
200000,0.5,5,fixed,66666.66666666667,,66666.66666666667,10.0,49.99999999997783,0.0009999999999994458,0.05,46875,14,10,22935,32.93499999998729,0.00013477529543685655,True
200000,0.5,5,fixed,66666.66666666667,,66666.66666666667,10.0,49.99999999997783,0.0009999999999994458,0.05,46875,14,10,27586,37.58599999998471,0.00016848051263085556,True
200000,0.5,5,fixed,66666.66666666667,,66666.66666666667,10.0,49.99999999997783,0.0009999999999994458,0.05,46875,14,10,30919,40.918999999982866,0.00010053470295976235,True
200000,0.5,5,fixed,66666.66666666667,,66666.66666666667,10.0,49.99999999997783,0.0009999999999994458,0.05,46875,14,10,33327,43.32699999998153,0.0001309981674297219,True
200000,0.5,5,fixed,66666.66666666667,,66666.66666666667,10.0,49.99999999997783,0.0009999999999994458,0.05,46875,14,10,35263,45.26299999998046,0.3952285303627359,False
200000,0.5,5,fixed,66666.66666666667,,66666.66666666667,10.0,49.99999999997783,0.0009999999999994458,0.05,46875,14,10,38005,48.004999999978935,0.00016072290189541626,True
200000,0.5,5,fixed,66666.66666666667,,66666.66666666667,10.0,49.99999999997783,0.0009999999999994458,0.05,46875,14,10,39774,49.77399999997796,0.00010866090733783257,True
