sigma,t,N,K,M,q_abs,Q_worst,Q_phase,vertical_tail_upper,K4_norm,tau_norm,rect_norm,C_norm,anchor_norm,Cut_exact,V_exact,anchor_cut_triangle,raw_tau_rect_C_triangle,anchor_cut_cancellation,raw_tau_rect_C_cancellation,H_up_qratio,HVec_norm,H_tail,U_current,U_direct_balanced,U_phase_aware,resolvent_seed_tax,slack_current_Q,slack_direct_Q,slack_phase_Q,slack_current_Qphase,slack_direct_Qphase,slack_phase_Qphase,U_current_over_Q,U_direct_over_Q,U_phase_over_Q,current_pass_Q,direct_pass_Q,phase_pass_Q,current_pass_Qphase,direct_pass_Qphase,phase_pass_Qphase,cos_VVec_minus_K4,cos_tau_minus_K4,cos_rect_minus_K4,cos_C_minus_K4,cos_anchor_minus_K4,cos_CutVec_minus_K4,cos_HVec_minus_K4,bottleneck,channel_mode
0.84,32.0,25,2,25,0.279321784518054991652748,0.0599557156356183783758925,0.0602444292575997889445405,0.000659003093667194847651752,0.0609034323512669837921922,0.0611732549055982369582302,0.172243288698886629508598,0.136820683474148519333133,0.0769677354891982448073462,0.0369846671424323259814937,0.0414477271502310449831578,0.11395240263163057078884,0.507057910552781905133094,0.636271581879519690742482,0.918258395564629363232421,0.00743169616922872433196836,0.00419934265776628750576261,0.0,0.131185339706274044385199,0.0932957866311208196285882,0.0806320280291490399076709,0.0378895530751532247566111,-0.0712296240706556660093068,-0.0333400709955024412526957,-0.0206763123935306615317784,-0.0709409104486742554406588,-0.0330513573735210306840477,-0.0203875987715492509631304,2.188037259092270852494,1.55607827614179680988518,1.34485973813057644319789,no,no,no,no,no,no,0.994996652409313101991289,-0.999991161417933246452718,-0.973936555557591443075965,-0.987303572962968462994602,0.960283357159059050301761,-0.883352161538330224499728,0.57186586973268766984294,V_exact,zeta_diagnostic
0.84,32.0,25,2,50,0.279321784518054991652748,0.0599557156356183783758925,0.0602444292575997889445405,0.000659003093667194847651752,0.0609034323512669837921922,0.0611732549055982369582302,0.171679265657683780651021,0.136820683474148519333133,0.0769677354891982448073462,0.0349704506186814106372286,0.0420334792637614993646069,0.111938186107879655444575,0.506493887511579056275517,0.624493832486690257818201,0.917010885421987321146787,0.00743169616922872433196836,0.00419934265776628750576261,0.0,0.130210929052977911686162,0.0918673222209003586657722,0.0784228404060361763081511,0.0383436068320775530203899,-0.0702552134173595333102697,-0.0319116065852819802898797,-0.0184671247704177979322586,-0.0699664997953781227416217,-0.0316228929633005697212318,-0.0181784111484363873636106,2.17178508625160081873716,1.53225295114856394582312,1.30801274865355594731852,no,no,no,no,no,no,0.952105510928959954678526,-0.999991161417933246452718,-0.984242780745210842778527,-0.987303572962968462994602,0.960283357159059050301761,-0.969119001281834978439197,0.57186586973268766984294,V_exact,zeta_diagnostic
0.84,32.0,25,2,100,0.279321784518054991652748,0.0599557156356183783758925,0.0602444292575997889445405,0.000659003093667194847651752,0.0609034323512669837921922,0.0611732549055982369582302,0.176768038428204716947043,0.136820683474148519333133,0.0769677354891982448073462,0.0413154619932135708155076,0.036928454280101968871629,0.118283197482411815622854,0.51158266028209999257154,0.687796279893489813174071,0.927815273762917104859713,0.00743169616922872433196836,0.00419934265776628750576261,0.0,0.127493685551751052879202,0.0931073086117729883510734,0.0804914245035737010479175,0.0343863769399780645281289,-0.0675379699161326745033098,-0.0331515929761546099751808,-0.020535708867955322672025,-0.0672492562941512639346618,-0.0328628793541731994065329,-0.0202469952459739121033771,2.12646424448663981614241,1.55293465559870615896581,1.34251461516632298372163,no,no,no,no,no,no,0.99582908324429639819609,-0.999991161417933246452718,-0.974270902351643997933877,-0.987303572962968462994602,0.960283357159059050301761,-0.898850088211887064569511,0.57186586973268766984294,Cut_exact,zeta_diagnostic
0.84,32.0,25,3,25,0.279321784518054991652748,0.0599557156356183783758925,0.0602444292575997889445405,0.000659003093667194847651752,0.0609034323512669837921922,0.0611732549055982369582302,0.125322122529960539299891,0.136820683474148519333133,0.0769677354891982448073462,0.0115057675555356630456277,0.0884335341999699404970416,0.0884735030447339078529739,0.460136744383855814924387,0.00045176062197693627997403,0.80781031882514295835151,0.00743169616922872433196836,0.00419934265776628750576261,0.0,0.189113937710649993039393,0.114802694093963052206606,0.101417620959459867482865,0.0743112436166869408327866,-0.1291582220750316146635,-0.0548469784583446738307136,-0.041461905323841489106972,-0.128869508453050204094852,-0.0545582648363632632620656,-0.041173191701860078538324,3.15422701081565511136523,1.9147914903005725177958,1.69154216381682013738255,no,no,no,no,no,no,0.963459236086771692277354,-0.999991161417933246452718,-0.987792715874315875435626,-0.987303572962968462994602,0.960283357159059050301761,0.981357377659366242618516,0.57186586973268766984294,V_exact,zeta_diagnostic
0.84,32.0,25,3,50,0.279321784518054991652748,0.0599557156356183783758925,0.0602444292575997889445405,0.000659003093667194847651752,0.0609034323512669837921922,0.0611732549055982369582302,0.124911746223206932201349,0.136820683474148519333133,0.0769677354891982448073462,0.0138546141738728947153407,0.089951397709574740171721,0.0908223496630711395226869,0.459726368077102207825845,0.0095896214613189328654985,0.804337092767129036996105,0.00743169616922872433196836,0.00419934265776628750576261,0.0,0.194157240484379504088981,0.118669404221905083550998,0.105007542393225375512177,0.0754878362624744205379826,-0.134201524848761125713089,-0.0587136885862867051751059,-0.0450518267576069971362844,-0.133912811226779715144441,-0.058424974964305294606458,-0.0447631131356255865676365,3.23834414160565764545584,1.97928425945442619125878,1.75141838071636147619141,no,no,no,no,no,no,0.942456191061810222109649,-0.999991161417933246452718,-0.994455182699462134444464,-0.987303572962968462994602,0.960283357159059050301761,0.784173135477296879380342,0.57186586973268766984294,V_exact,zeta_diagnostic
0.84,32.0,25,3,100,0.279321784518054991652748,0.0599557156356183783758925,0.0602444292575997889445405,0.000659003093667194847651752,0.0609034323512669837921922,0.0611732549055982369582302,0.128614275416023452260229,0.136820683474148519333133,0.0769677354891982448073462,0.00822894747103618319645381,0.0851868307289968236328641,0.0851966829602344280038,0.463428897269918727884726,0.00011564101905473129986472,0.816181443947849560141562,0.00743169616922872433196836,0.00419934265776628750576261,0.0,0.18007368758336972137428,0.108279170538490455493255,0.094871464678770327324052,0.0717945170448792658810256,-0.120117971947751342998388,-0.0483234549028720771173622,-0.0349157490431519489481594,-0.11982925832576993242974,-0.0480347412808906665487142,-0.0346270354211705383795115,3.00344488718589967011174,1.80598579118892495115515,1.58235897400262647622435,no,no,no,no,no,no,0.961658655436177154050782,-0.999991161417933246452718,-0.988021987193904614511324,-0.987303572962968462994602,0.960283357159059050301761,0.973370859324487959428769,0.57186586973268766984294,V_exact,zeta_diagnostic
0.84,32.0,25,4,25,0.279321784518054991652748,0.0599557156356183783758925,0.0602444292575997889445405,0.000659003093667194847651752,0.0609034323512669837921922,0.0611732549055982369582302,0.137538945472174642136794,0.136820683474148519333133,0.0769677354891982448073462,0.0054706225968573800596761,0.0758799233234258778967907,0.0824383580860556248670223,0.47235356732606991776129,0.0795556208892896472164067,0.839357784989384267613062,0.00743169616922872433196836,0.00419934265776628750576261,0.0,0.16079407882040711009331,0.0962139382587407066204035,0.0830677803746097290630226,0.0645801405616664034729061,-0.100838363184788731717417,-0.036258222623122328244511,-0.0231120647389913506871301,-0.100549649562807321148769,-0.035969509001140917675863,-0.0228233511170099401184822,2.68188073673634657198916,1.60475005991892642488075,1.38548559539269311785142,no,no,no,no,no,no,0.977483301321974024353428,-0.999991161417933246452718,-0.980253459561352169982065,-0.987303572962968462994602,0.960283357159059050301761,0.0476220980574491681277797,0.57186586973268766984294,V_exact,zeta_diagnostic
0.84,32.0,25,4,50,0.279321784518054991652748,0.0599557156356183783758925,0.0602444292575997889445405,0.000659003093667194847651752,0.0609034323512669837921922,0.0611732549055982369582302,0.137088564299735090466705,0.136820683474148519333133,0.0769677354891982448073462,0.00160005186090458470647921,0.0769216625375268778992183,0.0785677873501028295138254,0.471903186153630366091201,0.0209516503912821106904121,0.836996941757276759755965,0.00743169616922872433196836,0.00419934265776628750576261,0.0,0.158772765688966318766088,0.0933851067368889112696343,0.0798861214584434929704897,0.0653876589520774074964534,-0.0988170500533479403901951,-0.0334293911012705328937417,-0.0199304058228251145945972,-0.0985283364313665298215472,-0.0331406774792891223250938,-0.0196416922008437040259492,2.64816730157821506871996,1.55756804412840438731533,1.33241877961981821000642,no,no,no,no,no,no,0.954276311420772043160317,-0.999991161417933246452718,-0.989067654006771365511951,-0.987303572962968462994602,0.960283357159059050301761,-0.316436639464276935404526,0.57186586973268766984294,V_exact,zeta_diagnostic
0.84,32.0,25,4,100,0.279321784518054991652748,0.0599557156356183783758925,0.0602444292575997889445405,0.000659003093667194847651752,0.0609034323512669837921922,0.0611732549055982369582302,0.141152028518817260613156,0.136820683474148519333133,0.0769677354891982448073462,0.0068359028951436055105177,0.072270614817228039952921,0.0838036383843418503178639,0.475966650372712536237653,0.137619604464198045258614,0.848160339047629713514807,0.00743169616922872433196836,0.00419934265776628750576261,0.0,0.155752245791509805933237,0.0939699100508290941273754,0.0808149699108286342441698,0.0617823357406807118058613,-0.0957965301558914275573441,-0.0340141944152107157514829,-0.0208592542752102558682773,-0.0955078165339100169886962,-0.0337254807932293051828349,-0.0205705406532288452996294,2.59778811978654468336095,1.56732196513060428448136,1.34791102156102410795299,no,no,no,no,no,no,0.976724732555436006854886,-0.999991161417933246452718,-0.98054480407509548193204,-0.987303572962968462994602,0.960283357159059050301761,-0.486013120795502537289094,0.57186586973268766984294,V_exact,zeta_diagnostic
0.84,32.0,25,5,25,0.279321784518054991652748,0.0599557156356183783758925,0.0602444292575997889445405,0.000659003093667194847651752,0.0609034323512669837921922,0.0611732549055982369582302,0.134454227566089104708841,0.136820683474148519333133,0.0769677354891982448073462,0.00400341238641986209445689,0.0790368221524093999233229,0.080971147875618106901803,0.469268849419984380333338,0.0238890737498259898185697,0.831574539307054372190302,0.00743169616922872433196836,0.00419934265776628750576261,0.0,0.164930880715063308387179,0.0979036268772867106817166,0.0846536520490886401953637,0.0670272538377765977054628,-0.104975165079444930011287,-0.037947911241668332305824,-0.0246979364134702618194712,-0.104686451457463519442639,-0.0376591976196869217371761,-0.0244092227914888512508232,2.750878360245632396153,1.63293233746549276152147,1.41193631252059909319709,no,no,no,no,no,no,0.971614272402444657753145,-0.999991161417933246452718,-0.983242275250613953832759,-0.987303572962968462994602,0.960283357159059050301761,0.720003022894837580036338,0.57186586973268766984294,V_exact,zeta_diagnostic
