scope,pass_column,N,K,M,component_id,size,sigma_min,sigma_max,t_min,t_max,sigma_count,t_count,best_slack,best_sigma,best_t,best_N,best_K,best_M,mean_slack,touches_sigma_boundary,touches_t_boundary,likely_grid_accident
per_parameter,current_pass_Q,25,2,100,1,5,0.84,0.92,32.75,32.75,5,1,0.01524579194288141,0.88,32.75,25,2,100,0.013780568643094676,yes,no,yes
per_parameter,current_pass_Q,25,2,25,1,5,0.84,0.92,32.75,32.75,5,1,0.01700857154570232,0.88,32.75,25,2,25,0.015467249481898732,yes,no,yes
per_parameter,current_pass_Q,25,3,100,1,5,0.84,0.92,33.0,33.0,5,1,0.008943258807514088,0.9,33.0,25,3,100,0.00799132029669972,yes,no,yes
per_parameter,current_pass_Q,25,3,25,1,5,0.84,0.92,33.0,33.0,5,1,0.009818579243213246,0.88,33.0,25,3,25,0.00904399979069306,yes,no,yes
per_parameter,current_pass_Q,25,3,50,1,10,0.84,0.92,32.75,33.0,5,2,0.012305365242228595,0.88,32.75,25,3,50,0.007529090052465587,yes,no,no
per_parameter,current_pass_Q,25,4,100,1,9,0.84,0.92,32.75,33.0,5,2,0.01131264309361212,0.9,32.75,25,4,100,0.00713779459393424,yes,no,no
per_parameter,current_pass_Q,25,4,25,1,10,0.84,0.92,32.75,33.0,5,2,0.009930469491180986,0.9,32.75,25,4,25,0.006781488249879659,yes,no,no
per_parameter,current_pass_Q,25,4,50,1,5,0.84,0.92,32.75,32.75,5,1,0.019223924511738023,0.84,32.75,25,4,50,0.016640502990604156,yes,no,yes
per_parameter,current_pass_Q,25,5,100,1,9,0.84,0.92,32.75,33.0,5,2,0.010778572362503751,0.9,32.75,25,5,100,0.0068078215552450265,yes,no,no
per_parameter,current_pass_Q,25,5,25,1,10,0.84,0.92,32.75,33.0,5,2,0.009508434567327027,0.9,32.75,25,5,25,0.00656986006657369,yes,no,no
per_parameter,current_pass_Q,25,5,50,1,5,0.84,0.92,32.75,32.75,5,1,0.020058996234574557,0.84,32.75,25,5,50,0.01832928792363967,yes,no,yes
per_parameter,current_pass_Q,50,2,100,1,5,0.84,0.92,32.75,32.75,5,1,0.017240410726391226,0.88,32.75,50,2,100,0.015754717803504275,yes,no,yes
per_parameter,current_pass_Q,50,2,25,1,5,0.84,0.92,32.75,32.75,5,1,0.019003190329212136,0.88,32.75,50,2,25,0.017441398642308332,yes,no,yes
per_parameter,current_pass_Q,50,2,50,1,2,0.9,0.92,32.75,32.75,2,1,0.0007837131255221161,0.92,32.75,50,2,50,0.00044777726974198315,yes,no,yes
per_parameter,current_pass_Q,50,3,100,1,7,0.84,0.92,32.75,33.0,5,2,0.010951341009997392,0.9,33.0,50,3,100,0.0075120415573132465,yes,no,no
per_parameter,current_pass_Q,50,3,25,1,6,0.84,0.92,32.75,33.0,5,2,0.01185653532786115,0.88,33.0,50,3,25,0.009277393692678411,yes,no,no
per_parameter,current_pass_Q,50,3,50,1,10,0.84,0.92,32.75,33.0,5,2,0.014299984025738408,0.88,32.75,50,3,50,0.009525280771657678,yes,no,no
per_parameter,current_pass_Q,50,4,100,1,10,0.84,0.92,32.75,33.0,5,2,0.013290389108134756,0.88,32.75,50,4,100,0.008318495965299433,yes,no,no
per_parameter,current_pass_Q,50,4,25,1,10,0.84,0.92,32.75,33.0,5,2,0.011900571570323244,0.9,32.75,50,4,25,0.00877767896907175,yes,no,no
per_parameter,current_pass_Q,50,4,50,1,5,0.84,0.92,32.75,32.75,5,1,0.02120152398492487,0.84,32.75,50,4,50,0.018614652151013756,yes,no,yes
per_parameter,current_pass_Q,50,5,100,1,10,0.84,0.92,32.75,33.0,5,2,0.01274867444164601,0.9,32.75,50,5,100,0.008001955099143709,yes,no,no
per_parameter,current_pass_Q,50,5,25,1,10,0.84,0.92,32.75,33.0,5,2,0.011478536646469285,0.9,32.75,50,5,25,0.008566050785765781,yes,no,no
per_parameter,current_pass_Q,50,5,50,1,5,0.84,0.92,32.75,32.75,5,1,0.022036595707761404,0.84,32.75,50,5,50,0.020303437084049268,yes,no,yes
aggregate_any_parameter,current_pass_Q,*,*,*,1,10,0.84,0.92,32.75,33.0,5,2,0.022036595707761404,0.84,32.75,50,5,50,0.010074781758131666,yes,no,no
