label,box_id,sigma_min,sigma_max,t_min,t_max,points,mainNormLowerConst,numeratorUpperConst,parallelUpperConst,restUpperCombinedConst,restUpperSeparateConst,budgetCombinedConst,budgetSeparateConst,min_pointwise_surplus_combined,min_pointwise_surplus_separate,max_D0_abs,max_parallel_exact,max_angle_D0_vs_M,pass_combined_const,pass_separate_const,recommended_mode
bad_window_sigma05_t11p5_13_w010,s0.5_t0,0.5,0.5,11.5,11.509,10,0.7931941859187713,1.053727803653037,1.3284613306040374,0.42573185285931014,0.42871727564495404,-0.9609989975445762,-0.9639844203302201,-0.9277668698715213,-0.930921864990103,1.3315787220271498,1.30735071936922,169.05353940836258,False,False,fail_parallel
bad_window_sigma05_t11p5_13_w010,s0.5_t1,0.5,0.5,11.51,11.519,10,0.7834026650630354,1.0254372391027191,1.3089529622932912,0.42380117356009644,0.42715798006274736,-0.9493514707903523,-0.9527082772930031,-0.9265419566806334,-0.9298987631832845,1.3305262030526657,1.2947419997880762,166.68166974354233,False,False,fail_parallel
bad_window_sigma05_t11p5_13_w010,s0.5_t10,0.5,0.5,11.6,11.609,10,0.8723597468346517,0.9748809646539867,1.1175217198997687,0.40659449967811645,0.4136650791987151,-0.6517564727432335,-0.6588270522638321,-0.6371297921813845,-0.6442003717019832,1.3210727375806999,1.1028950393379198,146.60002262389952,False,False,fail_parallel
bad_window_sigma05_t11p5_13_w010,s0.5_t100,0.5,0.5,12.5,12.509,10,1.2219425711383505,1.4079674410861982,1.152236998973322,0.33069117486214894,0.334929202694692,-0.26098560269712057,-0.26522363052966363,-0.24154655515775214,-0.2457845829902952,1.2283705925321302,1.1407714519408447,158.33770100539837,False,False,fail_parallel
bad_window_sigma05_t11p5_13_w010,s0.5_t101,0.5,0.5,12.51,12.519,10,1.235499223724954,1.4322839274696906,1.1592754572127069,0.32998651461121403,0.334542661926372,-0.2537627480989669,-0.25831889541412484,-0.23613151965819307,-0.24068766697335103,1.227358838990849,1.1493565423215997,159.57700831525986,False,False,fail_parallel
bad_window_sigma05_t11p5_13_w010,s0.5_t102,0.5,0.5,12.52,12.529,10,1.2472550213430944,1.4542232072297854,1.165938947805413,0.3292894023115738,0.3341633281483252,-0.24797332877389233,-0.2528472546106438,-0.2322305354560117,-0.23710446129276314,1.226347483162946,1.1575756409778004,160.84288590171218,False,False,fail_parallel
bad_window_sigma05_t11p5_13_w010,s0.5_t103,0.5,0.5,12.53,12.539,10,1.2571747648075355,1.4736079310293482,1.1721583762898287,0.32860123583900247,0.33379105326776864,-0.2435848473212956,-0.24877466475006177,-0.2298011123572099,-0.23499092978597608,1.2253365250698927,1.1653587509225454,162.13060660296256,False,False,fail_parallel
bad_window_sigma05_t11p5_13_w010,s0.5_t104,0.5,0.5,12.54,12.549,10,1.2652313169987994,1.4902835437725568,1.1778743726543175,0.32792339829543504,0.333425688634146,-0.2405664539509531,-0.24606874428966408,-0.22909582795149325,-0.2348751721129736,1.224325964737897,1.1726455288535549,163.43570677154725,False,False,fail_parallel
bad_window_sigma05_t11p5_13_w010,s0.5_t105,0.5,0.5,12.55,12.559,10,1.2714052857150189,1.5041193484147686,1.1830368847089343,0.3272572508309052,0.3330670850965099,-0.23888884982482061,-0.24469868409042533,-0.23071143119637644,-0.236792615412534,1.2233158021978066,1.179384866105012,164.75393717246382,False,False,fail_parallel
bad_window_sigma05_t11p5_13_w010,s0.5_t106,0.5,0.5,12.56,12.568999999999999,10,1.2756847553445865,1.5150093593716465,1.1876048161776567,0.32660412551867624,0.332715093062308,-0.23852418635174644,-0.2446351538953782,-0.23365056195550954,-0.24002587242662665,1.222306037485009,1.1855345219129996,166.08121768211385,False,False,fail_parallel
bad_window_sigma05_t11p5_13_w010,s0.5_t107,0.5,0.5,12.57,12.579,10,1.2780650603784711,1.5228729401832473,1.1915457103038882,0.3259653183218144,0.3323695625575114,-0.23944596824723152,-0.2458502124829285,-0.23787909233332571,-0.2445394074372691,1.2212966706393384,1.191060806851773,167.41359510746236,False,False,fail_parallel
bad_window_sigma05_t11p5_13_w010,s0.5_t108,0.5,0.5,12.58,12.589,10,1.277369580859884,1.5276552219803525,1.195938313289083,0.3253420821905225,0.3320303432880579,-0.24391081461972164,-0.25059907571725704,-0.24336421094566557,-0.25029905005450914,1.2202877017049973,1.195938313289083,168.74720348274624,False,False,fail_parallel
bad_window_sigma05_t11p5_13_w010,s0.5_t109,0.5,0.5,12.59,12.599,10,1.2742804627640394,1.5293273012058595,1.2001496890948156,0.32473562033036857,0.33169728470252546,-0.25060484666114474,-0.25756651103330164,-0.25007432219974096,-0.2572719011033403,1.219279130730468,1.2001496890948156,170.07822624125743,False,False,fail_parallel
bad_window_sigma05_t11p5_13_w010,s0.5_t11,0.5,0.5,11.61,11.619,10,0.8994500095012268,0.9928016915301183,1.1037875157516068,0.4047386954504002,0.4122274787653872,-0.6090762017007803,-0.6165649850157673,-0.5909503737442612,-0.5984391570592482,1.32002447493449,1.0856616877950878,145.3313822929431,False,False,fail_parallel
