t,sigma,r,main,defect,tail_upper,surplus,coverage_ratio,vertical_tail_upper,tilt_tail_upper,horizontal_tail_upper,cutoff_budget,defect_j0,defect_j1,defect_j2,defect_j3,seed_abs,horizontal_delta_abs,vertical_rectangular_residual_abs,target_rect_abs,central_ref_abs
10.0,0.5,0.3535533905932738,3.8724837947258166,4.448315747955137,0.14145887276822303,-0.7172908259975433,1.1852275862263046,0.003021324532574273,0.06782936126311782,0.07060818647547838,4.970525266659885e-10,2.9212430555795748,1.0328153870472139,0.36515538194744684,0.1291019233809018,2.806275878833053,11.684972222318297,0.21852487143785557,0.31828618891807087,0.3182861893907812
10.25,0.5,0.3535533905932738,3.4584965382721884,4.357990433099223,0.14090414710620608,-1.0403980419332408,1.3008237916158238,0.003021324532574273,0.06870837075812604,0.0691744513190353,4.964704710465574e-10,2.8619257288167037,1.0118435450492718,0.357740716102088,0.126480443131159,2.842642772124853,11.447702915266813,0.2469655085139886,0.35288010746042586,0.35288010704110484
10.5,0.5,0.3535533905932738,3.670386846455126,4.266479799341473,0.14345768304266737,-0.7395506359290146,1.2014911961237207,0.003021324532574273,0.07271445643736828,0.06772190157684878,4.958760748451654e-10,2.8018299940435147,0.9905964942600167,0.35022874925543945,0.12382456178250213,3.008384884402548,11.207319976174055,0.2730938615115817,0.38333187702658217,0.3833318770877983
10.75,0.5,0.35355339059327384,2.664430130531802,4.1738517114392195,0.12969163554109195,-1.6391132164485094,1.6151834111414112,0.003021324532574276,0.06041869604595825,0.06625161446728928,4.952701322464425e-10,2.7410004185664456,0.9690899916017495,0.3426250523208058,0.1211362489502187,2.499677517035856,10.96400167426578,0.2907764384669212,0.40526686020640434,0.4052668605543355
11.0,0.5,0.3535533905932738,2.7581542160410324,4.0801746960136445,0.1343754255844013,-1.4563959055570135,1.5280328043612723,0.003021324532574273,0.06658942284267383,0.0647646777145023,4.94650903939243e-10,2.6794820043429994,0.9473399476691284,0.33493525054287493,0.1184174934586411,2.754976423615827,10.717928017371994,0.2979298246167744,0.4140505765671099,0.4140505760753897
11.25,0.5,0.3535533905932738,2.7877247872637936,3.9855178824198534,0.13481917475043617,-1.332612269906496,1.4780286332405437,0.003021324532574273,0.06853566111400382,0.06326218860983898,4.940191113856121e-10,2.617320149150669,0.9253624130003121,0.3271650186438337,0.115670301625039,2.8354973280381555,10.469280596602676,0.30204020517402325,0.41747162172352487,0.4174716219886491
11.5,0.5,0.35355339059327384,1.8885138029537953,3.88995094350608,0.11855988012092139,-2.119997020673206,2.1225742789686532,0.003021324532574276,0.053793302023445844,0.061745253071525175,4.933760916097445e-10,2.554560607683049,0.9031735643223556,0.3193200759603811,0.11289669554029447,2.225567852918305,10.218242430732195,0.30106049723896705,0.4140433643981099,0.41404336456092034
11.75,0.5,0.35355339059327384,2.3782391406467953,3.7935440363764954,0.12791198244302682,-1.543216878172727,1.64889053913772,0.003021324532574276,0.06467567271334293,0.060214984704388894,4.927207059363711e-10,2.4912494526483218,0.8807896907974518,0.3114061815810403,0.11009871134968147,2.6757996375449355,9.964997810593287,0.2927544891300728,0.401115400906844,0.401115400441203
12.0,0.5,0.3535533905932738,2.1959207849514555,3.696367743283143,0.12418653346784177,-1.6246334917995293,1.7398415748569203,0.003021324532574273,0.06249270458157653,0.058672503861637186,4.92053778125996e-10,2.427433035952538,0.8582271802991441,0.30342912949406736,0.10727839753739304,2.585484607322645,9.70973214381015,0.2811931715914971,0.382919427077285,0.3829194274928488
12.25,0.5,0.3535533905932738,1.582647796497104,3.5984930127862658,0.10942117572493495,-2.1252663920140966,2.3428549274942774,0.003021324532574273,0.049280913990092955,0.05711893671089312,4.913746131038943e-10,2.363157950059151,0.835502505750863,0.2953947437573939,0.1044378132188579,2.0388787044710455,9.452631800236603,0.26586269022452896,0.35877789622504835,0.35877789617467387
12.5,0.5,0.3535533905932738,2.1060406089102837,3.4999911013388165,0.11969526518295333,-1.5136457576114861,1.7187163206670946,0.003021324532574273,0.06111852585272951,0.05555541430696533,4.90684199040914e-10,2.298470989627115,0.812632211562944,0.28730887370338937,0.10157902644536801,2.528631283803797,9.193883958508456,0.24525532497781088,0.3271764208808412,0.32717642052864
12.75,0.5,0.3535533905932738,1.7336477552795422,3.4009335154718063,0.11284779226738588,-1.78013355245965,2.0268138651802494,0.003021324532574273,0.05584339557067362,0.05398307167415566,4.899823200989638e-10,2.2334191135435653,0.7896329002091514,0.2791773891929457,0.09870411252614397,2.310385518362915,8.93367645417426,0.22169745310385258,0.2905085754192103,0.29050857590494694
13.0,0.5,0.35355339059327384,1.4510024172328484,3.301391954783005,0.10197712550868179,-1.9523666630588383,2.3455295731223678,0.003021324532574276,0.04655275358552066,0.052403046901317606,4.892692560932015e-10,2.1680494074840557,0.7665212189897261,0.2710061759355071,0.09581515237371575,1.9260076616900235,8.672197629936221,0.19567067546131922,0.24861271556370507,0.24861271531523507
13.25,0.5,0.35355339059327384,1.7433314037469123,3.2014382559639167,0.10896206936599245,-1.567068921582997,1.898893301764038,0.003021324532574276,0.05512426409147795,0.050816480253395566,4.885446578020699e-10,2.102409047154648,0.7433138470355,0.26280113089433105,0.09291423087943752,2.280633191550517,8.409636188618592,0.16695325401724176,0.2008607723158215,0.20086077213680187
13.5,0.5,0.3535533905932738,1.426163485810375,3.1011443381412525,0.10260705365874413,-1.7775879059896216,2.2464124370563026,0.003021324532574273,0.05036121533453131,0.049224513303829404,4.878091397417605e-10,2.0365452623972353,0.720027482617211,0.25456815779965436,0.09000343532715138,2.0835735615110265,8.14618104958894,0.13806034245431847,0.14886309980803,0.1488631002757005
13.75,0.5,0.3535533905932738,1.396419977698669,3.000582149861447,0.09466110407462383,-1.6988232762374018,2.216556124495655,0.003021324532574273,0.044011490961948584,0.04762828809303883,4.870621344522808e-10,1.9705053023738694,0.6966788308363057,0.24631316279673374,0.08708485385453825,1.8208690628663315,7.882021209495473,0.1124607189101136,0.09293230288881564,0.09293230249357592
14.0,0.5,0.3535533905932738,1.440535745191029,2.899823618114252,0.09642495386615713,-1.5557128267893798,2.079954337809977,0.003021324532574273,0.047374682528003184,0.04602894631927385,4.863058131874549e-10,1.9043364020901623,0.6732845917891728,0.2380420502612703,0.0841605739736466,1.9600129850846546,7.6173456083606474,0.09581228184546023,0.03317656918468005,0.033176569199376116
14.25,0.5,0.3535533905932738,1.411500723118979,2.7989405998783967,0.0944976208010209,-1.4819374975604387,2.049902046302758,0.003021324532574273,0.04704866721341065,0.044427628569498376,4.855375921842281e-10,1.8380857505749515,0.6498614493169566,0.22976071882186896,0.08123268116461958,1.946524889421742,7.352343002299805,0.09635213718043595,0.028979832013152285,0.02897983163698545
14.5,0.5,0.3535533905932738,1.391492348838315,2.6980048367859366,0.0861137501294462,-1.3926262380770678,2.0008148727800763,0.003021324532574273,0.040266951512336,0.04282547359977678,4.847591489051629e-10,1.7718004611080294,0.6264260604794697,0.22147505763850373,0.07830325755993375,1.6659477936828577,7.0872018444321165,0.11575578547939609,0.09272346289404468,0.09272346336581398
14.75,0.5,0.35355339059327384,1.2254498829733993,2.5970879136511247,0.0839305369701635,-1.455568567647889,2.1877830239096645,0.003021324532574276,0.03968559427661602,0.04122361767700203,4.839711815072834e-10,1.7055275439857351,0.6029950459263754,0.21319094299821686,0.07537438074079696,1.6418955431942002,6.82211017594294,0.1471280212463899,0.1572738216654918,0.15727382146969904
15.0,0.5,0.3535533905932738,1.5508249724813654,2.4962612218072384,0.08774114988270411,-1.033177399208577,1.66621147940084,0.003021324532574273,0.04509663087001745,0.0396231939969403,4.831720729659772e-10,1.6393138824439681,0.5795849813846883,0.204914235305496,0.07244812267308604,1.8657641037817267,6.557255529775872,0.18374849613400895,0.22102069633109728,0.2210206960952063
15.25,0.5,0.35355339059327373,1.290809016639827,2.395595928459356,0.07603970773871128,-1.1808266195582406,1.9147957632277102,0.00302132453257427,0.034993050526006354,0.038025332197767533,4.823631354704811e-10,1.5732062125319202,0.5562123905430629,0.19665077656649,0.06952654881788285,1.4477528873814447,6.292824850127681,0.22183137891257437,0.28256827486354885,0.28256827534176565
15.5,0.5,0.35355339059327373,1.1219367157639895,2.2951629536180276,0.07334865054896587,-1.246574888403004,2.1110919812924935,0.00302132453257427,0.033896167540909884,0.03643115799393691,4.815448228144733e-10,1.5072511079642423,0.5328937396962263,0.1884063884955303,0.0666117174620283,1.402372005037026,6.0290044318569675,0.2588563170325792,0.3404160224735326,0.340416022138906
15.75,0.5,0.35355339059327384,1.6930872875382046,2.195032956665885,0.080351421512576,-0.5822970906402565,1.3439262080143146,0.003021324532574276,0.04248830353633485,0.0348417929629506,4.807162893714277e-10,1.441494971299233,0.5096454346259979,0.18018687141240422,0.06370567932824978,1.7578508646724769,5.7659798851969315,0.2925283949651776,0.39244434290274854,0.3924443428214116
16.0,0.5,0.35355339059327384,1.1399773979463756,2.0952763352810426,0.06517938050001251,-1.0204783178346795,1.8951741672010611,0.003021324532574276,0.028899700959289232,0.03325835452827056,4.798784377435273e-10,1.375984033231828,0.4864838203513208,0.17199800415397853,0.0608104775439151,1.1956552766720523,5.503936132927312,0.32087280864505763,0.43646524966070893,0.436465250091099
16.25,0.5,0.35355339059327384,1.2665272576509252,1.9959632403786223,0.06497093027858658,-0.7944069130062836,1.627232385412454,0.003021324532574276,0.030267649070495426,0.03168195619648611,4.790307629795499e-10,1.3107643624058136,0.46342518459740606,0.16384554530072673,0.05792814807467578,1.2522508234454015,5.243057449623254,0.3418163315396056,0.47005045463224665,0.47005045420936464
16.5,0.5,0.35355339059327373,1.851652842465317,1.8971636120569084,0.07073036302980851,-0.11624113262140001,1.062776957945656,0.00302132453257427,0.037595329891172556,0.030113708127887422,4.781742621378874e-10,1.2458818890199428,0.4404857661417536,0.15573523612749288,0.055060720767719194,1.5554159064112545,4.983527556079772,0.3528509316573625,0.49023276033501606,0.49023276039724645
16.75,0.5,0.3535533905932738,1.035071864366134,1.7989472434333054,0.05499336708348228,-0.8188687461506535,1.7911226015713597,0.003021324532574273,0.023417323923864468,0.028554718149735016,4.773085255273849e-10,1.1813824467494978,0.41768176963566267,0.14767280584368725,0.05221022120445783,0.9688351777255165,4.725529786997991,0.3513114086155502,0.4939446835256387,0.49394468387552704
17.0,0.5,0.3535533905932738,1.558370947407545,1.701383882016358,0.057320401940685,-0.20033333654949814,1.1285530488634725,0.003021324532574273,0.027292983566338098,0.027006093365339025,4.764336091681081e-10,1.117311839318073,0.3950293891409118,0.13966397991475912,0.04937867364261399,1.1291812279713767,4.469247357272292,0.3344863361871458,0.4783967050784633,0.47839670461180694
17.25,0.5,0.3535533905932738,1.783536106446202,1.6045433823405655,0.05865061388743366,0.12034211021820294,0.932526114955984,0.003021324532574273,0.03016034630247454,0.025468942576834384,4.755504581789616e-10,1.0537159407340282,0.3725448435686967,0.13171449259175355,0.0465681054460871,1.2478114307691108,4.214863762936113,0.29989561257640496,0.44190589515108797,0.4419058953490255
17.5,0.5,0.3535533905932738,1.0403079921269869,1.5084959297270766,0.047097210702932345,-0.5152851483030221,1.495319801638247,0.003021324532574273,0.02013150585876201,0.023944379836937722,4.746583408256798e-10,0.9906408422358508,0.35024442863266153,0.12383010527948139,0.0437805535790827,0.832892397097494,3.9625633689434023,0.24651100355541053,0.3863781532126661,0.38637815342963294
17.75,0.5,0.3535533905932738,1.6404525190570995,1.413312364440232,0.049023957526719855,0.1781161970901478,0.891422522126684,0.003021324532574273,0.02356910292609855,0.02243352959428941,4.737576245781277e-10,0.9281330651682452,0.32814459211196095,0.11601663314603064,0.04101807401399512,0.9751146670934115,3.7125322606729814,0.1771055212304827,0.3219284365729028,0.32192843611629723
18.0,0.5,0.3535533905932738,1.2643685491211418,1.3190646502359147,0.045385902038484194,-0.10008200315325705,1.0791557202390265,0.003021324532574273,0.0214270429023328,0.02093753413072881,4.728483175262784e-10,0.8662398686814237,0.3062620426393895,0.10827998358517797,0.0382827553299237,0.8864921109648316,3.464959474725694,0.10389674805284722,0.2724241910091284,0.27242419143997115
18.25,0.5,0.35355339059327384,1.2049713385035938,1.2258265548896505,0.0417151839342073,-0.062570400320264,1.0519268785247355,0.003021324532574276,0.019236294566373855,0.019457564363327816,4.71931352347891e-10,0.8050096966391292,0.2846139077072269,0.10062621207989118,0.03557673846340337,0.7958551935988094,3.2200387865565165,0.07484067662731098,0.2675465745587225,0.26754657431649614
