scope,pass_column,N,K,M,component_id,size,sigma_min,sigma_max,t_min,t_max,sigma_count,t_count,best_slack,best_sigma,best_t,best_N,best_K,best_M,mean_slack,touches_sigma_boundary,touches_t_boundary,likely_grid_accident
per_parameter,direct_pass_Q,25,2,100,1,10,0.84,0.92,32.5,32.75,5,2,0.022990540591999644,0.88,32.75,25,2,100,0.014278064992097056,yes,no,no
per_parameter,direct_pass_Q,25,2,25,1,10,0.84,0.92,32.5,32.75,5,2,0.024274564637472417,0.88,32.75,25,2,25,0.015042482376644522,yes,no,no
per_parameter,direct_pass_Q,25,2,50,1,10,0.84,0.92,32.5,32.75,5,2,0.010754541953278376,0.92,32.75,25,2,50,0.008272130035503492,yes,no,no
per_parameter,direct_pass_Q,25,3,100,1,10,0.84,0.92,32.75,33.0,5,2,0.023878155879796067,0.88,33.0,25,3,100,0.019805869917989126,yes,no,no
per_parameter,direct_pass_Q,25,3,25,1,10,0.84,0.92,32.75,33.0,5,2,0.023947022874671608,0.86,33.0,25,3,25,0.019457995241893542,yes,no,no
per_parameter,direct_pass_Q,25,3,50,1,10,0.84,0.92,32.75,33.0,5,2,0.027771296459760186,0.86,32.75,25,3,50,0.02489091991548919,yes,no,no
per_parameter,direct_pass_Q,25,4,100,1,13,0.84,0.92,32.5,33.0,5,3,0.02737584229111664,0.88,32.75,25,4,100,0.0195420186045668,yes,no,no
per_parameter,direct_pass_Q,25,4,25,1,13,0.84,0.92,32.5,33.0,5,3,0.026408232414480638,0.86,32.75,25,4,25,0.0195699710948228,yes,no,no
per_parameter,direct_pass_Q,25,4,50,1,15,0.84,0.92,32.5,33.0,5,3,0.031835818405195095,0.84,32.75,25,4,50,0.017153746686616598,yes,no,no
per_parameter,direct_pass_Q,25,5,100,1,13,0.84,0.92,32.5,33.0,5,3,0.026333471377081457,0.88,32.75,25,5,100,0.018907327875512588,yes,no,no
per_parameter,direct_pass_Q,25,5,25,1,13,0.84,0.92,32.5,33.0,5,3,0.025499799622265316,0.88,32.75,25,5,25,0.01886320477016031,yes,no,no
per_parameter,direct_pass_Q,25,5,50,1,15,0.84,0.92,32.5,33.0,5,3,0.032448607937038236,0.84,32.75,25,5,50,0.01792397154946981,yes,no,no
per_parameter,direct_pass_Q,50,2,100,1,10,0.84,0.92,32.5,32.75,5,2,0.0244432539331371,0.88,32.75,50,2,100,0.01569972868808662,yes,no,no
per_parameter,direct_pass_Q,50,2,25,1,10,0.84,0.92,32.5,32.75,5,2,0.025727277978609873,0.88,32.75,50,2,25,0.016464146072634085,yes,no,no
per_parameter,direct_pass_Q,50,2,50,1,10,0.84,0.92,32.5,32.75,5,2,0.012174234175149573,0.92,32.75,50,2,50,0.009693793731493056,yes,no,no
per_parameter,direct_pass_Q,50,3,100,1,10,0.84,0.92,32.75,33.0,5,2,0.025362432483072975,0.88,33.0,50,3,100,0.021259508940173467,yes,no,no
per_parameter,direct_pass_Q,50,3,25,1,10,0.84,0.92,32.75,33.0,5,2,0.02543104043319371,0.86,33.0,50,3,25,0.020911634264077886,yes,no,no
per_parameter,direct_pass_Q,50,3,50,1,11,0.84,0.92,32.5,33.0,5,3,0.02921949516488682,0.86,32.75,50,3,50,0.024036115607211906,yes,no,no
per_parameter,direct_pass_Q,50,4,100,1,14,0.84,0.92,32.5,33.0,5,3,0.028828555632254095,0.88,32.75,50,4,100,0.019539561513971022,yes,no,no
per_parameter,direct_pass_Q,50,4,25,1,14,0.84,0.92,32.5,33.0,5,3,0.027856431119607273,0.86,32.75,50,4,25,0.01955537149115161,yes,no,no
per_parameter,direct_pass_Q,50,4,50,1,15,0.84,0.92,32.5,33.0,5,3,0.03326103126446942,0.84,32.75,50,4,50,0.018591412270410945,yes,no,no
per_parameter,direct_pass_Q,50,5,100,1,14,0.84,0.92,32.5,33.0,5,3,0.027786184718218913,0.88,32.75,50,5,100,0.018934947606969555,yes,no,no
per_parameter,direct_pass_Q,50,5,25,1,13,0.84,0.92,32.5,33.0,5,3,0.026952512963402772,0.88,32.75,50,5,25,0.02030687251991218,yes,no,no
per_parameter,direct_pass_Q,50,5,50,1,15,0.84,0.92,32.5,33.0,5,3,0.03387382079631257,0.84,32.75,50,5,50,0.019361637133264165,yes,no,no
aggregate_any_parameter,direct_pass_Q,*,*,*,1,15,0.84,0.92,32.5,33.0,5,3,0.03387382079631257,0.84,32.75,50,5,50,0.018380215242536583,yes,no,no
