t,sigma,r,residual_margin,cleared_margin,external_ratio,lower_factor_ratio,total_ratio,quarter_surplus_ratio,defect_anchor_ratio,defect_anchor_surplus_ratio,genuine_ratio,continued_ratio,horizontal_pressure_ratio,cutoff_pressure_ratio,canonical_closed_ratio,anchor_allowance,defect_upper,continued_anchor_abs,defect_allowance,factorization_error,direct_abs,bracket_abs,rectangular_abs,central_ref_abs,cutoff_budget,horizontal_upper,lower_factor_upper,tail_gap_budget,central_ref_delta
1.0,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,959.2143387840997,300.34140466859594,1259.5557434526957,-1258.8057434526957,inf,-inf,147.31846220005903,147.31846220005903,0.0,664.5774143839816,897.5932997022275,-27.852537008208724,0.0,6.020681351552207,-27.852537008208724,2.0802344535365196e-13,16.08076615489407,0.01778493199049863,16.093946291896728,6.183442702353961,18.8783545064906,0.0,65.19450925660145,7.0994662088596865,5.087339814614713e-10
1.25,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,783.9279104548549,234.9485086784417,1018.8764191332966,-1018.1264191332966,inf,-inf,110.89653098687221,110.89653098687221,0.0,562.1348484811106,703.2537085699728,-23.552683974973156,0.0,4.709807182050523,-23.552683974973156,1.1252755273248258e-13,12.366548231410885,0.022238321485774235,12.344428661125042,4.654693885657939,15.968314180396211,0.0,50.999803842440286,5.9507350751355546,5.086841171220962e-10
1.5,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,633.8941596846644,180.01940141352762,813.913561098192,-813.163561098192,inf,-inf,83.42011486810614,83.42011486810614,0.0,467.053929948452,561.7176452325425,-19.561823609926233,0.0,3.6086914296879966,-19.561823609926233,4.533191655005043e-14,10.017275415087218,0.027265872451849842,10.040090058010861,3.5014178997485725,13.267392891149424,0.0,39.076452162072606,4.888551721708111,5.086097534745536e-10
1.75,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,525.4740808386592,143.065846015251,668.5399268539102,-667.7899268539102,inf,-inf,71.14950747933976,71.14950747933976,0.0,383.1750658799797,460.2301617370161,-16.041150490208267,0.0,2.8679158376398357,-16.041150490208267,5.762902403286438e-14,7.919913158259651,0.032902547127750835,7.91043476075128,2.986379956924542,10.884683371966998,0.0,31.055017647788382,4.155513997210987,5.085131651774201e-10
2.0,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,420.1165747402087,112.5909571381626,532.7075318783714,-531.9575318783714,inf,-inf,54.18014246495798,54.18014246495798,0.0,311.7562898102927,374.54587797951524,-13.043468440694035,0.0,2.2570124047436364,-13.043468440694035,3.447988816650427e-14,6.710610571616589,0.03919393856421559,6.695717283873199,2.2741196285533056,8.855922020946707,0.0,24.439894344414615,3.4831575725709465,5.08405790433921e-10
2.25,0.5,0.35355339059327373,0.0878852299152466,0.03672664161544273,331.97281044701754,88.68599659524087,420.6588070422584,-419.9088070422584,inf,-inf,39.71140743279759,39.71140743279759,0.0,252.5499955814224,301.4533917272307,-10.558384612668686,0.0,1.777810576713399,-10.558384612668686,1.0807552126620295e-13,5.6535205705374505,0.04618899836325629,5.695799645781046,1.6668190043762123,7.174075200280596,0.0,19.250892271544043,2.9066516563501597,5.082740791269001e-10
2.5,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,279.3901459816339,74.33580735077024,353.7259533324042,-352.9759533324042,inf,-inf,37.417542588835005,37.417542588835005,0.0,204.55506080396387,259.5308359553255,-8.543878591036385,0.0,1.4901448888247688,-8.543878591036385,6.703982243614917e-14,4.729842052592839,0.05393677869472064,4.678167757161075,1.5705379163322386,5.810704472305112,0.0,16.13592533395202,2.565955794553267,5.081328715158631e-10
2.75,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,222.6493080037109,56.56414457309444,279.21345257680537,-278.46345257680537,inf,-inf,28.089895848326858,28.089895848326858,0.0,166.46951630705718,218.95418219315337,-6.945302427074226,0.0,1.1338919146812574,-6.945302427074226,8.17570526937214e-14,4.317879273158563,0.06248469407171797,4.34927736136191,1.1790257575275582,4.728825378878827,0.0,12.278265965464918,2.0438225390334233,5.079710345537753e-10
3.0,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,174.0983252933776,43.943519278158064,218.04184457153565,-217.29184457153565,inf,-inf,18.584673730170504,18.584673730170504,0.0,136.9289778330366,174.50028474198103,-5.705388404602738,0.0,0.8808972819831954,-5.705388404602738,1.4238583238573986e-14,3.6413105230903353,0.0718767375381504,3.6609698354600386,0.780060173289035,3.8896804642986136,0.0,9.538732022342025,1.6517955027669993,5.077985479628995e-10
3.25,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,156.9658072650761,41.135197367424084,198.10100463250018,-197.35100463250018,inf,-inf,21.17924171226558,21.17924171226558,0.0,114.60732384054494,165.14168415938377,-4.768474820092843,0.0,0.8246013098185573,-4.768474820092843,1.0250864201615631e-13,3.3232512059643975,0.08215178084829108,3.2552773154347308,0.8889627657751015,3.2555991847954804,0.0,8.929135190340501,1.598659384161729,5.076064228020711e-10
3.5,0.5,0.3535533905932738,0.08788522991524662,0.03672664161544274,129.0839139124154,29.37210856649493,158.4560224789103,-157.7060224789103,inf,-inf,15.422411711078958,15.422411711078958,0.0,98.23909049025748,142.90688748437378,-4.081445974225478,0.0,0.5887969609025188,-4.081445974225478,2.949518040356843e-14,3.084123713169896,0.09334147130359673,3.1746745278939366,0.647329586009833,2.790634072915902,0.0,6.375744982404955,1.1730379741981218,5.074073547317148e-10
