sigma,t,N,K,M,q_abs,Q_worst,Q_phase,vertical_tail_upper,K4_norm,tau_norm,rect_norm,C_norm,Cut_exact,V_exact,H_up_qratio,HVec_norm,H_tail,U_current,U_direct_balanced,U_phase_aware,slack_current_Q,slack_direct_Q,slack_phase_Q,slack_current_Qphase,slack_direct_Qphase,slack_phase_Qphase,U_current_over_Q,U_direct_over_Q,U_phase_over_Q,current_pass_Q,direct_pass_Q,phase_pass_Q,current_pass_Qphase,direct_pass_Qphase,phase_pass_Qphase,cos_VVec_minus_K4,cos_tau_minus_K4,cos_rect_minus_K4,cos_C_minus_K4,cos_CutVec_minus_K4,cos_HVec_minus_K4,bottleneck,channel_mode
0.88,26.0,25,2,25,0.271683715631514525213801,0.0571743813898219606487837,0.0877539074442269004660094,0.00055215578730177177384444,0.0883060632315286722398538,0.0878343295555189490766687,0.129522717967133200276336,0.155164370057240507168394,0.0469304508370032387941186,0.118586826228506554238314,0.00684528265171003742766503,0.00593264662058609425478704,0.0,0.272787684345475667772512,0.179207842368929867887762,0.169572282111965800074926,-0.215613302955653707123729,-0.122033460979107907238979,-0.112397900722143839426143,-0.185033776901248767306503,-0.0914539349247029674217528,-0.081818374667738899608917,4.77115235380643128707647,3.13440806901029272101436,2.96587873781792470043888,no,no,no,no,no,no,0.672866037240308572300468,-0.999999583024676986766032,-0.999895339351961122926422,-0.957489476127708766070278,0.406113493996751368264924,-0.0981119926265328245585712,V_exact,zeta_diagnostic
0.88,26.0,25,2,50,0.271683715631514525213801,0.0571743813898219606487837,0.0877539074442269004660094,0.00055215578730177177384444,0.0883060632315286722398538,0.0878343295555189490766687,0.135125718081107374147425,0.155164370057240507168394,0.0397002690127246785734072,0.11080006621125557876012,0.00684528265171003742766503,0.00593264662058609425478704,0.0,0.25196135463325745847898,0.164190900527400332188857,0.154569489304309556429564,-0.194786973243435497830197,-0.107016519137578371540073,-0.0973951079144875957807802,-0.164207447189030558012971,-0.0764369930831734317228474,-0.0668155818600826559635544,4.40689253663024300134159,2.87175648491807176246009,2.7034746252947762990721,no,no,no,no,no,no,0.671332471478060478716698,-0.999999583024676986766032,-0.998466683435475522347505,-0.957489476127708766070278,0.343819428934796744990892,-0.0981119926265328245585712,V_exact,zeta_diagnostic
0.88,26.0,25,2,100,0.271683715631514525213801,0.0571743813898219606487837,0.0877539074442269004660094,0.00055215578730177177384444,0.0883060632315286722398538,0.0878343295555189490766687,0.133481183662122415885323,0.155164370057240507168394,0.0372294285917617745537315,0.109574090832738437745359,0.00684528265171003742766503,0.00593264662058609425478704,0.0,0.247349888006226311898858,0.16049408472792028715442,0.150727760477007572345061,-0.190175506616404351250074,-0.103319703338098326505637,-0.0935533790871856116962775,-0.159595980561999411432849,-0.0727401772836933866884109,-0.0629738530327806718790518,4.32623636659510785508431,2.80709787891978906183289,2.6362814395721603483393,no,no,no,no,no,no,0.696049609731059473840013,-0.999999583024676986766032,-0.996643894354395867185529,-0.957489476127708766070278,0.41727862283598798269035,-0.0981119926265328245585712,V_exact,zeta_diagnostic
0.88,26.0,25,2,200,0.271683715631514525213801,0.0571743813898219606487837,0.0877539074442269004660094,0.00055215578730177177384444,0.0883060632315286722398538,0.0878343295555189490766687,0.129562197763381565599296,0.155164370057240507168394,0.0381187662190872567925577,0.111637095349351030844415,0.00684528265171003742766503,0.00593264662058609425478704,0.0,0.251841354688410557519106,0.163446426871858362492303,0.153532421790447000542899,-0.194666973298588596870323,-0.106272045482036401843519,-0.0963580404006250398941156,-0.164087447244183657053097,-0.0756925194276314620262932,-0.0657785143462201000768898,4.40479369547219484364394,2.85873537935566861556108,2.68533595044333012263684,no,no,no,no,no,no,0.719306402603392798886693,-0.999999583024676986766032,-0.995667985283601419749985,-0.957489476127708766070278,0.513325086949260499990678,-0.0981119926265328245585712,V_exact,zeta_diagnostic
0.88,26.0,25,3,25,0.271683715631514525213801,0.0571743813898219606487837,0.0877539074442269004660094,0.00055215578730177177384444,0.0883060632315286722398538,0.0878343295555189490766687,0.15550426049076162627894,0.155164370057240507168394,0.0171959014569796331199782,0.0833998600145761069315948,0.00684528265171003742766503,0.00593264662058609425478704,0.0,0.181614591166406062375867,0.114286326774975814906903,0.10466575741859085806937,-0.124440209776584101727083,-0.0571119453851538542581195,-0.0474913760287688974205863,-0.0938606837221791619098575,-0.0265324193307489144408937,-0.0169118499743639576033605,3.1765029503010352535845,1.99890797236191485771043,1.83064083728281828947218,no,no,no,no,no,no,0.67581875216811722350209,-0.999999583024676986766032,-0.983503732052761291535482,-0.957489476127708766070278,-0.254175051765117816966543,-0.0981119926265328245585712,V_exact,zeta_diagnostic
0.88,26.0,25,3,50,0.271683715631514525213801,0.0571743813898219606487837,0.0877539074442269004660094,0.00055215578730177177384444,0.0883060632315286722398538,0.0878343295555189490766687,0.162231191510494394004603,0.155164370057240507168394,0.0131379811090681156113377,0.0741526685523366018231153,0.00684528265171003742766503,0.00593264662058609425478704,0.0,0.161410522434549952673097,0.100981214964824792289783,0.0912984702704451623427376,-0.104236141044727992024313,-0.0438068335750028316409994,-0.034124088880623201693954,-0.0736566149903230522070875,-0.0132273075205978918237737,-0.00354456282621826187672824,2.82312669609896028152675,1.76619689640929309299765,1.59684229284372958754894,no,no,no,no,no,no,0.688864551395348072829102,-0.999999583024676986766032,-0.975281409441580910123809,-0.957489476127708766070278,-0.734725802375090652078387,-0.0981119926265328245585712,V_exact,zeta_diagnostic
0.88,26.0,25,3,100,0.271683715631514525213801,0.0571743813898219606487837,0.0877539074442269004660094,0.00055215578730177177384444,0.0883060632315286722398538,0.0878343295555189490766687,0.160256772561528598646772,0.155164370057240507168394,0.00851168929694257003939941,0.0736290244244304808875052,0.00684528265171003742766503,0.00593264662058609425478704,0.0,0.155869916711646368641243,0.0958312790247931257822347,0.0858715689062720649147471,-0.0986955353218244079924592,-0.038656897634971165133451,-0.0286971875164501042659634,-0.0681160092674194681752335,-0.00807737158056622531622527,0.0018823385379548355512623,2.72621955712832493494631,1.67612270907495588002404,1.50192388302007418481063,no,no,no,no,no,yes,0.733441280758072771775072,-0.999999583024676986766032,-0.969067587046083880576764,-0.957489476127708766070278,-0.79084095522828464477966,-0.0981119926265328245585712,quartet_margin_pessimism,zeta_diagnostic
0.88,26.0,25,3,200,0.271683715631514525213801,0.0571743813898219606487837,0.0877539074442269004660094,0.00055215578730177177384444,0.0883060632315286722398538,0.0878343295555189490766687,0.155551659716289659558948,0.155164370057240507168394,0.00500042845071389731837303,0.0770342080365487167666684,0.00684528265171003742766503,0.00593264662058609425478704,0.0,0.158304309753990058306238,0.0957252017906826889403715,0.0855338944554277651496531,-0.101129928364168097657454,-0.0385508204008607282915879,-0.0283595130656058045008694,-0.0705504023097631578402282,-0.00797129434645578847436214,0.0022200129887991353163563,2.76879794596555080097188,1.67426738101487265463967,1.49601783834349091144578,no,no,no,no,no,yes,0.765894526378522656323674,-0.999999583024676986766032,-0.966252188268861740338238,-0.957489476127708766070278,-0.346746325242897538102553,-0.0981119926265328245585712,quartet_margin_pessimism,zeta_diagnostic
0.88,26.0,25,4,25,0.271683715631514525213801,0.0571743813898219606487837,0.0877539074442269004660094,0.00055215578730177177384444,0.0883060632315286722398538,0.0878343295555189490766687,0.156584689992406774688572,0.155164370057240507168394,0.00789875706195863894962217,0.0773562622521736712905815,0.00684528265171003742766503,0.00593264662058609425478704,0.0,0.161764964253520892698828,0.0989455846175523850955337,0.0889295796570035167748012,-0.104590582863698932050045,-0.0417712032277304244467501,-0.0317551982671815561260175,-0.074011056809293992232819,-0.0111916771733254846295243,-0.0011756722127766163087918,2.82932600792980130336763,1.73059300708352620361835,1.55540956448082421280636,no,no,no,no,no,no,0.740849599350662816689581,-0.999999583024676986766032,-0.970675063950365672997672,-0.957489476127708766070278,-0.433562210531549699652191,-0.0981119926265328245585712,V_exact,zeta_diagnostic
0.88,26.0,25,4,50,0.271683715631514525213801,0.0571743813898219606487837,0.0877539074442269004660094,0.00055215578730177177384444,0.0883060632315286722398538,0.0878343295555189490766687,0.163358359118904681163173,0.155164370057240507168394,0.00831661512387955345951749,0.0684001807802130450105334,0.00684528265171003742766503,0.00593264662058609425478704,0.0,0.146544969354846556495837,0.0904073612075126733253809,0.0802248099945644517923743,-0.0893705879650245958470535,-0.0332329798176907126765973,-0.0230504286047424911435907,-0.0587910619106196560298278,-0.00265345376328577285937154,0.00752909744966244867363507,2.56312295459193412085924,1.58125648253374480810693,1.40316008751510288101096,no,no,no,no,no,yes,0.76715283719033232160017,-0.999999583024676986766032,-0.960029336514033160535296,-0.957489476127708766070278,-0.993260550849761926117621,-0.0981119926265328245585712,quartet_margin_pessimism,zeta_diagnostic
