subbox_id,sigma_box,t_box,cutoff,sample_count,odd_trunc_sup_sampled,odd_trunc_guarded,odd_trunc_target,odd_trunc_slack_sampled,odd_trunc_slack_guarded,odd_trunc_sup_over_target,h_qratio_sup_sampled,h_qratio_target,max_q_abs_sampled,max_sigma,max_t,max_raw_core_sum,max_continued_odd_target,max_odd_trunc_vector,channel_mode,status_sampled,status_guarded
S00_T00,"[0.84, 0.84125]","[32.8125, 32.81640625]",50,81,0.0306465288369729407129069,0.0337111817206702347841976,0.0388888888888888888888889,0.00824236005191594817598199,0.0051777071682186541046913,0.788053598665018475474749,0.00663558945988876530297867,0.01,0.279321784518054991652748,0.84,32.8125,(0.553243971814843503013266 -0.0477769174993244240476671j),(0.540324554225087956241413 -0.0199866605934063176436056j),(0.0129194175897555467718532 -0.0277902569059181064040615j),zeta_diagnostic,pass,pass
S00_T01,"[0.84, 0.84125]","[32.81640625, 32.8203125]",50,81,0.0306434200155160030733976,0.0337077620170676033807374,0.0388888888888888888888889,0.00824546887337288581549129,0.00518112687182128550815153,0.787973657541840079030224,0.00663491633755892271004531,0.01,0.279321784518054991652748,0.84,32.81640625,(0.551331026175480420464145 -0.0444264633790148891360882j),(0.538839034252811704134896 -0.0164448742881268173806153j),(0.0124919919226687163292491 -0.0279815890908880717554729j),zeta_diagnostic,pass,pass
S00_T02,"[0.84, 0.84125]","[32.8203125, 32.82421875]",50,81,0.030640312011547902522355,0.0337043432127026927745905,0.0388888888888888888888889,0.00824857687734098636653389,0.00518454567618619611429839,0.7878937374398032077177,0.0066342433922318441109461,0.01,0.279321784518054991652748,0.84,32.8203125,(0.549443866782885648018488 -0.0410515927463994409342574j),(0.537382130438907841451132 -0.0128852433817165628670453j),(0.0120617363439778065673559 -0.0281663493646828780672121j),zeta_diagnostic,pass,pass
S00_T03,"[0.84, 0.84125]","[32.82421875, 32.828125]",50,81,0.0306372048247820047702587,0.0337009253072602052472846,0.0388888888888888888888889,0.00825168406410688411863019,0.00518796358162868364160432,0.787813838351537265520938,0.00663357062384546742091763,0.01,0.279321784518054991652748,0.84,32.82421875,(0.547582767998597072120684 -0.0376525033481147555048569j),(0.535954016129651033436989 -0.00930800741951991016218244j),(0.0116287518689460386836947 -0.0283444959285948453426745j),zeta_diagnostic,pass,pass
S00_T04,"[0.84, 0.84125]","[32.828125, 32.83203125]",50,81,0.0306340984549318128516026,0.0336975083004249941367629,0.0388888888888888888888889,0.00825479043395707603728629,0.00519138058846389475212603,0.787733960269675187612638,0.00663289803233776028860567,0.01,0.279321784518054991652748,0.84,32.828125,(0.54574800274457845945177 -0.0342293960658901035973566j),(0.534554862615260969206203 -0.00571340752977377065262395j),(0.0111931401293174902455668 -0.0285159885361163329447326j),zeta_diagnostic,pass,pass
S00_T05,"[0.84, 0.84125]","[32.83203125, 32.8359375]",50,81,0.0306309929017109670433276,0.0336940921918820637476604,0.0388888888888888888888889,0.00825789598717792184556129,0.00519479669700682514122853,0.787654103186853438256995,0.00663222561764672007840421,0.01,0.279321784518054991652748,0.84,32.83203125,(0.543939842465128582367654 -0.0307824749076806571315941j),(0.533184839115655254460331 -0.00210168640566270535085162j),(0.0107550033494733279073239 -0.0286807885020179517807425j),zeta_diagnostic,pass,pass
S00_T06,"[0.84, 0.84125]","[32.8359375, 32.83984375]",50,81,0.0306278881648332447833121,0.0336906769813165692616433,0.0388888888888888888888889,0.00826100072405564410557679,0.00519821190757231962724558,0.78757426709571200871374,0.00663155337971037385280705,0.01,0.279321784518054991652748,0.84,32.8359375,(0.542158557088815134597067 -0.0273119469983058557915552j),(0.531844112766360556346607 0.00152691171275476175386917j),(0.01031444432245457825046 -0.0288388587110606175454243j),zeta_diagnostic,pass,pass
S00_T07,"[0.84, 0.84125]","[32.83984375, 32.84375]",50,81,0.0306247842440125605889214,0.0336872626684138166478135,0.0388888888888888888888889,0.00826410464487632829996749,0.00520162622047507224107535,0.787494451988894415143693,0.00663088131846677835477203,0.01,0.279321784518054991652748,0.84,32.83984375,(0.540404414990440235738673 -0.0238180225695922786133889j),(0.530532848604583177739985 0.00517214105674720784967137j),(0.00987156638585705799868761 -0.0289901636263394864630603j),zeta_diagnostic,pass,pass
S00_T08,"[0.84, 0.84125]","[32.84375, 32.84765625]",50,81,0.0306216811389629659756146,0.0336838492528592625731761,0.0388888888888888888888889,0.00826720774992592291327429,0.00520503963602962631571283,0.787414657859047696515804,0.00663020943385401999009786,0.01,0.279321784518054991652748,0.84,32.84375,(0.538677682953044339311793 -0.0203009149500205626252799j),(0.529251209555440225765121 0.00883375434723733861643979j),(0.0094264733976041135466721 -0.0291346692972579012417197j),zeta_diagnostic,pass,pass
S00_T09,"[0.84, 0.84125]","[32.84765625, 32.8515625]",50,81,0.0306185788493986493756101,0.0336804367343385143131711,0.0388888888888888888888889,0.00827031003949023951327879,0.00520845215455037457571778,0.787334884698822412515688,0.00662953772581021480981351,0.01,0.279321784518054991652748,0.84,32.84765625,(0.53697862612995537390433 -0.0167608405538760080789301j),(0.527999356418352526800369 0.01251150281325355356385j),(0.00897926971160284710396061 -0.0292723433671295616427801j),zeta_diagnostic,pass,pass
S00_T10,"[0.84, 0.84125]","[32.8515625, 32.85546875]",50,81,0.0306154773750339360566085,0.0336770251125373296622693,0.0388888888888888888888889,0.00827341151385495283228039,0.00521186377635155922661954,0.787255132500872641455647,0.00662886619427350849258017,0.01,0.279321784518054991652748,0.84,32.8515625,(0.535307508006889960319754 -0.0131980188699026075818159j),(0.526777447853600427530998 0.0162051362105046135767379j),(0.00853006015328953278875632 -0.0294031550804072211585537j),zeta_diagnostic,pass,pass
S00_T11,"[0.84, 0.84125]","[32.85546875, 32.859375]",50,81,0.0306123767155832880405745,0.0336736143871416168446319,0.0388888888888888888888889,0.00827651217330560084831439,0.00521527450174727204425694,0.787175401257855978186201,0.00662819483918207632710576,0.01,0.279321784518054991652748,0.84,32.85546875,(0.533664590364113559547439 -0.00961267244946033447472186j),(0.525585640369043608843698 0.0199144028400759642842415j),(0.00807894999506995070374064 -0.0295270752895362987589634j),zeta_diagnostic,pass,pass
S00_T12,"[0.84, 0.84125]","[32.859375, 32.86328125]",50,81,0.0306092768707613040225756,0.0336702045578374344248332,0.0388888888888888888888889,0.00827961201812758486631329,0.00521868433105145446405573,0.787095690962433532009087,0.00662752366047412319457202,0.01,0.279321784518054991652748,0.84,32.859375,(0.532050133238666416862849 -0.00600502689418562407889441j),(0.524424088307006026480197 0.0236390495672462584155723j),(0.00762604493166039038265136 -0.0296440764614318824944667j),zeta_diagnostic,pass,pass
S00_T13,"[0.84, 0.84125]","[32.86328125, 32.8671875]",50,81,0.0306061778402827192896795,0.0336667956243109912186474,0.0388888888888888888888889,0.00828271104860616959920939,0.00522209326457789767024144,0.787016001607269924591759,0.00662685265808788355107409,0.01,0.279321784518054991652748,0.84,32.86328125,(0.530464394886662176401846 -0.00237531084315507994000358j),(0.523292943831327079395242 0.0273788218404226099662403j),(0.00717145105533509700660399 -0.0297541326835776899062438j),zeta_diagnostic,pass,pass
S00_T14,"[0.84, 0.84125]","[32.8671875, 32.87109375]",50,81,0.0306030796238624056399093,0.0336633875862486462039002,0.0388888888888888888888889,0.00828580926502648324897959,0.00522550130264024268498866,0.786936333185033287883382,0.00662618183196162141007268,0.01,0.279321784518054991652748,0.84,32.8671875,(0.528907631745666048142892 0.00127624404044746409960614j),(0.522192356914580093694556 0.0311334637101931027750202j),(0.00671527483108595444833547 -0.029857219669745638675414j),zeta_diagnostic,pass,pass
S00_T15,"[0.84, 0.84125]","[32.87109375, 32.875]",50,81,0.030599982221215371301256,0.0336599804433369084313816,0.0388888888888888888888889,0.00828890666767351758763289,0.00522890844555198045750729,0.786856685688395262032297,0.00662551118203363032485866,0.01,0.279321784518054991652748,0.84,32.87109375,(0.527380098397159415368611 0.0049494030831602962847826j),(0.521122475325459196862502 0.0349027178484950660048176j),(0.00625762307170021850610879 -0.029953314765334769720035j),zeta_diagnostic,pass,pass
S01_T00,"[0.84125, 0.8425]","[32.8125, 32.81640625]",50,81,0.030497034293846535852221,0.0335467377232311894374431,0.0388888888888888888888889,0.00839185459504235303666789,0.00534215116565769945144579,0.784209453270339493342826,0.00658957637112595547649766,0.01,0.279079875448047641803664,0.84125,32.8125,(0.554310884560764316161381 -0.0471619370673288238687481j),(0.541453590400984710990251 -0.019507659141319818555029j),(0.0128572941597796051711298 -0.0276542779260090053137191j),zeta_diagnostic,pass,pass
S01_T01,"[0.84125, 0.8425]","[32.81640625, 32.8203125]",50,81,0.03049394063546315233672,0.033543334699009467570392,0.0388888888888888888888889,0.00839494825342573655216889,0.00534555418987942131849689,0.7841299020547667743728,0.00658890791602350005346332,0.01,0.279079875448047641803664,0.84125,32.81640625,(0.552405769407658070708403 -0.0438196805414633466572432j),(0.539973809886916446602381 -0.0159749898814148394705555j),(0.0124319595207416241060225 -0.0278446906600485071866876j),zeta_diagnostic,pass,pass
S01_T02,"[0.84125, 0.8425]","[32.8203125, 32.82421875]",50,81,0.0304908477905816428929226,0.0335399325696398071822149,0.0388888888888888888888889,0.00839804109830724599596629,0.00534895631924908170667403,0.784050371757813674389438,0.00658823963669658646176071,0.01,0.279079875448047641803664,0.84125,32.8203125,(0.550526377796628137583939 -0.0404530953645117992796266j),(0.538522569236313237635265 -0.0124245317367457809353457j),(0.0120038085603148999486741 -0.0280285636277660183442809j),zeta_diagnostic,pass,pass
S01_T03,"[0.84125, 0.8425]","[32.82421875, 32.828125]",50,81,0.030487755758916770934714,0.0335365313348084480281854,0.0388888888888888888888889,0.00840113312997211795417489,0.00535235755408044086070349,0.783970862372145538321217,0.00658757153308358286368616,0.01,0.279079875448047641803664,0.84125,32.82421875,(0.548672983086565354048051 -0.0370623788289723647111493j),(0.537100041286803579362457 -0.00885652359792699534957824j),(0.0115729417997617746855936 -0.0282058552310453693615711j),zeta_diagnostic,pass,pass
S01_T04,"[0.84125, 0.8425]","[32.828125, 32.83203125]",50,81,0.0304846645401834365304862,0.0335331309942017801835348,0.0388888888888888888888889,0.00840422434870545235840269,0.00535575789468710870535407,0.783891373890431225069645,0.00658690360512288694884342,0.01,0.279079875448047641803664,0.84125,32.828125,(0.546845857199543730291751 -0.0336477313502687691150658j),(0.535706396825674572893471 -0.00527120593388778073651044j),(0.0111394603738691573982802 -0.0283765254163809883785554j),zeta_diagnostic,pass,pass
