label,box_id,sigma,t,main_abs,d0_neg_re_main,d0_destructive_numerator,parallel_exact,D0_abs,Drest_abs,RvecTail_abs,rest_combined,rest_separate,bounded_surplus_combined,bounded_surplus_separate,angle_D0_vs_M,angle_Drest_vs_M,failure_class
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t0,0.74,14.25,0.043796795269547516,0.0027717104747002016,0.0027717104747002016,0.06328569151331052,0.07907417767974118,0.01866417774542934,0.0003407827948057025,0.01837439362440991,0.019004960540235042,-0.03786328986817292,-0.038493856783998054,143.16193464060703,15.302707911604072,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t0,0.74,14.251,0.04431088983397709,0.0028001478301641325,0.0028001478301641325,0.06319322046241127,0.07906725345502669,0.018662578504689834,0.00034135540642518566,0.018370499050058216,0.01900393391111502,-0.0372528296784924,-0.0378862645395492,143.05699663538525,15.375934983896112,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t0,0.74,14.252,0.04482655862844083,0.0028289519519794303,0.0028289519519794303,0.06310883633580033,0.07906032960423708,0.018660980388157465,0.00034193191944779163,0.01836662815187368,0.019002912307605258,-0.03664890585923318,-0.03728519001496476,142.9620235941271,15.43920219500053,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t0,0.74,14.253,0.04534370383325782,0.002858119582359763,0.002858119582359763,0.06303233615123087,0.07905340612741153,0.0186593833997794,0.000342512315230937,0.018362781144541852,0.019001895715010337,-0.0360514134625149,-0.03669052803298338,142.87670845995052,15.492816603938277,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t0,0.74,14.254,0.04586223109554801,0.002887647418726518,0.002887647418726518,0.06296351812258062,0.0790464830245935,0.018657787543506228,0.00034309657512176096,0.018358958241309516,0.01900088411862799,-0.03546024526834213,-0.0361021711456606,142.80075467075233,15.537074774925484,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t1,0.74,14.255,0.04638204936919157,0.002917532114049926,0.002917532114049926,0.0629021820667511,0.07903956029582138,0.018656192823289803,0.0003436846804586784,0.01835515965396581,0.018999877503748482,-0.03487529235152535,-0.03552001020130802,142.73387585367448,15.572263082907117,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t1,0.74,14.256,0.046903070762195,0.0029477702771973876,0.0029477702771973876,0.06284812975557585,0.07903263794113756,0.018654599243085282,0.0003442766125743618,0.018351385592827025,0.018998875855659642,-0.03429644458620788,-0.0349439348490405,142.67579551768492,15.598658020976387,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t1,0.74,14.257,0.04742521039117231,0.0029783584732849516,0.0029783584732849516,0.062801165218222,0.07902571596058253,0.018653006806849785,0.0003448723527974473,0.018347636266718474,0.01899787915964723,-0.033723591093768164,-0.034373833986696925,142.62624674608983,15.616526507862195,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t1,0.74,14.258,0.04794838624269558,0.0030092932240347483,0.0030092932240347483,0.06276109499917074,0.07901879435419654,0.01865141551854273,0.00034547188245497197,0.018343911882957496,0.018996887400997704,-0.03315662063943265,-0.03380959615747286,142.58497189055865,15.626126193904234,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t1,0.74,14.259,0.04847251904123233,0.003040571008135968,0.003040571008135968,0.06272772837635193,0.07901187312202042,0.01864982538212604,0.0003460751828730889,0.018340212647338677,0.01899590056499913,-0.03259542198245828,-0.03325110990011873,142.55172226794883,15.627705764228063,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t2,0.74,14.26,0.048997532123422775,0.003072188261611568,0.003072188261611568,0.06270087754364549,0.07900495226409532,0.01864823640156407,0.0003466822353818701,0.018336538764113768,0.01899491863694594,-0.03203988418433648,-0.032698264057168656,142.52625786105503,15.621505237996177,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t2,0.74,14.261,0.049523351318413844,0.0031041413781886106,0.0031041413781886106,0.06268035776153995,0.07899803178046158,0.018646648580823256,0.00034729302131363595,0.01833289043597922,0.018993941602136893,-0.03148989687910532,-0.032150948045263,142.50834702417083,15.607756262845644,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t2,0.74,14.262,0.05004990483400199,0.0031364267096742377,0.0031364267096742377,0.06266598747943011,0.07899111167116023,0.01864506192387259,0.00034790752200866075,0.018329267864056108,0.01899296944588125,-0.03094535050948423,-0.031609052091309375,142.49776619423525,15.58668240374226,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t2,0.74,14.263,0.05057712314831424,0.0031690405663350823,0.0031690405663350823,0.06265758843266095,0.07898419193623113,0.01864347643468303,0.0003485257188141244,0.018325671247875847,0.018992002153497157,-0.030406136532222558,-0.031072467437843868,142.49429960814072,15.558499425672231,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t2,0.74,14.264,0.05110493890679178,0.003201979217282148,0.003201979217282148,0.06265498571717516,0.07897727257571532,0.018641892117228137,0.000349147593087489,0.018322100785363477,0.018991039710315627,-0.029872147595746856,-0.030541086520699007,142.4977390266998,15.52341556967535,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t3,0.74,14.265,0.05163328682421839,0.0032352388908597715,0.0032352388908597715,0.0626580078443175,0.07897035358965311,0.018640308975483546,0.00034977312619832154,0.018318556672820716,0.018990082101681866,-0.029343277692919834,-0.030014803121780984,142.50788346563533,15.4816318218546,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t3,0.74,14.266,0.05216210359156573,0.0032688157750387784,0.0032688157750387784,0.06266648677810081,0.07896343497808574,0.018638727013427368,0.00035040229952967866,0.018315039104911193,0.018989129312957046,-0.028819422291446278,-0.02949351249949213,142.5245389338518,15.433342175105667,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t3,0.74,14.267,0.05269132778742388,0.0033027060178145444,0.0033027060178145444,0.06268025795703745,0.07895651674105197,0.0186371462350394,0.0003510350944803604,0.018311548274642514,0.018988181329519762,-0.028300478444256087,-0.028977111499133335,142.54751817921093,15.378733883340065,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t3,0.74,14.268,0.053220899793791486,0.0033369057276093693,0.0033369057276093693,0.06269916030240882,0.07894959887859396,0.01863556664430246,0.00035167149246651815,0.01830808437335241,0.018987238136768978,-0.027786344881969748,-0.028465498645386316,142.57664044191654,15.317987708101242,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t3,0.74,14.269,0.05375076171601455,0.0033714109736778567,0.0033714109736778567,0.06272303621463611,0.07894268139075111,0.018633988245200905,0.00035231147492283463,0.018304647590691944,0.01898629972012374,-0.027276922089313507,-0.027958574218745303,142.61173121556115,15.251278157517412,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t4,0.74,14.27,0.05428085730669093,0.003406217786519527,0.003406217786519527,0.0627517315593256,0.07893576427756406,0.01863241104172161,0.00035295502330548597,0.018301238114609385,0.018985366065027095,-0.02677211236724406,-0.027456240317661768,142.65262201589516,15.178773717532474,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t4,0.74,14.271,0.05481113189329994,0.003441322158292248,0.003441322158292248,0.06278509564428301,0.07892884753907325,0.018630835037853597,0.00035360211909238104,0.018297856131335784,0.018984437156945977,-0.02627181988231886,-0.026958400907929052,142.69915015722276,15.1006370755102,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t4,0.74,14.272,0.055341532309408165,0.003476720043231958,0.003476720043231958,0.06282298118877545,0.07892193117531882,0.01862926023758797,0.0003542527437859958,0.018294501825368275,0.018983512981373966,-0.025775950704735564,-0.026464961860741255,142.75115853642407,15.017025336211871,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t4,0.74,14.273,0.05587200682927058,0.0035124073580761364,0.0035124073580761364,0.06286524428608915,0.078915015186341,0.01862768664491802,0.00035490687891459783,0.018291175379455283,0.01898259352383262,-0.02528441283627386,-0.025975830980651194,142.80849542445512,14.928090230296345,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t4,0.74,14.274,0.056402505105628456,0.0035483799824912628,0.0035483799824912628,0.06291174436039662,0.07890809957217973,0.018626114263839106,0.00035556450603298076,0.018287876974581868,0.018981678769872088,-0.024797116229350033,-0.025490918024640253,142.87101426525206,14.833978315415806,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t5,0.74,14.275,0.05693297811057289,0.003584633759504511,0.003584633759504511,0.06296234411877388,0.07890118433287628,0.018624543098349055,0.0003562256067257857,0.01828460678995319,0.01898076870507484,-0.02431397279815418,-0.02501013471327583,142.93857348185873,14.73483117008818,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t5,0.74,14.276,0.05746337807928804,0.0036211644959384917,0.0036211644959384917,0.06301690949915971,0.07889426946846934,0.018622973152447146,0.00035689016260759076,0.018281365002980058,0.018979863315054735,-0.02383489642285173,-0.024533394734926408,143.01103628964606,14.630785580477628,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t5,0.74,14.277,0.05799365845656517,0.003657967962851928,0.003657967962851928,0.06307530961495718,0.07888735497900051,0.018621404430135515,0.0003575581553248008,0.018278151789265076,0.018978962585460318,-0.023359802947657084,-0.024060613743852325,143.08827051644883,14.521973720257748,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t5,0.74,14.278,0.05852377384591179,0.003695039895982173,0.003695039895982173,0.06313741669686074,0.07888044086450809,0.018619836935417564,0.00035822956655713335,0.018274967322586003,0.018978066501974696,-0.022888610173534947,-0.02359170935292364,143.17014842942248,14.408523323755352,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t5,0.74,14.279,0.05905367996112963,0.003732375996193371,0.003732375996193371,0.06320310603251311,0.07887352712503379,0.018618270672299566,0.0003589043780192407,0.01827181177488263,0.018977175050318807,-0.02242123784626611,-0.023126601121702287,143.25654656847962,14.290557852512313,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t6,0.74,14.28,0.0595833335802643,0.0037699719299273834,0.0037699719299273834,0.06327225590439448,0.0788666137606165,0.018616705644789212,0.0003595825714622649,0.01826868531624067,0.018976288216251476,-0.021957607640370847,-0.022665210540381654,143.3473455860414,14.168196655536349,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t6,0.74,14.281,0.060112692501752295,0.003807823329658346,0.003807823329658346,0.0633447475264454,0.0788597007712972,0.018615141856896694,0.0003602641286740551,0.018265588114879595,0.01897540598557075,-0.021497643139572694,-0.02220746101026385,143.4424300929741,14.04155512336236,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t6,0.74,14.282,0.060641715502703336,0.003845925794352003,0.003845925794352003,0.0634204649797639,0.07885278815711431,0.01861357931263368,0.00036094903148233817,0.01826252033713533,0.018974528344116018,-0.0210412698141959,-0.021753277821176586,143.54168851049025,13.910744836152714,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t6,0.74,14.283,0.0611703622991863,0.003884274889928233,0.003884274889928233,0.06349929514770755,0.07884587591810971,0.018612018016014604,0.0003616372617541295,0.018259482147449563,0.018973655277768734,-0.020588414995970816,-0.021302588126289986,143.64501292779514,13.77587370605007,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t6,0.74,14.284,0.061698593508411365,0.003922866149727065,0.003922866149727065,0.0635811276507018,0.07883896405432227,0.018610457971055226,0.00036232880139873793,0.018256473708352233,0.018972786772453964,-0.020139007850642668,-0.0208553209147444,143.7522989653178,13.637046113946226,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t7,0.74,14.285,0.062226370612715,0.003961695074978216,0.003961695074978216,0.0636658547810067,0.0788320525657929,0.01860889918177379,0.0003630236323674832,0.018253495180450566,0.01897192281414127,-0.019692979348742264,-0.02041140698243297,143.863445643304,13.494363040889676,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t7,0.74,14.286,0.06275365592526791,0.004000757135274512,0.004000757135274512,0.0637533714376567,0.07882514145255913,0.018607341652189652,0.00036372173665616793,0.018250546722412508,0.01897106338884582,-0.019250262234801304,-0.019970778901234616,143.97835525559196,13.347922194309213,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t7,0.74,14.287,0.06328041255740662,0.004040047769049498,0.004040047769049498,0.0638435750617848,0.07881823071466285,0.018605785386325208,0.0003644230963058732,0.018247628490955563,0.01897020848263108,-0.018810790995333747,-0.019533370987009264,144.09693324838065,13.197818129246023,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t7,0.74,14.288,0.06380660438750095,0.004079562384056821,0.004079562384056821,0.06393636557246361,0.07881132035214326,0.01860423038820415,0.00036512769340368086,0.0182447406408319,0.01896935808160783,-0.018374501825794563,-0.019099119266570493,144.21908810379068,13.044142364792755,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t7,0.74,14.289,0.06433219603128955,0.004119296357854237,0.004119296357854237,0.06403164530324312,0.07880441036503953,0.018602676661852058,0.0003658355100845055,0.0182418833248149,0.018968512171936562,-0.017941332596768476,-0.018667961443890137,144.34473122805665,12.886983495900832,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t8,0.74,14.29,0.06485715281361512,0.00415924503829143,0.00415924503829143,0.06412931893948791,0.07879750075339265,0.018601124211296876,0.00036654652853123336,0.018239056693687535,0.01896767073982811,-0.017511222819560322,-0.0182398368657009,144.47377684416065,12.726427300747114,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t8,0.74,14.291,0.06538144074146053,0.004199403743999536,0.004199403743999536,0.06422929345661474,0.0787905915172404,0.0185995730405677,0.0003672607309768763,0.01823626089622682,0.018966833771544577,-0.017084113611381027,-0.017814686486698785,144.6061418887365,12.562556843829867,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t8,0.74,14.292,0.06590502647825364,0.004239767764885489,0.004239767764885489,0.06433147805933231,0.07878368265662507,0.018598023153696557,0.00036797809970501023,0.018233496079193334,0.018966001253401567,-0.016659947660272012,-0.017392452834480245,144.7417459130754,12.395452574962658,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t8,0.74,14.293,0.06642787731936785,0.004280332362629189,0.004280332362629189,0.0644357841219353,0.07877677417158392,0.018596474554716132,0.0003686986170516144,0.018230762387315382,0.018965173171767748,-0.01623866918988284,-0.016973079974335205,144.88051098807583,12.225192424324439,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t8,0.74,14.294,0.06694996116872554,0.004321092771183205,0.004321092771183205,0.0645421251297413,0.07876986606215754,0.018594927247661788,0.0003694222654046131,0.01822805996327982,0.0189643495130664,-0.01582022392429559,-0.01655651347408217,145.02236161298066,12.051851893722798,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t9,0.74,14.295,0.0674712465165032,0.004362044197276181,0.004362044197276181,0.06465041662168258,0.07876295832838577,0.018593381236570526,0.00037014902720563375,0.01822538894771779,0.01896353026377616,-0.015404559052897171,-0.016142700368955543,145.16722462773507,11.875504144235947,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t9,0.74,14.296,0.06799170241784978,0.0044031818209195415,0.0044031818209195415,0.06476057613411926,0.07875605097030675,0.018591836525480774,0.00037087888495166283,0.018222749479191298,0.018962715410432436,-0.014991623195460772,-0.01573158912670191,145.31502912883926,11.696220080359215,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t9,0.74,14.297,0.0685112984725658,0.004444500795916972,0.004444500795916972,0.06487252314589684,0.07874914398796293,0.01859029311843379,0.00037161182119458785,0.01822014169418401,0.01896190493962838,-0.014581366367515045,-0.015323129612959414,145.46570638854223,11.514068430812396,parallel_dominates
seed_hurts_sigma0740_t14p25_14p35_w005,s0.74_t9,0.74,14.298,0.06903000480571164,0.004485996250375973,0.004485996250375973,0.06498617902464343,0.078742237381391,0.018588751019471255,0.0003723478185435564,0.01821756572708525,0.018961098838014813,-0.01417373994601704,-0.014917273056946602,145.61918977723212,11.329115826148582,parallel_dominates
