window,split,sigma,t,delta,r_vertical,full_re,full_im,full_abs,main_re,main_im,main_abs,rest_re,rest_im,rest_abs,phase_gap_main_rest,tilt_main_re,tilt_main_im,tilt_abs,tilt_projection_on_main,tilt_orthogonal_to_main,tilted_main_abs,tilted_rest_abs,tail_upper,surplus_no_tilt,surplus_tilt_norm_only,surplus_tilt_oriented,surplus_full_tilted,branch_mass,branch_defect,branch_abs_defect,curvature_mean_all,curvature_abs_mean_all,curvature_weighted_mean_main,curvature_weighted_abs_mean_main,curvature_min_all,curvature_max_all,half_disk_distance_proxy
t1413,core,0.737,14.08,0.237,0.29999284559330386,0.027350063032556382,-0.027247856674202837,0.03860662690811912,0.02211938867285586,-0.050722207025922485,0.05533542844183466,0.0052306743597005205,0.023474350351719648,0.024050053611011115,2.51112389518586,0.007946313871908483,-0.015992125600160254,0.017857547014139042,0.017835291752778763,0.0008912650870801422,0.07317614807609006,0.03110078573134811,0.0,0.03128537483082354,0.013427827816684498,0.04912609446507894,0.04207536234474195,0.40495050328815474,-0.5950494967118453,0.5950494967118453,0.29316937555089895,0.29316937555089895,0.29435567737620094,0.29435567737620094,0.2931689999858919,0.3047640096216403,
t1413,core,0.737,14.09,0.237,0.29999284559330386,0.027716913455370498,-0.02644452786351192,0.038308489208223245,0.020806729254729487,-0.04947212982026908,0.053669466284221354,0.0069101842006410105,0.023027601956757158,0.02404206932786017,2.451943551142514,0.0075472304741409585,-0.01564419716255063,0.01736955936949925,0.01734664043662739,0.000891996778538278,0.07102170845621712,0.03109046070301877,0.0,0.029627396956361185,0.012257837586861935,0.046979639128356954,0.039931247753198354,0.40495050328815474,-0.5950494967118453,0.5950494967118453,0.29316937555089895,0.29316937555089895,0.29435567737620094,0.29435567737620094,0.2931689999858919,0.3047640096216403,
t1413,core,0.737,14.1,0.237,0.29999284559330386,0.02812379740876632,-0.025663374995538706,0.038073045542101995,0.01957124934998046,-0.048124451523706424,0.05195186845125668,0.008552548058785858,0.022461076528167718,0.024034267975165138,2.39151961105482,0.007170555512383834,-0.015267488687543119,0.01686751544183183,0.016843980307737677,0.0008907326046466765,0.06880161488688626,0.03108037223468881,0.0,0.027917600476091545,0.011050085034259714,0.044767346911721115,0.03772124265219745,0.40495050328815474,-0.5950494967118453,0.5950494967118453,0.29316937555089895,0.29316937555089895,0.29435567737620094,0.29435567737620094,0.2931689999858919,0.3047640096216403,
t1413,core,0.737,14.11,0.237,0.29999284559330386,0.02857001731936001,-0.024905639465216445,0.03790167234832624,0.018420765158108022,-0.04668344220350307,0.05018633643710187,0.010149252161251988,0.02177780273828662,0.024026652108448288,2.329650151355858,0.006818582022370407,-0.014863249915413315,0.016352652960416752,0.01632857117504161,0.0008871427311470713,0.06652082348315758,0.031070523631080895,0.0,0.02615968432865358,0.009807031368236827,0.04249417137470929,0.03545029985207668,0.40495050328815474,-0.5950494967118453,0.5950494967118453,0.29316937555089895,0.29316937555089895,0.29435567737620094,0.29435567737620094,0.2931689999858919,0.3047640096216403,
t1413,core,0.737,14.12,0.237,0.29999284559330386,0.029054845168344244,-0.024172543863785992,0.037795448199526814,0.01736281898316256,-0.045153956161345606,0.04837713550906866,0.011692026185181684,0.020981412297559614,0.024019224348741156,2.266100411040984,0.0064935227496169924,-0.014432901870155206,0.015826386008603577,0.015801854953717498,0.0008808371671296007,0.06418503478956285,0.031060918281630906,0.0,0.0243579111603275,0.008531525151723923,0.040165810440821695,0.03312411650793194,0.40495050328815474,-0.5950494967118453,0.5950494967118453,0.29316937555089895,0.29316937555089895,0.29435567737620094,0.29435567737620094,0.2931689999858919,0.3047640096216403,
t1413,core,0.737,14.13,0.237,0.29999284559330386,0.029577522982051904,-0.023465291703816234,0.037755129194574286,0.01640463717701215,-0.04354141227730656,0.04652920270122615,0.013172885805039752,0.020076120573490328,0.024011987375349406,2.2005960333605645,0.006197497820042172,-0.013978031096514944,0.015290334612576867,0.015265486548360012,0.0008713512531727842,0.06180083229584636,0.031051559651134597,0.0,0.022517215325876746,0.007226880713299879,0.03778884492049696,0.030749272644711764,0.40495050328815474,-0.5950494967118453,0.5950494967118453,0.29316937555089895,0.29316937555089895,0.29435567737620094,0.29435567737620094,0.2931689999858919,0.3047640096216403,
t1413,core,0.737,14.14,0.237,0.29999284559330386,0.030137263264504634,-0.022785067154880323,0.037781131829611285,0.015553089559699394,-0.04185177137667742,0.04464828509828463,0.01458417370480524,0.0190667042217971,0.024004943918564524,2.1328149221271175,0.0059325228436432976,-0.013500383024234057,0.014746361215275335,0.014721371749958207,0.0008581275493241705,0.0593758582015369,0.031042451270319925,0.0,0.02064334117972011,0.005896979964444774,0.03537091428297238,0.028333406931216977,0.40495050328815474,-0.5950494967118453,0.5950494967118453,0.29316937555089895,0.29316937555089895,0.29435567737620094,0.29435567737620094,0.2931689999858919,0.3047640096216403,
t1413,core,0.737,14.15,0.237,0.29999284559330386,0.03073324937245348,-0.022133034780521917,0.03787352433541412,0.01481465052590317,-0.04009151073190784,0.04274111724056034,0.015918598846550308,0.01795847595138592,0.023998096752323905,2.0623775297927356,0.005700497512504362,-0.01300185449241047,0.014196615516801276,0.014171713480945263,0.0008404933943089964,0.056919036621157146,0.031033596726356527,0.0,0.018743020488236433,0.004546404971435157,0.03292093986883324,0.02588543989480062,0.40495050328815474,-0.5950494967118453,0.5950494967118453,0.29316937555089895,0.29316937555089895,0.29435567737620094,0.29435567737620094,0.2931689999858919,0.3047640096216403,
t1413,core,0.737,14.16,0.237,0.29999284559330386,0.03136463583471277,-0.021510339267347623,0.03803202698306449,0.014195362038053947,-0.038267595826487415,0.040815648882883394,0.017169273796658828,0.01675725655913979,0.023991448686844007,1.9888354848988223,0.005503194751931095,-0.01248448547116127,0.013643589335556785,0.013619067715342544,0.0008176334889381659,0.05444085686000366,0.031024999653329628,0.0,0.016824200196039387,0.0031806108604826022,0.030449408173159654,0.023415857206674034,0.40495050328815474,-0.5950494967118453,0.5950494967118453,0.29316937555089895,0.29316937555089895,0.29435567737620094,0.29435567737620094,0.2931689999858919,0.3047640096216403,
t1413,core,0.737,14.17,0.237,0.29999284559330386,0.03203054861864951,-0.020918105137424037,0.0382560213215122,0.013700798697082829,-0.036387449521588636,0.03888133700921494,0.018329749921566683,0.015469344384164599,0.023985002561247696,1.9116586909258972,0.005342250480701242,-0.011950450021871277,0.013090183189084708,0.013066410119492146,0.0007885572351003529,0.05195373186077325,0.031016663722704826,0.0,0.014896334447967247,0.0018061512588825393,0.02796872929952555,0.02093706813806842,0.40495050328815474,-0.5950494967118453,0.5950494967118453,0.29316937555089895,0.29316937555089895,0.29435567737620094,0.29435567737620094,0.2931689999858919,0.3047640096216403,
