group_type,group_id,N,K,M,point_count,exact_odd_passes,phase_passes,min_surplus_after_quarter,min_overshoot_deficit,max_overshoot_share,max_surplus_after_quarter_share,min_phase_slack,max_phase_payment_share_weighted,worst_exact_odd_point,worst_phase_point,read
box,early_anchor_fail,25,3,25,25,0,0,-0.382202942774106565756086,0.349137699570233067796605,3.11815071977012867905534,-9.49441810653450465687909,-0.51900047878673084856512,4.03295291047734526424553,early_anchor_fail sigma=0.84 t=32.0 N=25 K=3 M=25,early_anchor_fail sigma=0.84 t=32.0 N=25 K=3 M=25,both_fail_sample
box,early_anchor_fail,25,3,50,25,0,0,-0.385588467952794720337789,0.348925356589478731719224,3.11815071977012867905534,-9.48722083947167006098567,-0.523698172023405311904546,4.03295291047734526424553,early_anchor_fail sigma=0.84 t=32.0 N=25 K=3 M=50,early_anchor_fail sigma=0.84 t=32.0 N=25 K=3 M=50,both_fail_sample
box,early_anchor_fail,25,3,100,25,0,0,-0.377479877072201602977871,0.347023911104776067895834,3.11815071977012867905534,-9.42277222473427619677979,-0.512446838617731888866773,4.03295291047734526424553,early_anchor_fail sigma=0.84 t=32.0 N=25 K=3 M=100,early_anchor_fail sigma=0.84 t=32.0 N=25 K=3 M=100,both_fail_sample
box,early_anchor_fail,25,4,25,25,0,0,-0.373504147776116322297951,0.3408956810919589269168,3.11815071977012867905534,-9.21505870452260053816102,-0.506930188869374282593217,4.03295291047734526424553,early_anchor_fail sigma=0.84 t=32.0 N=25 K=4 M=25,early_anchor_fail sigma=0.84 t=32.0 N=25 K=4 M=25,both_fail_sample
box,early_anchor_fail,25,4,50,25,0,0,-0.367925275754350124047852,0.338669859532195801969193,3.11815071977012867905534,-9.13961551283846412846785,-0.499189047397468691886823,4.03295291047734526424553,early_anchor_fail sigma=0.84 t=32.0 N=25 K=4 M=50,early_anchor_fail sigma=0.84 t=32.0 N=25 K=4 M=50,both_fail_sample
box,early_anchor_fail,25,4,100,25,0,0,-0.375472003314119471381459,0.341600359785351288817693,3.11815071977012867905534,-9.2389434627181247343881,-0.5096607494659467334949,4.03295291047734526424553,early_anchor_fail sigma=0.84 t=32.0 N=25 K=4 M=100,early_anchor_fail sigma=0.84 t=32.0 N=25 K=4 M=100,both_fail_sample
box,early_anchor_fail,25,5,25,25,0,0,-0.371389374903726323391309,0.340192264868659414359617,3.11815071977012867905534,-9.19121673716661716236288,-0.503995768448499246662779,4.03295291047734526424553,early_anchor_fail sigma=0.84 t=32.0 N=25 K=5 M=25,early_anchor_fail sigma=0.84 t=32.0 N=25 K=5 M=25,both_fail_sample
box,early_anchor_fail,25,5,50,25,0,0,-0.372300612102805377393101,0.340433797728062563871843,3.11815071977012867905534,-9.19940338165752082211092,-0.505260184632454071679185,4.03295291047734526424553,early_anchor_fail sigma=0.84 t=32.0 N=25 K=5 M=50,early_anchor_fail sigma=0.84 t=32.0 N=25 K=5 M=50,both_fail_sample
box,early_anchor_fail,25,5,100,25,0,0,-0.370349613144104816231355,0.339227803428732471599788,3.11815071977012867905534,-9.15852676300170252526229,-0.502553013919106154329271,4.03295291047734526424553,early_anchor_fail sigma=0.84 t=32.0 N=25 K=5 M=100,early_anchor_fail sigma=0.84 t=32.0 N=25 K=5 M=100,both_fail_sample
box,early_anchor_fail,50,3,25,25,0,0,-0.381262957773043431571218,0.348128830105866566936161,3.11815071977012867905534,-9.46022294293272252085437,-0.517696172674973980258854,4.03295291047734526424553,early_anchor_fail sigma=0.84 t=32.0 N=50 K=3 M=25,early_anchor_fail sigma=0.84 t=32.0 N=50 K=3 M=25,both_fail_sample
box,early_anchor_fail,50,3,50,25,0,0,-0.384648482951731586152921,0.34791648712511223085878,3.11815071977012867905534,-9.45302567586988792496094,-0.52239386591164844359828,4.03295291047734526424553,early_anchor_fail sigma=0.84 t=32.0 N=50 K=3 M=50,early_anchor_fail sigma=0.84 t=32.0 N=50 K=3 M=50,both_fail_sample
box,early_anchor_fail,50,3,100,25,0,0,-0.376539892071138468793003,0.34601504164040956703539,3.11815071977012867905534,-9.38857706113249406075506,-0.511142532505975020560506,4.03295291047734526424553,early_anchor_fail sigma=0.84 t=32.0 N=50 K=3 M=100,early_anchor_fail sigma=0.84 t=32.0 N=50 K=3 M=100,both_fail_sample
box,early_anchor_fail,50,4,25,25,0,0,-0.372564162775053188113083,0.339886811627592426056356,3.11815071977012867905534,-9.18086354092081840213629,-0.505625882757617414286951,4.03295291047734526424553,early_anchor_fail sigma=0.84 t=32.0 N=50 K=4 M=25,early_anchor_fail sigma=0.84 t=32.0 N=50 K=4 M=25,both_fail_sample
box,early_anchor_fail,50,4,50,25,0,0,-0.366985290753286989862984,0.337660990067829301108749,3.11815071977012867905534,-9.10542034923668199244312,-0.497884741285711823580557,4.03295291047734526424553,early_anchor_fail sigma=0.84 t=32.0 N=50 K=4 M=50,early_anchor_fail sigma=0.84 t=32.0 N=50 K=4 M=50,both_fail_sample
box,early_anchor_fail,50,4,100,25,0,0,-0.374532018313056337196591,0.340591490320984787957249,3.11815071977012867905534,-9.20474829911634259836337,-0.508356443354189865188634,4.03295291047734526424553,early_anchor_fail sigma=0.84 t=32.0 N=50 K=4 M=100,early_anchor_fail sigma=0.84 t=32.0 N=50 K=4 M=100,both_fail_sample
box,early_anchor_fail,50,5,25,25,0,0,-0.370449389902663189206441,0.339183395404292913499173,3.11815071977012867905534,-9.15702157356483502633815,-0.502691462336742378356512,4.03295291047734526424553,early_anchor_fail sigma=0.84 t=32.0 N=50 K=5 M=25,early_anchor_fail sigma=0.84 t=32.0 N=50 K=5 M=25,both_fail_sample
box,early_anchor_fail,50,5,50,25,0,0,-0.371360627101742243208233,0.339424928263696063011399,3.11815071977012867905534,-9.16520821805573868608619,-0.503955878520697203372919,4.03295291047734526424553,early_anchor_fail sigma=0.84 t=32.0 N=50 K=5 M=50,early_anchor_fail sigma=0.84 t=32.0 N=50 K=5 M=50,both_fail_sample
box,early_anchor_fail,50,5,100,25,0,0,-0.369409628143041682046487,0.338218933964365970739344,3.11815071977012867905534,-9.12433159939992038923756,-0.501248707807349286023005,4.03295291047734526424553,early_anchor_fail sigma=0.84 t=32.0 N=50 K=5 M=100,early_anchor_fail sigma=0.84 t=32.0 N=50 K=5 M=100,both_fail_sample
box,early_anchor_fail,100,3,25,25,0,0,-0.381855087046257770109587,0.34814508113985022469256,3.11815071977012867905534,-9.46077376420881123968978,-0.518517800497896807349433,4.03295291047734526424553,early_anchor_fail sigma=0.84 t=32.0 N=100 K=3 M=25,early_anchor_fail sigma=0.84 t=32.0 N=100 K=3 M=25,both_fail_sample
box,early_anchor_fail,100,3,50,25,0,0,-0.385240612224945924691289,0.347932738159095888615179,3.11815071977012867905534,-9.45357649714597664379636,-0.523215493734571270688859,4.03295291047734526424553,early_anchor_fail sigma=0.84 t=32.0 N=100 K=3 M=50,early_anchor_fail sigma=0.84 t=32.0 N=100 K=3 M=50,both_fail_sample
box,early_anchor_fail,100,3,100,25,0,0,-0.377132021344352807331372,0.346031292674393224791789,3.11815071977012867905534,-9.38912788240858277959048,-0.511964160328897847651085,4.03295291047734526424553,early_anchor_fail sigma=0.84 t=32.0 N=100 K=3 M=100,early_anchor_fail sigma=0.84 t=32.0 N=100 K=3 M=100,both_fail_sample
box,early_anchor_fail,100,4,25,25,0,0,-0.373156292048267526651452,0.339903062661576083812755,3.11815071977012867905534,-9.18141436219690712097171,-0.506447510580540241377529,4.03295291047734526424553,early_anchor_fail sigma=0.84 t=32.0 N=100 K=4 M=25,early_anchor_fail sigma=0.84 t=32.0 N=100 K=4 M=25,both_fail_sample
box,early_anchor_fail,100,4,50,25,0,0,-0.367577420026501328401352,0.337677241101812958865148,3.11815071977012867905534,-9.10597117051277071127853,-0.498706369108634650671136,4.03295291047734526424553,early_anchor_fail sigma=0.84 t=32.0 N=100 K=4 M=50,early_anchor_fail sigma=0.84 t=32.0 N=100 K=4 M=50,both_fail_sample
box,early_anchor_fail,100,4,100,25,0,0,-0.37512414758627067573496,0.340607741354968445713648,3.11815071977012867905534,-9.20529912039243131719879,-0.509178071177112692279213,4.03295291047734526424553,early_anchor_fail sigma=0.84 t=32.0 N=100 K=4 M=100,early_anchor_fail sigma=0.84 t=32.0 N=100 K=4 M=100,both_fail_sample
box,early_anchor_fail,100,5,25,25,0,0,-0.37104151917587752774481,0.339199646438276571255572,3.11815071977012867905534,-9.15757239484092374517357,-0.503513090159665205447091,4.03295291047734526424553,early_anchor_fail sigma=0.84 t=32.0 N=100 K=5 M=25,early_anchor_fail sigma=0.84 t=32.0 N=100 K=5 M=25,both_fail_sample
box,early_anchor_fail,100,5,50,25,0,0,-0.371952756374956581746601,0.339441179297679720767798,3.11815071977012867905534,-9.16575903933182740492161,-0.504777506343620030463497,4.03295291047734526424553,early_anchor_fail sigma=0.84 t=32.0 N=100 K=5 M=50,early_anchor_fail sigma=0.84 t=32.0 N=100 K=5 M=50,both_fail_sample
box,early_anchor_fail,100,5,100,25,0,0,-0.370001757416256020584856,0.338235184998349628495743,3.11815071977012867905534,-9.12488242067600910807298,-0.502070335630272113113583,4.03295291047734526424553,early_anchor_fail sigma=0.84 t=32.0 N=100 K=5 M=100,early_anchor_fail sigma=0.84 t=32.0 N=100 K=5 M=100,both_fail_sample
box,late_anchor_fail,25,3,25,25,0,0,-0.702689528121645171597114,0.416735469117165827036639,2.99851499183657433838739,-12.0932566846163913309422,-0.892882505840251276914415,7.06398331945452370844909,late_anchor_fail sigma=0.84 t=34.0 N=25 K=3 M=25,late_anchor_fail sigma=0.84 t=34.0 N=25 K=3 M=25,both_fail_sample
box,late_anchor_fail,25,3,50,25,0,0,-0.716964121018267238098215,0.419933125604122696373988,2.99851499183657433838739,-12.2016397714039874489166,-0.912689671632096534534995,7.06398331945452370844909,late_anchor_fail sigma=0.84 t=34.0 N=25 K=3 M=50,late_anchor_fail sigma=0.84 t=34.0 N=25 K=3 M=50,both_fail_sample
box,late_anchor_fail,25,3,100,25,0,0,-0.710550688056301961091082,0.413674556717417522960405,2.99851499183657433838739,-11.9895084753811745427659,-0.903790508560161066378592,7.06398331945452370844909,late_anchor_fail sigma=0.84 t=34.0 N=25 K=3 M=100,late_anchor_fail sigma=0.84 t=34.0 N=25 K=3 M=100,both_fail_sample
box,late_anchor_fail,25,4,25,25,0,0,-0.692519293173619217308747,0.40856909430016075220558,2.99851499183657433838739,-11.8164611894962055945023,-0.878770472578326285467085,7.06398331945452370844909,late_anchor_fail sigma=0.84 t=34.0 N=25 K=4 M=25,late_anchor_fail sigma=0.84 t=34.0 N=25 K=4 M=25,both_fail_sample
box,late_anchor_fail,25,4,50,25,0,0,-0.694244749175939309742042,0.412058445761769291315097,2.99851499183657433838739,-11.9347311424566171046131,-0.881164683982602206584079,7.06398331945452370844909,late_anchor_fail sigma=0.84 t=34.0 N=25 K=4 M=50,late_anchor_fail sigma=0.84 t=34.0 N=25 K=4 M=50,both_fail_sample
box,late_anchor_fail,25,4,100,25,0,0,-0.698102309049610287404183,0.411237920336623972935674,2.99851499183657433838739,-11.9069198129008311566052,-0.886517363987077269359085,7.06398331945452370844909,late_anchor_fail sigma=0.84 t=34.0 N=25 K=4 M=100,late_anchor_fail sigma=0.84 t=34.0 N=25 K=4 M=100,both_fail_sample
box,late_anchor_fail,25,5,25,25,0,0,-0.693241464176395430989512,0.410756321291422875913935,2.99851499183657433838739,-11.8905962361421128675182,-0.879772543942857916811903,7.06398331945452370844909,late_anchor_fail sigma=0.84 t=34.0 N=25 K=5 M=25,late_anchor_fail sigma=0.84 t=34.0 N=25 K=5 M=25,both_fail_sample
box,late_anchor_fail,25,5,50,25,0,0,-0.688466878373293860293791,0.408444076773471832449079,2.99851499183657433838739,-11.8122237782857253843845,-0.873147415417350006082017,7.06398331945452370844909,late_anchor_fail sigma=0.84 t=34.0 N=25 K=5 M=50,late_anchor_fail sigma=0.84 t=34.0 N=25 K=5 M=50,both_fail_sample
box,late_anchor_fail,25,5,100,25,0,0,-0.69127344153819708234978,0.40989765259079398167194,2.99851499183657433838739,-11.8614920579160703162348,-0.877041751481090140407074,7.06398331945452370844909,late_anchor_fail sigma=0.84 t=34.0 N=25 K=5 M=100,late_anchor_fail sigma=0.84 t=34.0 N=25 K=5 M=100,both_fail_sample
box,late_anchor_fail,50,3,25,25,0,0,-0.701514618890558528847792,0.415636517018051453067687,2.99851499183657433838739,-12.0560082117990137224478,-0.891252223134535056344174,7.06398331945452370844909,late_anchor_fail sigma=0.84 t=34.0 N=50 K=3 M=25,late_anchor_fail sigma=0.84 t=34.0 N=50 K=3 M=25,both_fail_sample
box,late_anchor_fail,50,3,50,25,0,0,-0.715789211787180595348894,0.418834173505008322405035,2.99851499183657433838739,-12.1643912985866098404222,-0.911059388926380313964755,7.06398331945452370844909,late_anchor_fail sigma=0.84 t=34.0 N=50 K=3 M=50,late_anchor_fail sigma=0.84 t=34.0 N=50 K=3 M=50,both_fail_sample
box,late_anchor_fail,50,3,100,25,0,0,-0.70937577882521531834176,0.412575604618303148991452,2.99851499183657433838739,-11.9522600025637969342714,-0.902160225854444845808351,7.06398331945452370844909,late_anchor_fail sigma=0.84 t=34.0 N=50 K=3 M=100,late_anchor_fail sigma=0.84 t=34.0 N=50 K=3 M=100,both_fail_sample
box,late_anchor_fail,50,4,25,25,0,0,-0.691344383942532574559425,0.407470142201046378236627,2.99851499183657433838739,-11.7792127166788279860079,-0.877140189872610064896844,7.06398331945452370844909,late_anchor_fail sigma=0.84 t=34.0 N=50 K=4 M=25,late_anchor_fail sigma=0.84 t=34.0 N=50 K=4 M=25,both_fail_sample
box,late_anchor_fail,50,4,50,25,0,0,-0.69306983994485266699272,0.410959493662654917346144,2.99851499183657433838739,-11.8974826696392394961187,-0.879534401276885986013838,7.06398331945452370844909,late_anchor_fail sigma=0.84 t=34.0 N=50 K=4 M=50,late_anchor_fail sigma=0.84 t=34.0 N=50 K=4 M=50,both_fail_sample
box,late_anchor_fail,50,4,100,25,0,0,-0.696927399818523644654861,0.410138968237509598966721,2.99851499183657433838739,-11.8696713400834535481107,-0.884887081281361048788844,7.06398331945452370844909,late_anchor_fail sigma=0.84 t=34.0 N=50 K=4 M=100,late_anchor_fail sigma=0.84 t=34.0 N=50 K=4 M=100,both_fail_sample
box,late_anchor_fail,50,5,25,25,0,0,-0.69206655494530878824019,0.409657369192308501944982,2.99851499183657433838739,-11.8533477633247352590238,-0.878142261237141696241662,7.06398331945452370844909,late_anchor_fail sigma=0.84 t=34.0 N=50 K=5 M=25,late_anchor_fail sigma=0.84 t=34.0 N=50 K=5 M=25,both_fail_sample
box,late_anchor_fail,50,5,50,25,0,0,-0.687291969142207217544469,0.407345124674357458480126,2.99851499183657433838739,-11.7749753054683477758901,-0.871517132711633785511776,7.06398331945452370844909,late_anchor_fail sigma=0.84 t=34.0 N=50 K=5 M=50,late_anchor_fail sigma=0.84 t=34.0 N=50 K=5 M=50,both_fail_sample
box,late_anchor_fail,50,5,100,25,0,0,-0.690098532307110439600458,0.408798700491679607702988,2.99851499183657433838739,-11.8242435850986927077404,-0.875411468775373919836834,7.06398331945452370844909,late_anchor_fail sigma=0.84 t=34.0 N=50 K=5 M=100,late_anchor_fail sigma=0.84 t=34.0 N=50 K=5 M=100,both_fail_sample
box,late_anchor_fail,100,3,25,25,0,0,-0.702009843757755890431702,0.41562603486081074308972,2.99851499183657433838739,-12.0556529239303589233199,-0.891939388164029094578747,7.06398331945452370844909,late_anchor_fail sigma=0.84 t=34.0 N=100 K=3 M=25,late_anchor_fail sigma=0.84 t=34.0 N=100 K=3 M=25,both_fail_sample
box,late_anchor_fail,100,3,50,25,0,0,-0.716284436654377956932803,0.418823691347767612427068,2.99851499183657433838739,-12.1640360107179550412943,-0.911746553955874352199328,7.06398331945452370844909,late_anchor_fail sigma=0.84 t=34.0 N=100 K=3 M=50,late_anchor_fail sigma=0.84 t=34.0 N=100 K=3 M=50,both_fail_sample
box,late_anchor_fail,100,3,100,25,0,0,-0.709871003692412679925669,0.412565122461062439013485,2.99851499183657433838739,-11.9519047146951421351435,-0.902847390883938884042924,7.06398331945452370844909,late_anchor_fail sigma=0.84 t=34.0 N=100 K=3 M=100,late_anchor_fail sigma=0.84 t=34.0 N=100 K=3 M=100,both_fail_sample
box,late_anchor_fail,100,4,25,25,0,0,-0.691839608809729936143334,0.407459660043805668258661,2.99851499183657433838739,-11.77885742881017318688,-0.877827354902104103131417,7.06398331945452370844909,late_anchor_fail sigma=0.84 t=34.0 N=100 K=4 M=25,late_anchor_fail sigma=0.84 t=34.0 N=100 K=4 M=25,both_fail_sample
