sigma,t,r,main_base,main_seeded_oriented,seed_prefix_norm_tax,defect,tail_without_tilt,tilt_tail_upper,tail_upper,surplus_no_tilt,surplus_tilt_norm_only,surplus_tilt_oriented,oriented_gain_vs_no_tilt,norm_tax_total,coverage_no_tilt,coverage_norm_only,coverage_oriented,seed_abs,horizontal_delta_abs,vertical_rectangular_residual_abs,target_rect_abs,central_ref_abs
0.84,32.82,0.27932178451805495,0.06443933805174411,0.06643330286212154,0.010811103610893718,0.016344847686100027,0.0007591071973864862,0.00011056213395324759,0.0008696693313397339,0.0473353831682576,0.03641371742341063,0.04921878584468178,0.0018834026764241799,0.010921665744846966,0.26542722815917535,0.4349147814930874,0.25912481053617775,0.013089666297842539,0.07595115580554003,0.005091473944649628,0.06887635219793765,0.06887635220187889
0.84,32.821,0.279321784518055,0.0644452375671126,0.06628381614947887,0.01064641135224921,0.016344401601976206,0.0007591044653421635,0.00010886790525489755,0.000867972370597061,0.047341731499794225,0.03658645224229012,0.0490714421769056,0.0017297106771113763,0.010755279257504108,0.26539596583078706,0.43228617624088406,0.25967687095379455,0.012889083263663682,0.07594908294408295,0.005009447670238697,0.06883251299758734,0.06883251300141985
0.84,32.822,0.279321784518055,0.06445113993023564,0.06613498829539431,0.010482097455134887,0.016343955424411732,0.0007591017327253773,0.00010717785067156483,0.0008662795833969422,0.04734808277309853,0.03675880746729208,0.04892475328758564,0.001576670514487108,0.010589275305806452,0.2653646960418405,0.4296639670441639,0.26022889625289625,0.012688994411088539,0.0759470096484263,0.0049294485834636284,0.06878910517784922,0.06878910518157233
0.84,32.823,0.279321784518055,0.06445704514082883,0.06598683579475033,0.010318206023494996,0.016343509153424716,0.0007590989995365345,0.00010549242019584227,0.0008645914197323768,0.04735443698786757,0.036930738544176736,0.048778735221593233,0.0014242982337256613,0.010423698443690838,0.26533341879998773,0.42704884371462115,0.2607808112921533,0.012489453015616278,0.07594493591865421,0.0048515829415277925,0.06874613042041598,0.06874613042402933
0.84,32.824,0.279321784518055,0.06446295319862931,0.0658393752161756,0.010154783775155217,0.016343062789035533,0.0007590962657757965,0.00010381209037582568,0.0008629083561516221,0.047360794143817976,0.03710219827828694,0.048633404070988435,0.0012726099271704594,0.010258595865531041,0.26530213411282216,0.424441536769745,0.2613325398166893,0.012290515496703774,0.07594286175486145,0.004775961156059189,0.06870359040186923,0.06870359040537247
0.84,32.825,0.27932178451805495,0.06446886410339564,0.06569262320004171,0.009991880232428568,0.01634261633126208,0.000759093531442959,0.00010213736625112477,0.0008612308976940838,0.0473671542406906,0.03727313664201091,0.04848877597108555,0.0011216217303949491,0.010094017598679693,0.26527084198780343,0.42184282040037224,0.261884004488121,0.012092241646973723,0.07594078715713112,0.004702697622664983,0.06866148679354538,0.06866148679693772
0.84,32.826,0.279321784518055,0.06447477785490785,0.06554659645638966,0.009829547927401663,0.016342169780125204,0.0007590907965385362,0.0001004687834378413,0.0008595595799763776,0.04737351727824411,0.03744350056740461,0.04834486709628808,0.0009713498180439692,0.009930016710839505,0.26523954243235887,0.4192535156667564,0.26243512691839715,0.011894694879059193,0.0759387121255601,0.00463191047733697,0.06861982126141368,0.06861982126469506
0.84,32.827,0.27932178451805495,0.06448069445296753,0.06540131176276724,0.009667842622883243,0.016341723135640605,0.0007590880610622044,9.880691037244879e-05,0.0008578949714346532,0.04737988325626472,0.03761323372300903,0.048201693655691984,0.0008218103994272613,0.009766649533255692,0.26520823545373273,0.4166744939379605,0.2629858277073113,0.011697942491261054,0.0759366366602214,0.004563721270411837,0.06857859546594468,0.06857859546911423
0.84,32.828,0.279321784518055,0.06448661389739788,0.06525678596200309,0.009506823550058077,0.01634127639782878,0.0007590853250144167,9.715235072513586e-05,0.0008562376757395526,0.04738625217455468,0.03778227627377147,0.04805927188843476,0.000673019713880077,0.009603975900783213,0.265176921059166,0.41410668059133376,0.2635360264843857,0.011502055953268201,0.07593456076121015,0.004498254549155126,0.06853781106198437,0.06853781106504195
0.84,32.829,0.279321784518055,0.06449253618804338,0.06511303595989947,0.0093465536638031,0.016340829566706908,0.0007590825883950098,9.550574599227226e-05,0.0008545883343872821,0.04739262403294146,0.03795056462314609,0.047917618058805275,0.0005249940258638119,0.009442059409795372,0.26514559925575026,0.41155105898623434,0.2640856419547718,0.011307111213084852,0.0759324844286063,0.004435637340716856,0.06849746969863629,0.06849746970158128
