profile_name,nmax,bg_kmax,x_mode,x_cut,target_t,box_center_t,sigma_center,sigma_radius,t_radius,box_samples,boundary_min_abs,boundary_min_sigma,boundary_min_t,raw_winding,rounded_winding,total_arg_variation,interior_min_abs,interior_min_sigma,interior_min_t,classification
dyn_200k_k5,200000,5,nmax/x_factor,66666.66666666667,21.022,21.021609999999257,0.5,0.002,0.002,400,0.000613364022186234,0.498,21.021609999999257,1.0,1,6.283185307179586,1.0351157820755426e-05,0.4998,21.021609999999257,zero_box_candidate
dyn_200k_k5,200000,5,nmax/x_factor,66666.66666666667,32.935,32.93514000000639,0.5,0.002,0.002,400,0.0007476579097295826,0.502,32.93514000000639,1.0,1,6.283185307179586,3.220993868792509e-05,0.5002,32.93514000000639,zero_box_candidate
dyn_200k_k5,200000,5,nmax/x_factor,66666.66666666667,37.586,37.586290000006436,0.5,0.002,0.002,400,0.0008416641403904455,0.502,37.586290000006436,1.0,1,6.283185307179586,4.599329647280468e-06,0.5002,37.586290000006436,zero_box_candidate
dyn_200k_k5,200000,5,nmax/x_factor,66666.66666666667,40.919,40.9188700000063,0.5,0.002,0.002,400,0.0008494131317988554,0.498,40.9188700000063,1.0,1,6.283185307179586,1.3521080982325675e-05,0.4998,40.9188700000063,zero_box_candidate
dyn_200k_k5,200000,5,nmax/x_factor,66666.66666666667,43.327,43.327230000006416,0.5,0.002,0.002,400,0.0009486140874128842,0.502,43.327230000006416,1.0,1,6.283185307179586,4.205514691174376e-05,0.5002,43.327230000006416,zero_box_candidate
dyn_200k_k5,200000,5,nmax/x_factor,66666.66666666667,48.005,48.005340000006456,0.5,0.002,0.002,400,0.0009227134867323473,0.502,48.00535000000646,1.0,1,6.283185307179586,6.029595990734949e-06,0.5,48.005340000006456,zero_box_candidate
dyn_200k_k5,200000,5,nmax/x_factor,66666.66666666667,49.774,49.7738500000063,0.5,0.002,0.002,400,0.0007914191628856456,0.502,49.7738500000063,1.0,1,6.283185307179586,1.8979243632749e-06,0.5002,49.7738500000063,zero_box_candidate
dyn_400k_k6,400000,6,nmax/x_factor,133333.33333333334,21.022,21.02258999999922,0.5,0.002,0.002,400,0.0005455170337648928,0.498,21.02258999999922,1.0,1,6.283185307179586,8.63924136257743e-06,0.4996,21.02258999999922,zero_box_candidate
dyn_400k_k6,400000,6,nmax/x_factor,133333.33333333334,32.935,32.935280000006436,0.5,0.002,0.002,400,0.0007023082393217406,0.498,32.935280000006436,1.0,1,6.283185307179586,1.945905097104286e-05,0.4996,32.935280000006436,zero_box_candidate
dyn_400k_k6,400000,6,nmax/x_factor,133333.33333333334,37.586,37.58603000000635,0.5,0.002,0.002,400,0.0007861092406211993,0.502,37.58603000000635,1.0,1,6.283185307179586,4.2819920623946845e-05,0.5004,37.58603000000635,zero_box_candidate
dyn_400k_k6,400000,6,nmax/x_factor,133333.33333333334,40.919,40.91850000000618,0.5,0.002,0.002,400,0.0008380410988088833,0.502,40.91850000000618,1.0,1,6.283185307179586,9.92565807262798e-06,0.5002,40.91850000000618,zero_box_candidate
dyn_400k_k6,400000,6,nmax/x_factor,133333.33333333334,43.327,43.32727000000643,0.5,0.002,0.002,400,0.0009239287697883518,0.498,43.32727000000643,1.0,1,6.283185307179586,4.941183115788643e-06,0.4998,43.32727000000643,zero_box_candidate
dyn_400k_k6,400000,6,nmax/x_factor,133333.33333333334,48.005,48.00506000000637,0.5,0.002,0.002,400,0.0008211264474951134,0.502,48.00506000000637,1.0,1,6.283185307179586,2.663467640935684e-05,0.5002,48.00506000000637,zero_box_candidate
dyn_400k_k6,400000,6,nmax/x_factor,133333.33333333334,49.774,49.77379000000628,0.5,0.002,0.002,400,0.000777790493244706,0.498,49.77379000000628,1.0,1,6.283185307179586,3.334918776165267e-05,0.4998,49.77379000000628,zero_box_candidate
fixedX_400k_k6,400000,6,fixed,66666.66666666667,21.022,21.02203999999924,0.5,0.002,0.002,400,0.0006898986511077639,0.502,21.02203999999924,1.0,1,6.283185307179586,1.0744631631638426e-06,0.5,21.02203999999924,zero_box_candidate
fixedX_400k_k6,400000,6,fixed,66666.66666666667,32.935,32.93506000000637,0.5,0.002,0.002,400,0.0008485555303099453,0.502,32.93506000000637,1.0,1,6.283185307179586,5.680153471021285e-07,0.5,32.93506000000637,zero_box_candidate
fixedX_400k_k6,400000,6,fixed,66666.66666666667,37.586,37.5861800000064,0.5,0.002,0.002,400,0.0009265310343090609,0.502,37.5861800000064,1.0,1,6.283185307179586,4.6416121186040944e-07,0.5,37.5861800000064,zero_box_candidate
fixedX_400k_k6,400000,6,fixed,66666.66666666667,40.919,40.91872000000625,0.5,0.002,0.002,400,0.0009401833063025236,0.502,40.91872000000625,1.0,1,6.283185307179586,4.277746409218574e-07,0.5,40.91872000000625,zero_box_candidate
fixedX_400k_k6,400000,6,fixed,66666.66666666667,43.327,43.327070000006366,0.5,0.002,0.002,400,0.0010132538369175424,0.502,43.327070000006366,1.0,1,6.283185307179586,2.0187800274600025e-06,0.5,43.327070000006366,zero_box_candidate
fixedX_400k_k6,400000,6,fixed,66666.66666666667,48.005,48.005150000006395,0.5,0.002,0.002,400,0.0009397310337582494,0.502,48.005150000006395,1.0,1,6.283185307179586,8.04122891981031e-07,0.5,48.005150000006395,zero_box_candidate
fixedX_400k_k6,400000,6,fixed,66666.66666666667,49.774,49.77383000000629,0.5,0.002,0.002,400,0.0008952601177824624,0.502,49.77383000000629,1.0,1,6.283185307179586,8.84949296187887e-07,0.5,49.77383000000629,zero_box_candidate
xfactor4_200k_k5,200000,5,nmax/x_factor,50000.0,21.022,21.02203999999924,0.5,0.002,0.002,400,0.000688860038333532,0.502,21.02203999999924,1.0,1,6.283185307179586,1.2081070168620836e-06,0.5,21.02203999999924,zero_box_candidate
xfactor4_200k_k5,200000,5,nmax/x_factor,50000.0,32.935,32.93506000000637,0.5,0.002,0.002,400,0.0008641702488610744,0.502,32.93506000000637,1.0000000000000002,1,6.283185307179587,6.830132044157917e-07,0.5,32.93506000000637,zero_box_candidate
xfactor4_200k_k5,200000,5,nmax/x_factor,50000.0,37.586,37.5861800000064,0.5,0.002,0.002,400,0.0009387060650287144,0.502,37.5861800000064,1.0,1,6.283185307179586,6.67149798864681e-07,0.5,37.5861800000064,zero_box_candidate
xfactor4_200k_k5,200000,5,nmax/x_factor,50000.0,40.919,40.91872000000625,0.5,0.002,0.002,400,0.0009214635002495974,0.502,40.91872000000625,1.0,1,6.283185307179586,6.041538188676718e-07,0.5,40.91872000000625,zero_box_candidate
xfactor4_200k_k5,200000,5,nmax/x_factor,50000.0,43.327,43.327070000006366,0.5,0.002,0.002,400,0.0010058915685635414,0.502,43.327070000006366,1.0,1,6.283185307179586,1.5918887191938678e-06,0.5,43.327070000006366,zero_box_candidate
xfactor4_200k_k5,200000,5,nmax/x_factor,50000.0,48.005,48.005150000006395,0.5,0.002,0.002,400,0.0009286151584385786,0.502,48.005150000006395,1.0,1,6.283185307179586,2.3494358545861314e-07,0.5,48.005150000006395,zero_box_candidate
xfactor4_200k_k5,200000,5,nmax/x_factor,50000.0,49.774,49.77383000000629,0.5,0.002,0.002,400,0.0008763786017330559,0.502,49.77383000000629,1.0,1,6.283185307179586,1.4359456043698677e-06,0.5,49.77383000000629,zero_box_candidate
xfactor6_200k_k5,200000,5,nmax/x_factor,33333.333333333336,21.022,21.02203999999924,0.5,0.002,0.002,400,0.0006882758872951512,0.502,21.02203999999924,1.0,1,6.283185307179586,4.817093413234063e-07,0.5,21.02203999999924,zero_box_candidate
xfactor6_200k_k5,200000,5,nmax/x_factor,33333.333333333336,32.935,32.93506000000637,0.5,0.002,0.002,400,0.0008646103710873933,0.502,32.93506000000637,1.0,1,6.283185307179586,8.210564010616314e-07,0.5,32.93506000000637,zero_box_candidate
xfactor6_200k_k5,200000,5,nmax/x_factor,33333.333333333336,37.586,37.5861800000064,0.5,0.002,0.002,400,0.0009393958515684872,0.502,37.5861800000064,1.0000000000000002,1,6.283185307179587,1.1557385981204104e-06,0.5,37.5861800000064,zero_box_candidate
xfactor6_200k_k5,200000,5,nmax/x_factor,33333.333333333336,40.919,40.91872000000625,0.5,0.002,0.002,400,0.0009211006305651833,0.502,40.91872000000625,1.0,1,6.283185307179586,9.741299359428868e-07,0.5,40.91872000000625,zero_box_candidate
xfactor6_200k_k5,200000,5,nmax/x_factor,33333.333333333336,43.327,43.327070000006366,0.5,0.002,0.002,400,0.0010054352098789769,0.502,43.327070000006366,1.0,1,6.283185307179586,1.5032972934988066e-06,0.5,43.327070000006366,zero_box_candidate
xfactor6_200k_k5,200000,5,nmax/x_factor,33333.333333333336,48.005,48.005150000006395,0.5,0.002,0.002,400,0.0009288766868750377,0.502,48.005150000006395,1.0,1,6.283185307179586,8.080490448796564e-07,0.5,48.005150000006395,zero_box_candidate
xfactor6_200k_k5,200000,5,nmax/x_factor,33333.333333333336,49.774,49.77383000000629,0.5,0.002,0.002,400,0.0008760876270140213,0.502,49.77383000000629,1.0,1,6.283185307179586,1.831148192711913e-06,0.5,49.77383000000629,zero_box_candidate
